rank,name,nationality,dob,points
1,Mary MORAA,KEN,2000-06-15,1432
2,Tsige DUGUMA,ETH,2001-02-23,1427
3,Georgia Hunter BELL,GBR,1993-10-17,1394
4,Prudence SEKGODISO,RSA,2002-01-05,1382
5,Shafiqua MALONEY,VIN,1999-02-27,1361
6,Addison WILEY,USA,2003-10-24,1359
7,Rénelle LAMOTE,FRA,1993-12-26,1351
8,Keely HODGKINSON,GBR,2002-03-03,1350
9,Halimah NAKAAYI,UGA,1994-10-16,1340
10,Jemma REEKIE,GBR,1998-03-06,1334
11,Audrey WERRO,SUI,2004-03-27,1325
12,Worknesh MESELE,ETH,2001-06-11,1322
13,Natoya GOULE-TOPPIN,JAM,1991-03-30,1320
14,Nigist GETACHEW,ETH,2002-02-28,1318
15,Anaïs BOURGOIN,FRA,1996-10-03,1316
16,Oratile NOWE,BOT,2000-05-20,1310
17,Sarah BILLINGS,AUS,1998-03-07,1301
18,Sage HURTA-KLECKER,USA,1998-06-23,1297
19,Anna WIELGOSZ,POL,1993-11-09,1285
20,Gabriela GAJANOVÁ,SVK,1999-10-12,1282
21,Abbey CALDWELL,AUS,2001-07-03,1280
22,Lilian ODIRA,KEN,1999-04-18,1280
23,Jessica HULL,AUS,1996-10-22,1279
24,Sarah MORAA,KEN,2005-10-26,1274
25,Habitam ALEMU,ETH,1997-07-09,1274
26,Eloisa COIRO,ITA,2000-12-01,1273
27,Majtie KOLBERG,GER,1999-12-05,1268
28,Assia RAZIKI,MAR,1996-10-04,1265
29,Nia AKINS,USA,1998-07-07,1262
30,Clara LIBERMAN,FRA,2000-04-05,1259
31,Anita HORVAT,SLO,1996-09-07,1258
32,Charne SWART,RSA,2002-01-02,1252
33,Juliette WHITTAKER,USA,2003-12-01,1247
34,Lore HOFFMANN,SUI,1996-07-25,1246
35,Soukaina HAJJI,MAR,1997-02-04,1240
36,Claudia HOLLINGSWORTH,AUS,2005-04-12,1239
37,Angelika SARNA,POL,1997-10-01,1237
38,Rin KUBO,JPN,2008-01-20,1236
39,Rachel PELLAUD,SUI,1995-03-08,1235
40,Isabelle BOFFEY,GBR,2000-04-13,1232
41,Lorea IBARZABAL,ESP,1994-11-07,1230
42,Daily Cooper GASPAR,CUB,2002-03-11,1229
43,Carley THOMAS,AUS,2000-12-26,1229
44,Léna KANDISSOUNON,FRA,1998-11-26,1229
45,Meghan HUNTER,USA,2001-05-31,1223
46,Bendere OBOYA,AUS,2000-04-17,1218
47,Veronica VANCARDO,SUI,2000-09-26,1215
48,Eveliina MÄÄTTÄNEN,FIN,1995-09-01,1214
49,Alison ANDREWS-PAUL,NZL,1997-12-18,1213
50,Vivian Chebet KIPROTICH,KEN,1996-01-07,1212
51,Mckenna KEEGAN,USA,1998-08-31,1212
