rank,name,nationality,dob,points
55,Pamela KOSGEI,KEN,2004-07-05,1188
56,Allie BUCHALSKI,USA,1995-01-12,1187
57,Megan KEITH,GBR,2002-04-23,1182
58,Sarah LAHTI,SWE,1995-02-18,1182
59,Lexy HALLADAY,USA,2001-07-23,1181
60,Isobel BATT-DOYLE,AUS,1995-09-14,1180
61,Svetlana APLACHKINA,RUS,1992-11-28,1179
62,Tabithanjeri KAMAU,KEN,2000-07-03,1179
63,Lauren RYAN,AUS,1998-03-15,1178
64,Izzy FRY,GBR,2000-05-04,1177
65,Holly CAMPBELL,AUS,1996-06-27,1175
66,Natalie RULE,AUS,1996-08-08,1174
67,Grace HARTMAN,USA,2004-01-30,1173
68,Mariana MACHADO,POR,2000-11-12,1172
69,Ririka HIRONAKA,JPN,2000-11-24,1172
70,Katelyn TUOHY,USA,2002-03-18,1171
71,Kana MIZUMOTO,JPN,2005-01-26,1171
72,Idaira PRIETO,ESP,1997-08-17,1169
73,Lucy JENKS,USA,,1169
74,Lisa ROOMS,BEL,1996-06-17,1168
75,Hawi ABERA,ETH,2006-12-17,1167
76,Eleanor FULTON,USA,1993-05-17,1165
77,Regan YEE,CAN,1995-07-04,1164
78,Lucy NDUTA,KEN,2005-12-16,1163
79,Agnes Mwikali MUTUKU,KEN,2002-12-15,1162
80,Wuga HE,CHN,1998-07-28,1160
81,Sophia KENNEDY,USA,2005-01-11,1160
82,Jenny BLUNDELL,AUS,1994-05-09,1159
83,Hanna KLEIN,GER,1993-04-06,1159
84,Glenrose XABA,RSA,1994-12-31,1159
85,Katie CAMARENA,USA,1997-09-09,1159
86,Lyubov DUBROVSKAYA,RUS,1997-09-16,1158
87,Elly HENES,USA,1998-10-13,1153
88,Esther CHEBET,UGA,1997-10-09,1153
89,Konstanze KLOSTERHALFEN,GER,1997-02-18,1152
90,Micol MAJORI,ITA,1998-06-04,1152
91,Amaris TYYNISMAA,USA,2001-03-21,1151
92,Amalie SÆTEN,NOR,1997-12-01,1149
93,Charity CHEROP,UGA,2007-07-04,1147
94,Calli HAUGER-THACKERY,GBR,1993-01-09,1146
95,Gela HAMBESE,ETH,2002-09-25,1146
96,Marion JEPNGETICH,KEN,2005-09-04,1146
97,Sarah WANJIRU,KEN,2004-04-12,1146
98,Hilda OLEMOMOI,KEN,2003-12-02,1145
99,Paityn NOE,USA,,1145
100,Carla GALLARDO,ESP,1999-02-09,1144
101,Cynthia CHEPKIRUI,KEN,2008-09-04,1144
102,Maria FORERO,ESP,2003-03-24,1144
103,Yvonne Jepchirchir CHEPKOSGEI,KEN,2006-03-25,1144
104,Chloe SCRIMGEOUR,USA,2003-08-11,1143
105,Courtney FRERICHS,USA,1993-01-18,1141
106,Katie IZZO,USA,1996-12-22,1140
107,Abby NICHOLS,USA,1997-01-31,1140
108,Alexandra MILLARD,GBR,2001-12-31,1138
109,Margot APPLETON,USA,2002-09-30,1138
110,Maria YERMAKOVA,RUS,2003-05-29,1138
111,Nanaka IZAWA,JPN,1991-04-13,1138
112,Deborah CHEMUTAI,KEN,2005-07-25,1138
113,Georgie GRGEC,NZL,1993-11-18,1136
114,Eloise WALKER,GBR,2001-05-27,1136
115,Chloe THOMAS,CAN,2003-10-17,1136
116,Nanami WATANABE,JPN,1998-12-24,1135
117,Vera SJÖBERG,SWE,2001-05-19,1134
118,Laura GALVÁN,MEX,1991-10-05,1134
119,Kristine Eikrem ENGESET,NOR,1988-09-15,1133
120,Taylor WERNER,USA,1998-05-01,1132
121,Miyaka SUGATA,JPN,2001-03-09,1132
122,Sam BUSH,USA,2000-12-31,1131
123,Amina MAATOUG,NED,2002-11-17,1130
124,Jenna HUTCHINS,USA,2004-03-25,1129
125,Esther MUTHONI,KEN,2001-12-27,1129
126,Amy ROBINSON,AUS,1994-06-09,1128
127,Risa YAMAZAKI,JPN,2002-08-29,1128
128,Katie WASSERMAN,USA,1998-04-08,1128
129,Roisin FLANAGAN,IRL,1997-05-02,1127
130,Veerle BAKKER,NED,1997-09-29,1126
131,Vanessa MIKITENKO,GER,2005-07-07,1125
132,Rose WANGUI,KEN,2005-12-15,1125
133,Rina KUSU,JPN,1993-12-16,1124
134,Aude CLAVIER,FRA,1999-01-10,1124
135,Rachel MCARTHUR,USA,1999-08-04,1123
136,Agate CAUNE,LAT,2004-08-07,1122
137,Esther WAMBUI,KEN,2003-05-08,1122
138,Olga VOVK,RUS,1993-02-13,1120
139,Margaret AROT,KEN,2006-05-21,1120
140,Sora SHINOZAKURA,JPN,2001-08-09,1120
141,Mercy CHERONO,KEN,1991-05-07,1119
142,Mirriam CHEROP,KEN,1999-06-25,1118
143,Annika REISS,USA,,1118
144,Zofia DUDEK,POL,2001-12-25,1118
145,Elisa PALMERO,ITA,1999-07-10,1117
146,Florence CARON,CAN,,1116
147,Rika KASEDA,JPN,1999-03-02,1114
148,Jennifer GULIKERS,NED,1994-08-18,1114
149,Agnès Mc TIGHE,SUI,2001-09-01,1114
150,Jecinta NYOKABI,KEN,2005-09-29,1114
151,Maëlle PORCHER,FRA,2002-05-26,1114
152,Elise STEARNS,USA,,1113
153,Sanjivani JADHAV,IND,1996-07-12,1113
154,Mercy CHEPKEMOI,KEN,2005-10-19,1112
155,Rachel FORSYTH,CAN,2006-03-14,1111
156,Siona CHISHOLM,CAN,2003-08-28,1111
157,Jodie MCCANN,IRL,2000-02-03,1109
158,Anisleidis OCHOA,CUB,2000-10-04,1108
159,Daisy JEROP,KEN,2006-04-26,1106
160,Brenda JEPCHIRCHIR,KEN,2005-07-10,1106
161,Kristine Lande DOMMERSNES,NOR,1999-05-20,1105
162,Bahar YILDIRIM,TUR,1998-10-01,1105
163,Nagisa SHIMOTABIRA,JPN,1998-10-17,1105
164,Soukaina ATANANE,MAR,1994-06-28,1104
165,Kadogo CHEBOTIBIN,KEN,2004-01-06,1104
166,Yuan LI,CHN,2006-03-03,1104
167,Dina VELASQUEZ,PER,1992-11-30,1102
168,Kazuna KANETOMO,JPN,2001-08-19,1102
169,Karawan Halabi KABLAN,ISR,1995-01-18,1102
170,Sheila JEBET,KEN,2005-12-31,1102
171,Yuka ANDO,JPN,1994-03-16,1102
172,Silvia JELELGO,KEN,,1102
173,Meseret YESHANEH,ETH,2005-05-12,1101
174,Ide Nic DHOMHNAILL,IRL,1984-12-21,1101
175,Jessica SECOR,USA,,1100
176,India WEIR,GBR,1999-11-05,1099
177,Erin TESCHUK,CAN,1994-10-25,1099
178,Susan KAMOTHO,KEN,2004-12-13,1098
179,Julia DAVID-SMITH,FRA,2003-01-24,1096
180,Charlotte DANNATT,GBR,1999-05-12,1094
181,Karrie BALOGA,USA,2005-10-05,1094
182,Diana CHEROTICH,KEN,2005-12-24,1094
183,Risper CHEROP,UGA,2006-03-26,1094
184,Layla ALMASRI,PLE,1999-06-26,1094
185,Anika THOMPSON,IRL,2003-02-22,1093
186,Sydney THORVALDSON,USA,2003-03-07,1093
187,Giulia APRILE,ITA,1995-10-11,1092
188,Jadyn KEELER,CAN,,1091
189,Bentalin YEKO,UGA,2007-11-06,1091
190,Natsuki OMORI,JPN,1994-06-22,1089
191,Victoria LAGAT,KEN,,1089
192,Rio EINAGA,JPN,2002-06-15,1089
193,Tiantian LIANG,CHN,2004-08-31,1088
194,Georgia HANSEN,AUS,1998-12-22,1087
195,Ava MITCHELL,USA,,1086
196,Chikako MORI,JPN,1992-11-25,1086
197,Ayu HENMI,JPN,2000-08-31,1086
198,Keziah CHEBET,UGA,2008-11-27,1085
199,Sadie SIGFSTEAD,CAN,2003-05-17,1085
200,Carolina SCHÄFER,GER,2004-07-25,1085
201,Sharon CHEPKEMOI,KEN,2006-11-11,1084
202,Alma Delia CORTES,MEX,1997-12-26,1084
203,Phoebe ANDERSON,GBR,2002-06-23,1084
204,Maki IZUMIDA,JPN,1996-01-22,1084
205,Micheline NIYOMAHORO,BDI,2001-04-01,1083
206,Tristian SPENCE,USA,,1083
207,Naomi KEMBOI,KEN,2003-12-09,1083
208,Momoka KAWAGUCHI,JPN,1998-06-28,1083
209,Moira STEWARTOVÁ,CZE,1995-06-09,1082
210,Iska CHELANGAT,KEN,2004-04-20,1082
211,Jenna ZYDANOWICZ,USA,,1082
212,Brynn BROWN,USA,2003-08-27,1082
213,Yuzu NISHIDE,JPN,2000-01-25,1082
214,Viviana Aroche LOPEZ,GUA,1998-06-25,1082
215,Ayami YOSHIDA,JPN,2007-10-11,1082
216,Tia WILSON,GBR,2002-06-07,1081
217,Honoka TANAIKE,JPN,1997-03-21,1081
218,Kerine CHEROP,UGA,,1080
219,Cuomu CIREN,CHN,1997-08-27,1080
220,Almi NERURKAR,GBR,2001-01-09,1078
221,Micaela LEVAGGI,ARG,1998-08-12,1078
222,Edna CHELULEI,USA,,1076
223,Xia LUO,CHN,2000-05-10,1076
224,Mia COCHRAN,USA,2004-09-01,1075
225,Shiori YOSHIZONO,JPN,1999-06-02,1075
226,Erin VRINGER,CAN,2004-01-09,1074
227,Jenny SCHILLING,USA,,1074
228,Diana MEZULIÁNÍKOVÁ,CZE,1992-04-10,1074
229,Roxane CLEPPE,BEL,2001-07-05,1074
230,Evelina HENRIKSSON,SWE,1999-12-01,1074
231,Katja BÄUERLE,GER,2002-06-16,1074
232,Benita PARRA,BOL,2002-07-14,1074
233,Anna SUZUKI,JPN,2002-03-23,1074
234,Seema,IND,2001-01-10,1073
235,Cailie Logue HUGHES,USA,1999-01-04,1073
236,Gené COETZEE,RSA,2002-12-05,1073
237,Mao KOGURE,JPN,2002-06-02,1073
238,Bieke SCHIPPEREN,NED,2004-03-05,1072
239,Layla ROEBKE,USA,2001-06-20,1072
240,Mary BRADY,USA,,1072
241,Yuri TASAKI,JPN,2001-02-13,1072
242,Mao UESUGI,JPN,1995-08-16,1072
243,Winnie NANYONDO,UGA,1993-08-23,1071
244,Kaede KAWAMURA,JPN,1997-11-23,1071
245,Laura NAGEL,NZL,1992-02-11,1071
246,Klara DESS,AUS,2000-03-16,1070
247,Alice MITARD,FRA,1998-03-07,1070
248,Kokoro NAKACHI,JPN,2002-06-17,1070
249,Sarah KLEIN,AUS,1985-04-19,1069
250,Minami YAMANOUCHI,JPN,1992-12-21,1069
251,Katarzyna NOWAKOWSKA,POL,2003-10-21,1069
252,Micaela Rivera WOOD,PER,2000-01-01,1069
253,Zenah CHEPTOO,KEN,2002-11-11,1068
254,Momoa YAMADA,JPN,2001-05-13,1068
255,Penelope SALMON,NZL,2003-12-16,1067
256,Bethany MICHALAK,USA,,1067
257,Sarah ASTIN,GBR,1993-10-22,1067
258,Kyla CHRISTOPER-MOODY,USA,2001-05-19,1067
259,Rina SASAKI,JPN,2002-01-18,1066
260,Izzy THORNTON-BOTT,AUS,1998-03-14,1066
261,Airi MASHIBA,JPN,2007-11-10,1066
262,Jette BEERMANN,GER,2003-07-02,1066
263,Kimberly CHINFATT,LUX,1988-03-29,1066
264,Pia SCHLATTMANN,GER,2004-09-22,1066
265,Hayley BURNS,USA,,1065
266,Naomi JEPLETING,KEN,2003-08-12,1065
267,Hisami ISHII,JPN,1995-08-10,1065
268,Jessica GOCKLEY-DAY,USA,1998-04-27,1065
269,Caitlin ADAMS,AUS,1997-07-07,1065
270,Alessia ZARBO,FRA,2001-09-11,1064
271,Yujin KIM,KOR,1996-07-21,1064
272,Leane WILLEMSE,USA,,1063
273,Ayuka KAZAMA,JPN,2001-09-14,1063
274,Ali WEIMER,USA,2004-05-06,1063
275,Moe SHIMIZU,JPN,2001-09-02,1062
276,Mei HOKIYAMA,JPN,2006-06-20,1062
277,Fiona EVERARD,IRL,1998-09-30,1062
278,Martha CHEMUTAI,UGA,2008-09-09,1062
279,Sayo IMANISHI,JPN,2006-10-12,1062
280,Katarzyna NAPIÓRKOWSKA,POL,2004-09-12,1062
281,Alice SEGUIN,FRA,2002-08-27,1061
282,Karabo MORE,RSA,2002-04-21,1061
283,Isabel ALLORI,USA,,1061
284,Mayu TSUKAMOTO,JPN,2000-11-21,1061
285,Albina GADELSHINA,RUS,1998-07-29,1061
286,Ella THORSETT,USA,,1061
287,Chloe WHITING,USA,,1060
288,Xiuzhen MA,CHN,2000-07-05,1060
289,Augustine HAQUET,FRA,2003-07-13,1059
290,Mitsu OZAKI,JPN,2003-12-12,1059
291,Jade LE CORRE,FRA,2005-10-20,1059
292,Adelyn FAIRLEY,USA,,1059
293,Miki HIRAI,JPN,1996-02-12,1059
294,Akina FUJIMURA,JPN,1998-06-22,1059
295,Mei HOSOMI,JPN,2007-01-04,1058
296,Riley STEWART,USA,,1058
297,Klaudia O'MALLEY,USA,,1058
298,Shuri OGASAWARA,JPN,2000-10-03,1058
299,Manami NISHIYAMA,JPN,1999-12-09,1058
300,Hui XU,CHN,2003-03-02,1057
301,Airi TAJIMA,JPN,2004-08-09,1057
302,Ali BAINBRIDGE,USA,,1057
303,Koharu CHUGO,JPN,2005-09-12,1057
304,Martha MOKAYA,KEN,2001-03-12,1056
305,Rayna STANZIANO,USA,,1056
306,Yua TSUKAMOTO,JPN,2006-10-19,1056
307,Leah JERUTO,KEN,2000-05-12,1055
308,Madison OFFSTEIN,USA,,1055
309,Rion FURUKAWA,JPN,2001-09-25,1055
310,Liv DINIS,SWE,2004-06-03,1055
311,Yuyu XIA,CHN,1998-03-01,1055
312,Emily BRYCE,CAN,,1055
313,Madelène Wanvik HOLUM,NOR,1994-09-24,1055
314,Michelle FINN,IRL,1989-12-16,1054
315,Lise THIMON,FRA,1997-04-13,1054
316,Anna MATSUDA,JPN,1994-04-18,1054
317,Riko IIJIMA,JPN,2000-04-27,1054
318,Ella FADIL,USA,,1054
319,Elena HAYDAY,USA,,1053
320,Nanase TANIMOTO,JPN,2002-08-31,1053
321,Sakura NISHIO,JPN,1999-03-11,1053
322,Poppy TANK,GBR,1997-12-05,1053
323,Yaxuan LI,CHN,2006-01-11,1053
324,Bronte OATES,AUS,2004-08-23,1052
325,Hannah HARTWELL,USA,,1052
326,Kaho ONISHI,JPN,2000-07-20,1052
327,Jenna RAMSEY-RUTLEDGE,USA,,1051
328,Mary Caroline HEINEN,USA,,1051
329,Mia WALDMANN,GBR,2003-10-22,1051
330,Mariah WEHRLE,USA,,1051
331,Morgan JENSEN,USA,,1051
332,Jiahui NIU,CHN,2000-09-09,1051
333,Ava O'CONNOR,IRL,2003-09-19,1050
334,Momoko HANANO,JPN,1998-12-15,1050
335,Miu YAGI,JPN,2003-09-22,1050
336,China NAKAGAWA,JPN,2006-04-08,1050
337,Berlyn SCHUTZ,USA,,1049
338,Douae OUBOUKIR,MAR,1996-04-15,1049
339,Tatiana CORNEJO,USA,,1049
340,Rio MATSUTANI,JPN,2006-03-03,1049
341,Liza CORSO,USA,,1049
342,Peace CHEBET,UGA,2007-06-26,1048
343,Logan St. JOHN-KLETTER,USA,,1048
344,Molly MALAGUE,USA,,1048
345,Giulia ZANNE,ITA,1997-08-14,1048
346,Wakana ITSUKI,JPN,1994-04-07,1047
347,Gillian BUSHEE,USA,2005-07-09,1047
348,Kennady FONTENOT,USA,,1047
349,Blezzin KIMUTAI,KEN,,1047
350,Jierushayuri MAYAKA,JPN,2001-05-14,1047
351,Rina SHIMIZU,JPN,1999-10-05,1047
352,Mao ICHIYAMA,JPN,1997-05-29,1047
353,Aliandrea UPSHAW,USA,,1046
354,Edna CHEPKEMOI,KEN,,1046
355,Sierra BOWER,USA,,1046
356,Leoni MIERSWA,GER,2000-05-28,1046
357,Yumi YAMADA,JPN,2007-03-13,1046
358,Nicole Svetlana REINA,ITA,1997-09-25,1046
359,Emma STUTZMAN,USA,,1046
360,Holly WEEDALL,GBR,2004-12-31,1046
361,Carly WILKES,USA,2004-03-25,1046
362,Mayuka FUJITA,JPN,1999-09-14,1046
363,Mikayla JONES,USA,,1046
364,Payne TURNEY,USA,,1046
365,Saya NAKAJIMA,JPN,1999-06-13,1046
366,Audrey DADAMIO,USA,,1046
367,Madeleine LOCHER,USA,,1045
368,Ella FENNELLY,IRL,1996-10-02,1045
369,Sophia TOTI,USA,2002-05-29,1045
370,Faith DUNCAN,USA,,1045
371,Wakana HASHIMOTO,JPN,2006-10-12,1045
372,Gemma KERSEY,GBR,1992-02-06,1045
373,Haruko HOSAKA,JPN,2001-04-23,1045
374,Tilly SIMPSON,GBR,2000-10-25,1044
375,Sayuki OTA,JPN,2004-12-30,1044
376,Megan ROBERTS,USA,,1043
377,Olivia ALESSANDRINI,ITA,2006-08-12,1043
378,Ally PETERSON,USA,,1043
379,Jaynie HALTERMAN,USA,,1042
380,Hikaru KITAGAWA,JPN,2001-11-24,1042
381,Carolin KIRTZEL,GER,1995-01-03,1042
382,Marika ACCORSI,ITA,1999-02-17,1042
383,Alycia CRIDEBRING,USA,1992-01-11,1041
384,Willow COLLINS,USA,,1041
385,Aino SUNI,FIN,2000-08-21,1041
386,Mary DALTON,USA,2005-07-07,1041
387,Anna Marie Nordengen SIREVÅG,NOR,2004-05-24,1041
388,Anna PETR,USA,,1040
389,Elizabeth PICKETT,USA,2004-01-09,1040
390,Haruka OGAWA,JPN,2004-05-02,1040
391,Fiona MCLOUGHLIN,USA,,1040
391,Ciara O'SHEA,USA,,1040
393,Mackenzie BARNETT,USA,,1040
394,Saki MATSUI,JPN,1999-06-22,1040
395,Yuna TAKAHASHI,JPN,1999-03-28,1040
396,Maebh RICHARDSON,IRL,2004-01-08,1040
397,Brigid HANLEY,USA,,1040
398,Qingqing LI,CHN,2004-01-28,1040
399,Sigrid Jervell VÅG,NOR,1992-06-06,1039
400,Marie-Theres GRUBER,AUT,2002-10-27,1039
