rank,name,nationality,dob,points
1,Beatrice CHEBET,KEN,2000-03-05,1519
2,Medina EISA,ETH,2005-01-03,1403
3,Nadia BATTOCLETTI,ITA,2000-04-12,1398
4,Ejgayehu TAYE,ETH,2000-02-10,1384
5,Gudaf TSEGAY,ETH,1997-01-23,1380
6,Birke HAYLOM,ETH,2006-01-06,1348
7,Agnes Jebet NGETICH,KEN,2001-01-23,1347
8,Fotyen TESFAY,ETH,1998-02-17,1336
9,Caroline NYAGA,KEN,1993-10-07,1328
10,Fantaye BELAYNEH,ETH,2000-09-15,1322
11,Tsigie GEBRESELAMA,ETH,2000-09-30,1321
12,Hirut MESHESHA,ETH,2001-01-20,1320
13,Karoline Bjerkeli GRØVDAL,NOR,1990-06-14,1314
14,Nozomi TANAKA,JPN,1999-09-04,1305
15,Karissa SCHWEIZER,USA,1996-05-04,1302
16,Aleshign BAWEKE,ETH,2006-01-23,1301
17,Rose DAVIES,AUS,1999-12-21,1294
18,Elise CRANNY,USA,1996-05-09,1292
19,Janeth CHEPNGETICH,KEN,1998-07-23,1287
20,Sarah CHELANGAT,UGA,2001-06-05,1287
21,Georgia GRIFFITH,AUS,1996-12-05,1285
22,Linden HALL,AUS,1991-06-20,1284
23,Asayech AYICHEW,ETH,2005-04-03,1282
24,Nathalie BLOMQVIST,FIN,2001-04-20,1278
25,Whittni MORGAN,USA,1997-10-22,1275
26,Marta GARCÍA,ESP,1998-01-01,1275
27,Josette ANDREWS,USA,1995-12-15,1273
28,Margaret AKIDOR,KEN,2002-06-26,1272
29,Melknat WUDU,ETH,2005-01-03,1268
30,Maureen KOSTER,NED,1992-07-03,1267
31,Hannah NUTTALL,GBR,1997-07-07,1263
32,Marta ALEMAYO,ETH,2008-04-08,1254
33,Innes FITZGERALD,GBR,2006-04-06,1248
34,Yenawa NBRET,ETH,2007-05-18,1246
35,Aynadis MEBRATU,ETH,2004-11-25,1245
36,Chaltu DIDA,ETH,1992-09-20,1242
37,Hellen Ekalale LOBUN,KEN,1999-03-18,1228
38,Purity Kajuju GITONGA,KEN,1996-05-12,1216
39,Maudie SKYRING,AUS,1997-04-09,1215
40,Francine NIYOMUKUNZI,BDI,1999-08-01,1213
41,Joselyn Daniely BREA,VEN,1994-08-12,1212
42,Diane VAN ES,NED,1999-03-22,1209
43,Maurine Jepkoech CHEBOR,KEN,2004-05-28,1209
44,Mekedes ALEMESHETE,ETH,2006-03-30,1209
45,Klara LUKAN,SLO,2000-09-08,1208
46,Jana VAN LENT,BEL,2001-04-22,1208
47,Sarah MADELEINE,FRA,1998-09-20,1207
48,Ella DONAGHU,USA,1998-04-13,1204
49,Yuma YAMAMOTO,JPN,2000-05-01,1202
50,Elise VANDERELST,BEL,1998-01-27,1198
51,Federica DEL BUONO,ITA,1994-12-12,1193
52,Caroline KARIBA,KEN,2004-04-22,1191
53,Samiyah Hassan NOUR,DJI,1999-12-05,1188
54,Elena BURKARD,GER,1992-02-10,1188
