rank,name,nationality,dob,points
48,Leah BERTRAND,TTO,2002-07-26,1218
49,Natasha MORRISON,JAM,1992-11-17,1217
50,Jameesia FORD,USA,2005-01-26,1216
51,Ana Carolina AZEVEDO,BRA,1998-05-19,1214
52,Samirah MOODY,USA,2002-11-08,1214
53,Géraldine FREY,SUI,1997-06-19,1214
54,Lisa MAYER,GER,1996-05-02,1214
55,Dajaz DEFRAND,USA,2003-10-16,1213
56,Alana REID,JAM,2005-01-20,1213
57,Rosemary CHUKWUMA,NGR,2001-12-05,1212
58,Julia HENRIKSSON,SWE,2000-07-11,1211
59,Jaël BESTUÉ,ESP,2000-09-24,1211
60,Tima GODBLESS,NGR,2004-07-14,1210
61,Gladymar TORRES,PUR,2003-03-26,1210
62,María Ignacia MONTT,CHI,1996-02-23,1205
63,Sina MAYER,GER,1995-04-10,1205
64,Ella CONNOLLY,AUS,2000-07-13,1203
65,Anthaya CHARLTON,BAH,2003-07-28,1203
66,Camille RUTHERFORD,BAH,2002-08-31,1202
67,Bianca WILLIAMS,GBR,1993-12-18,1200
68,Jadyn MAYS,USA,2002-04-02,1200
69,Vitoria Cristina ROSA,BRA,1996-01-12,1199
70,Shenese WALKER,JAM,2003-01-23,1199
71,Salomé KORA,SUI,1994-06-08,1198
72,Herverge Etame KOLE,CMR,2002-06-22,1198
73,Briana WILLIAMS,JAM,2002-03-21,1197
74,Semira KILLEBREW,USA,2001-03-30,1196
75,Maria Isabel PÉREZ,ESP,1993-03-01,1194
76,Viktória FORSTER,SVK,2002-04-08,1194
77,India MAYBERRY,USA,,1194
78,Marlet OSPINO,COL,2004-09-06,1193
79,Rebekka HAASE,GER,1993-01-02,1193
80,Liranyi ALONSO,DOM,2005-12-28,1192
81,Polyniki EMMANOUILIDOU,GRE,2003-06-30,1192
82,Kaila JACKSON,USA,2004-06-30,1191
83,Brianna SELBY,USA,2006-01-03,1190
84,Gabriela Anahi SUAREZ,ECU,2001-02-02,1189
85,Alexis BROWN,USA,2004-07-16,1188
86,Lotta KEMPPINEN,FIN,1998-04-01,1187
87,Dana WILSON,USA,2006-09-22,1187
88,Yuliya KARAVAYEVA,RUS,2000-11-23,1186
89,Sophia JUNK,GER,1999-03-01,1186
90,Victoria CAMERON,USA,,1186
91,Mikiah BRISCO,USA,1996-07-14,1184
92,Alexandra BURGHARDT,GER,1994-04-28,1183
93,Candace HILL,USA,1999-02-11,1182
94,Jada MOWATT,USA,1997-10-17,1182
95,Camryn DICKSON,USA,2004-06-19,1182
96,Veronica Shanti PEREIRA,SGP,1996-09-20,1179
97,Kemba NELSON,JAM,2000-02-23,1179
98,Beyonce DEFREITAS,IVB,2001-03-09,1176
99,Jacqueline MADOGO,CAN,2000-04-14,1176
100,Christania WILLIAMS,JAM,1994-10-17,1175
101,Tsaone Bakani SEBELE,BOT,1993-10-27,1174
102,Lex BROWN,USA,2001-04-26,1174
103,Jade BROWN,USA,2005-05-02,1174
104,Deajah STEVENS,USA,1995-05-19,1173
105,Jassani CARTER,USA,2003-11-04,1173
106,Anais HERNÁNDEZ,CHI,2001-03-05,1172
107,Jasmine MONTGOMERY,USA,,1172
108,Krystal SLOLEY,JAM,2002-04-24,1171
109,Yunisleidy García ABREU,CUB,1999-08-11,1170
110,English GARDNER,USA,1992-04-22,1170
111,Joella LLOYD,ANT,2002-04-12,1170
112,Caisja CHANDLER,USA,2000-06-18,1170
113,Ashanti MOORE,JAM,2000-11-07,1168
114,Alicia BURNETT,USA,,1168
115,Joy EZE,GBR,2004-05-31,1167
116,Kelly Ann Maevane Doualla EDIMO,ITA,2009-11-20,1167
117,Leah O'BRIEN,AUS,2008-01-29,1166
118,Magdalena STEFANOWICZ,POL,2000-09-21,1166
119,Sabrina DOCKERY,JAM,2006-09-17,1166
120,Cynteria JAMES,USA,2005-09-07,1166
121,Ebony LANE,AUS,1998-11-08,1165
122,Rafailia SPANOUDAKI-CHATZIRIGA,GRE,1994-06-07,1165
123,Serena COLE,JAM,2004-06-26,1163
124,Lisa Marie KWAYIE,GER,1996-10-27,1162
125,Chloe MANNIX-POWER,AUS,2000-11-29,1161
126,Carolle ZAHI,FRA,1994-06-12,1161
127,Kelly UFODIAMA,NGR,2006-06-09,1161
128,Imani LANSIQUOT,GBR,1997-12-17,1160
129,Aniyah KITT,USA,,1160
130,Xenia BURI,SUI,2008-01-09,1159
131,Olayinka OLAJIDE,NGR,2002-10-28,1158
132,Desiree HENRY,GBR,1995-08-26,1157
133,Gorete SEMEDO,STP,1996-10-05,1157
134,Lisa RAYE,TTO,2008-01-19,1156
135,Mia MAXWELL,USA,,1155
136,Mia GROSS,AUS,2001-04-18,1155
137,Kristie EDWARDS,AUS,2000-02-24,1155
138,Claudine NJARASOA,MAD,1999-06-02,1155
139,Gloria HOOPER,ITA,1992-03-03,1155
140,Emma VAN CAMP,SUI,2004-10-11,1154
141,Manaka MIURA,JPN,2002-02-14,1154
142,Success UMUKORO,NGR,2001-01-09,1154
143,Iyana GRAY,USA,2003-02-27,1154
144,Renee REGIS,GBR,2005-09-02,1154
145,Bassant HEMIDA,EGY,1996-09-28,1153
146,Sedrickia WYNN,USA,2000-02-08,1153
147,Léonie POINTET,SUI,2001-02-17,1153
148,Georgia HARRIS,AUS,2004-06-10,1152
149,Maimuna JALLOW,GAM,,1151
150,Sharmelle HOLMES,USA,2006-05-18,1151
151,Tamara CLARK,USA,1999-01-09,1150
152,Ajla DEL PONTE,SUI,1996-07-15,1148
153,Nia WEDDERBURN-GOODISON,GBR,2005-01-09,1148
154,Midori MIKASE,JPN,2001-06-02,1148
155,Kishawna NILES,BAR,2005-08-16,1147
156,Pierrick-Linda MOULIN,GAB,2001-02-12,1147
157,Kortnei JOHNSON,USA,1997-08-11,1146
158,Emily MARTIN,CAN,2004-05-30,1145
159,E'Lexis HOLLIS,USA,,1145
160,Kailei COLLINS,USA,2001-07-11,1145
161,Rani VINCKE,BEL,2000-03-01,1144
162,Aleeya SIBBONS,GBR,2002-11-05,1143
163,Ann Marii KIVIKAS,EST,2002-08-12,1143
164,Tatjana PINTO,GER,1992-07-02,1143
165,Carleta BERNARD,JAM,2004-11-08,1143
166,Frances COLON,PUR,2006-03-16,1142
167,Adijatu Rejoice SULE,NGR,2004-10-07,1142
168,Michelle-Lee AHYE,TTO,1992-04-10,1142
169,Kristina MAKARENKO,RUS,1997-02-28,1141
170,Shannon RAY,USA,1995-12-23,1141
171,London TUCKER,USA,,1141
172,Viwe JINGQI,RSA,2005-02-17,1140
173,Murangi REFILWE,BOT,1999-12-28,1140
174,Marije VAN HUNENSTIJN,NED,1995-03-02,1140
175,Mabel AKANDE,GBR,2006-09-05,1140
176,Delia FARAJPOUR,SVK,2004-04-19,1140
177,Reign REDMOND,USA,2005-09-19,1140
178,Manqi GE,CHN,1997-10-13,1138
179,Angelica Maria GAMBOA,COL,1998-04-06,1137
180,Joyasia SMITH,USA,2004-08-04,1137
181,Nora LINDAHL,SWE,2004-09-10,1137
182,Chante CLINKSCALE,USA,,1137
183,Õilme VÕRO,EST,1996-01-02,1136
184,Asha PHILIP,GBR,1990-10-25,1136
185,Lauren JARRETT,USA,2004-09-01,1135
186,Faith AKINBILEJE,GBR,2005-09-21,1135
187,Joviale MBISHA,RSA,2000-10-31,1134
188,Dimitra TSOUKALA,GRE,1999-09-07,1134
189,Sam GEDDES,AUS,1997-06-04,1134
190,Shanoya Mikalia DOUGLAS,JAM,2007-09-11,1134
191,Arialis GANDULLA,POR,1995-06-22,1134
192,Maja Mihalinec ZIDAR,SLO,1989-12-17,1134
193,Darby THOMAS,USA,,1134
194,Janie DE NAEYER,BEL,2001-08-17,1134
195,Natalya KOMBAROVA,RUS,2001-09-24,1133
196,I'Asia WILSON,USA,,1133
197,Kiley ROBBINS,USA,2002-07-31,1133
198,Lia LOVE,USA,,1133
199,Cecilia TAMAYO-GARZA,MEX,1997-03-04,1133
200,Tamzin THOMAS,RSA,1997-10-06,1132
201,Sarah RICHARD,FRA,1998-04-02,1132
202,Gabriela MOURÃO,BRA,1999-06-03,1132
203,Taylah CRUTTENDEN,AUS,2003-10-19,1131
204,Magdalena LINDNER,AUT,2000-04-14,1131
205,Marie-Éloise LECLAIR,CAN,2002-09-10,1131
206,Aleksandra PIOTROWSKA,POL,2004-11-01,1131
207,Milian FIELDS,USA,,1131
208,Philina Marianne SCHWARTZ,GER,2006-11-25,1131
209,Nayla HARRIS,USA,,1131
210,Moforehan ABINUSAWA,NGR,2003-10-03,1131
211,Elena GUIU,ESP,2004-06-16,1131
212,Adanelys RODRÍGUEZ,PUR,2001-08-15,1130
213,Kiyah YEAST,USA,2002-04-09,1130
214,Olivia FOTOPOULOU,CYP,1996-12-20,1130
215,Naomi RISKWAIT,FRA,2002-08-28,1130
216,Hailey HUNT,USA,,1130
217,Asia THOMAS,USA,,1130
218,Geolyna DOWDYE,ANT,2006-06-23,1129
219,Yujie CHEN,CHN,2008-12-29,1129
220,Arisa KIMISHIMA,JPN,1995-12-23,1129
221,Reese WEBSTER,TTO,2002-05-21,1129
222,Gabriella MARAIS,RSA,2003-11-18,1128
223,Natacha NGOYE,CGO,1993-08-15,1128
224,Sianni WYNN,USA,,1128
225,Kya EPPS,USA,,1128
226,Kenondra DAVIS,USA,2003-02-15,1128
227,Ndeye-Arame TOURÉ,SEN,1993-10-06,1127
228,Lucija POTNIK,SLO,2005-06-21,1126
229,Anita AFRIFA,GHA,2004-06-16,1126
230,Marie-Ange RIMLINGER,FRA,2001-12-31,1125
231,Elo Blessing OKPAH,NGR,2005-06-01,1125
232,Alyssa JONES,USA,2004-02-06,1125
233,Céline BÜRGI,SUI,1999-09-22,1125
234,Helene RØNNINGEN,NOR,1998-09-04,1125
235,Magdaline GEORGE,NGR,2000-12-25,1125
236,Aleksandra STOILOVA,AUS,2005-04-20,1124
237,Naj WATSON,USA,2004-02-24,1124
238,Jolina ERNST,GER,2004-06-04,1124
239,Olivia DODDS,AUS,2006-06-02,1124
240,Junying ZHU,CHN,2004-09-09,1123
241,Cheyanne EVANS-GRAY,GBR,1998-07-15,1123
242,Alyson BELL,GBR,2003-11-09,1123
243,Mckenna WATSON,USA,,1123
244,Thewbelle PHILP,AUS,2008-04-05,1123
245,Symone DARIUS,LBR,1998-07-04,1122
246,Gabrielle COLE,CAN,2004-11-30,1122
247,Jahniya BOWERS,USA,2001-05-05,1122
248,Diandrenique GAINES,USA,2002-08-09,1122
249,Guadalupe TORREZ,BOL,2001-05-17,1121
250,Brooke SOMERFIELD,NZL,1997-05-05,1121
251,Lucie Jean CHARLES,FRA,1998-08-02,1121
252,Nya BLOCKER,USA,,1121
253,Justina Tiana EYAKPOBEYAN,NGR,2006-09-26,1121
254,Teagan ZWAANSTRA,USA,,1121
255,Hannah Hope VERMAAK,RSA,2007-10-05,1120
256,Maria Florencia LAMBOGLIA,ARG,1992-01-21,1120
257,Ashley BARRETT,JAM,2003-03-10,1120
258,Jahzara HART,USA,,1120
259,Krystsina TSIMANOUSKAYA,POL,1996-11-19,1119
260,Zhane SMITH,USA,1999-04-25,1119
261,Melicia MOUZZON,USA,2001-01-30,1119
262,Faith OKWOSE,NGR,2006-05-27,1119
263,Kasheika CAMERON,JAM,1998-10-22,1119
264,Aiha YAMAGATA,JPN,2005-10-11,1118
265,Shaniqua BASCOMBE,TTO,2003-11-08,1118
266,Mariah MAXWELL,USA,,1118
267,Briana CAMPBELL,JAM,2006-11-07,1118
268,Gaya BERTELLO,ITA,2003-05-27,1117
269,Azariyah BRYANT,USA,,1117
270,Chia-Chen HU,TPE,1997-03-28,1117
271,Yanina LUTSENKA,BLR,2000-04-02,1117
272,Shatalya DORSETT,BAH,2006-06-13,1117
273,Olivia PACE,USA,,1117
274,Yarima GARCÍA,CUB,2004-07-25,1116
275,Lorraine MARTINS,BRA,2000-04-04,1116
276,Keliza SMITH,GUY,2003-04-25,1116
277,Kennedi PORTER,USA,,1115
278,Paula GARCÍA,ESP,1998-11-10,1115
279,Sila SÖNMEZCICEK,GER,2003-01-23,1115
280,Irene SIRAGUSA,ITA,1993-06-23,1115
281,Yongli WEI,CHN,1991-10-11,1114
282,Savannah BLAIR,CAN,2005-12-08,1114
283,Chelsea KADIRI,GER,2005-07-27,1114
284,Viktoriya MAKSIMOVA,RUS,2002-11-11,1113
285,Diana HONCHARENKO,UKR,2004-09-20,1113
286,Dasia REED,USA,,1113
287,Lucy-May SLEEMAN,IRL,2004-05-24,1113
288,Sarah AKPAN,USA,,1113
289,Abigeirufuka IDO,JPN,2001-06-15,1112
290,Qiqi YUAN,CHN,1995-10-26,1112
291,Precious NZEAKOR,NGR,2005-08-17,1112
292,Anthonique STRACHAN,BAH,1993-08-22,1112
293,Sina KAMMERSCHMITT,GER,2003-09-17,1112
294,Jaslyn GARDNER,USA,2000-06-01,1112
295,Olivia HASTINGS,AUS,2003-06-23,1112
296,Kendall JOHNSON,USA,,1112
297,Abby GEISER,USA,,1112
298,Viola JOHN,GER,2003-06-23,1112
299,Holly DUAX,USA,,1112
300,Rachel BENNETT,GBR,2002-07-03,1111
301,Gabriele CUNNINGHAM,USA,1998-02-22,1111
302,Taejha BADAL,TTO,2003-07-16,1111
303,Lavanya WILLIAMS,JAM,2005-12-08,1111
304,Alexxe HENRY,TTO,2007-07-20,1110
305,Jasmine ABRAMS,GUY,1994-03-14,1110
306,Chloé GALET,FRA,2001-08-30,1110
307,Niesha BURGHER,JAM,2002-08-08,1109
308,Victoria PERROW,USA,,1109
309,Jessica-Bianca WESSOLLY,GER,1996-12-11,1109
310,Yanique DAYLE,JAM,1998-12-31,1109
311,Emilia REED,AUS,2010-05-25,1109
312,Marielle VENIDA,NZL,2005-07-17,1108
313,Mickaell MOODIE,JAM,2001-11-06,1108
314,Ciara NEVILLE,IRL,1999-10-14,1108
315,Hinami YAMANAKA,JPN,1996-12-12,1107
316,Halle BIEBER,USA,2000-12-21,1107
317,Hannah LOWE,USA,,1107
318,Shanya WASHINGTON,USA,,1106
319,Laila CLEARE,BAH,,1106
320,Noemie DENON,FRA,2001-08-25,1106
321,Farzaneh FASIHI,IRI,1993-01-03,1106
322,Olivia Rose INKSTER,AUS,2005-02-12,1106
323,Rajer GURODE,USA,,1106
324,Caira PETTWAY,USA,,1106
325,Wiktoria GAJOSZ,POL,2006-07-06,1106
326,Michaela FRANCOIS,USA,,1106
327,Karsen PHILLIPS,USA,2005-06-20,1106
328,Asimenye SIMWAKA,MAW,1997-08-08,1105
329,Trinity BARNETT,USA,,1105
330,Shirley NEKHUBUI,RSA,2000-07-31,1105
331,Amanda Ugochinyere OBIJIAKU,ITA,2003-08-26,1105
332,Taylor SNAER,USA,2005-02-22,1105
333,Kaniya JOHNSON,USA,,1104
334,Miriam SANCHEZ,MEX,,1104
335,Alice PAGLIARINI,ITA,2006-03-01,1104
336,Bria BULLARD,USA,,1104
337,Amari WEATHERFORD,USA,,1104
338,Jadyn HAYWOOD,USA,,1104
339,Molly SCOTT,IRL,1999-03-30,1103
340,Lohane GERBIER,FRA,2007-02-11,1103
341,Leah SMITH,USA,,1103
342,Soraya BECERRA,SUI,2004-02-23,1103
343,Tiriah KELLEY,USA,2004-06-16,1103
344,Payton PAYNE,USA,,1103
345,Shanice WILLIAMS,CAN,,1102
346,Marlena GRANASZEWSKA,POL,1998-06-08,1102
347,Beatriz ANDRADE,POR,2001-10-31,1101
348,Iyanuloluwa Toyin BADA,NGR,1999-01-03,1101
349,Jialu XU,CHN,2000-09-16,1101
350,Sanaa FREDERICK,TTO,2006-01-03,1101
351,Amaka Joy NWOKIKE,NGR,2003-11-11,1101
352,Wiktoria GRZYB,POL,1997-10-14,1101
353,Maria MIHALACHE,ROU,2003-05-11,1100
354,Edidiong Ofinome ODIONG,BRN,1997-03-13,1100
355,Pavla KVASNIČKOVÁ,CZE,2001-10-09,1100
356,Saniya FRIENDLY,USA,,1099
357,Nithya GANDHE,IND,1999-11-10,1099
358,Marissa PALMER,USA,,1099
359,Blessing OGUNDIRAN,NGR,1999-11-11,1099
360,Lizaveta TRATSIAK,BLR,2002-01-03,1098
361,Vivian OGOR,CAN,2000-12-14,1098
362,Sarah LEAHY,IRL,1999-08-01,1098
363,Talea PREPENS,GER,2001-12-28,1098
364,Shantae GEORGE,GUY,2003-01-18,1098
365,Radina VELICHKOVA,BUL,2007-12-15,1098
366,Akilah LEWIS,TTO,2000-12-10,1098
367,Camille SONNEVILLE,BEL,2006-05-16,1098
368,Jagoda MIERZYŃSKA,POL,1998-08-03,1097
369,Ruth AGADAMA,NGR,2002-04-17,1097
370,Lingyao KONG,CHN,1997-05-03,1097
371,Aino PULKKINEN,FIN,1998-02-02,1097
372,Donna NTAMBUE,CAN,2001-02-26,1097
373,Ona ROSSELL,ESP,1998-02-19,1097
374,Saraiah WALKES,USA,,1097
375,Melanne SUTTON,USA,,1097
376,Isabel POSCH,AUT,2000-02-28,1096
377,Aimara NAZARENO,ECU,2001-11-30,1096
378,Lily JONES,USA,2004-03-07,1096
379,Halutie HOR,GHA,1999-04-04,1095
380,Kristina Marie KNOTT,PHI,1995-09-25,1095
381,Remi TSURUTA,JPN,1997-04-18,1095
382,Lauren ROY,IRL,2000-09-25,1095
383,Divonne FRANKLIN,USA,2000-02-18,1095
384,Royanah FARMER,USA,,1094
385,Immaculate DANIEL,NGR,2005-04-15,1094
386,Maya TUCKER,USA,,1094
387,Jasmine WILKINS,GBR,2005-02-09,1094
388,Jagoda ŻUKOWSKA,POL,2006-11-02,1094
389,Chloé RABAC,SUI,2005-05-08,1093
390,Karen MAYINDU,GBR,2003-12-06,1093
391,Melissa GUTSCHMIDT,SUI,2002-01-07,1092
392,Adeyemi TALABI,IRL,2002-12-25,1092
393,Erin KINNEY,USA,,1092
394,Raghan ALLEN,USA,,1092
395,Adeyah BREWSTER,BAR,2002-12-20,1092
396,Abinaya RAJARAJAN,IND,2006-11-21,1092
397,Alessandra GASPARELLI,SMR,2004-09-03,1091
398,Lena ANOCHILI,GER,,1091
399,Lindsey MILLER,USA,2004-03-16,1091
400,Shavantae ROBERTS,BAH,2004-03-20,1091
