rank,name,nationality,dob,points
1,Julien ALFRED,LCA,2001-06-10,1488
2,Melissa JEFFERSON-WOODEN,USA,2001-02-21,1412
3,Dina ASHER-SMITH,GBR,1995-12-04,1397
4,Tia CLAYTON,JAM,2004-08-17,1383
5,Sha'Carri RICHARDSON,USA,2000-03-25,1374
6,Marie-Josée Ta LOU-SMITH,CIV,1988-11-18,1374
7,Mujinga KAMBUNDJI,SUI,1992-06-17,1367
8,Daryll NEITA,GBR,1996-08-29,1355
9,Jacious SEARS,USA,2001-08-14,1349
10,Tamari DAVIS,USA,2003-02-15,1337
11,Patrizia Der VAN WEKEN,LUX,1999-11-12,1325
12,Ewa SWOBODA,POL,1997-07-26,1316
13,Maia MCCOY,USA,1996-12-09,1315
14,Tina CLAYTON,JAM,2004-08-17,1314
15,Zoe HOBBS,NZL,1997-09-11,1314
16,Zaynab DOSSO,ITA,1999-09-12,1312
17,Twanisha TERRY,USA,1999-01-24,1309
18,Thelma DAVIES,LBR,2000-05-08,1306
19,Gina Mariam Bass BITTAYE,GAM,1995-05-03,1300
20,Amy HUNT,GBR,2002-05-15,1298
21,Gina LÜCKENKEMPER,GER,1996-11-21,1295
22,Celera BARNES,USA,1998-12-02,1277
23,Aleia HOBBS,USA,1996-02-24,1274
24,Boglárka TAKÁCS,HUN,2001-08-28,1267
25,Destiny SMITH-BARNETT,LBR,1996-07-26,1262
26,Gémima JOSEPH,FRA,2001-10-17,1259
27,Audrey LEDUC,CAN,1999-03-09,1257
28,Favour OFILI,NGR,2002-12-31,1255
29,Rani ROSIUS,BEL,2000-04-25,1251
30,Shericka JACKSON,JAM,1994-07-16,1250
31,Jenna PRANDINI,USA,1992-11-20,1250
32,Xiaojing LIANG,CHN,1997-04-07,1247
33,Shelly-Ann FRASER-PRYCE,JAM,1986-12-27,1245
34,Torrie LEWIS,AUS,2005-01-08,1245
35,Cambrea STURGIS,USA,1999-03-27,1241
36,Lorène Dorcas BAZOLO,POR,1983-05-04,1235
37,Shashalee FORBES,JAM,1996-05-10,1234
38,Delphine NKANSA,BEL,2001-09-21,1231
39,Jonielle SMITH,JAM,1996-01-30,1230
40,Kayla WHITE,USA,1996-09-14,1229
41,Maboundou KONÉ,CIV,1997-05-16,1229
42,Minke BISSCHOPS,NED,2002-09-02,1225
43,Karolína MAŇASOVÁ,CZE,2003-11-26,1222
44,Bree RIZZO,AUS,1995-06-24,1221
45,Gabrielle THOMAS,USA,1996-12-07,1221
46,Sade MCCREATH,CAN,1996-06-25,1219
47,Jodean WILLIAMS,JAM,1993-11-11,1219
