rank,name,nationality,dob,points
1,Emmanuel WANYONYI,KEN,2004-08-01,1514
2,Marco AROP,CAN,1998-09-20,1466
3,Djamel SEDJATI,ALG,1999-05-03,1450
4,Bryce HOPPEL,USA,1997-09-05,1417
5,Mohamed ATTAOUI,ESP,2001-09-26,1417
6,Josh HOEY,USA,1999-11-01,1417
7,Gabriel TUAL,FRA,1998-04-09,1399
8,Tshepiso MASALELA,BOT,1999-05-25,1392
9,Max BURGIN,GBR,2002-05-20,1385
10,Eliott CRESTAN,BEL,1999-02-22,1371
11,Slimane MOULA,ALG,1999-02-25,1348
12,Wyclife KINYAMAL,KEN,1997-07-02,1338
13,Kethobogile HAINGURA,BOT,1998-12-14,1332
14,Mark ENGLISH,IRL,1993-03-18,1332
15,Andreas KRAMER,SWE,1997-04-13,1315
16,Peter BOL,AUS,1994-02-22,1313
17,Catalin TECUCEANU,ITA,1999-09-09,1300
18,Abdelati El GUESSE,MAR,1993-02-27,1299
19,Jonah KOECH,USA,1996-12-12,1296
20,Yanis MEZIANE,FRA,2002-01-26,1296
21,Marino BLOUDEK,CRO,1999-07-18,1287
22,Peyton CRAIG,AUS,2005-03-28,1280
23,Elvin Josué CANALES,ESP,2001-09-05,1277
24,Brandon MILLER,USA,2002-01-30,1276
25,Jakub DUDYCHA,CZE,2005-09-05,1275
26,Samuel CHAPPLE,NED,1998-11-23,1274
27,Alex Ngeno KIPNGETICH,KEN,2000-08-17,1271
28,Adrián BEN,ESP,1998-08-04,1265
29,Maciej WYDERKA,POL,2002-07-29,1260
30,Nicholas Kiplangat KEBENEI,KEN,1995-06-07,1259
31,Filip OSTROWSKI,POL,2001-07-12,1258
32,Justin DAVIES,GBR,2003-02-06,1256
33,Pieter SISK,BEL,1999-12-08,1254
34,Patryk SIERADZKI,POL,1998-10-06,1251
35,Mohamed Ali GOUANED,ALG,2002-07-05,1250
36,Francesco PERNICI,ITA,2003-02-18,1248
37,Bartosz KITLIŃSKI,POL,2004-06-11,1247
38,Mariano GARCÍA,ESP,1997-09-25,1245
39,Moad ZAHAFI,MAR,1998-05-09,1243
40,Callum DODDS,GBR,2000-10-06,1241
41,Noah KIBET,KEN,2004-04-12,1240
42,Álvaro DE ARRIBA,ESP,1994-06-02,1240
43,Elliot GILES,GBR,1994-05-26,1234
44,Aaron Kemei CHEMININGWA,KEN,1998-06-21,1234
45,Alex AMANKWA,GHA,1992-03-02,1232
46,Ryan CLARKE,NED,1997-11-17,1231
47,Tumo NKAPE,BOT,1998-04-24,1231
48,Abraham ALVARADO,USA,1995-08-04,1225
49,Mateusz BORKOWSKI,POL,1997-04-02,1224
50,Tom DRADRIGA,UGA,1996-06-17,1223
51,Corentin MAGNOU,FRA,2001-09-22,1221
52,Shane COHEN,USA,2001-01-25,1221
53,Corentin LE CLEZIO,FRA,1999-09-24,1220
54,Navasky ANDERSON,JAM,2000-01-21,1219
55,Paul ANSELMINI,FRA,2003-08-02,1216
56,Hobbs KESSLER,USA,2003-03-15,1215
57,Luciano FIORE,USA,1997-10-31,1214
58,Handal ROBAN,VIN,2002-09-05,1213
59,Ko OCHIAI,JPN,2006-08-17,1213
60,Ibrahim Abass M CHUOT,QAT,2004-07-05,1212
61,Matthew ERICKSON,CAN,2003-03-11,1212
62,Alex BOTTERILL,GBR,2000-01-18,1211
63,Laban Kipkorir CHEPKWONY,KEN,1996-04-14,1209
64,Abdullahi HASSAN,CAN,2002-07-28,1209
65,General Berhanu AYANSA,ETH,2005-01-28,1209
66,Giovanni LAZZARO,ITA,2004-07-27,1209
67,Pablo SÁNCHEZ-VALLADARES,ESP,1997-11-12,1208
68,Cian MCPHILLIPS,IRL,2002-06-07,1207
69,Abdessalem AYOUNI,TUN,1994-05-16,1207
70,Henry JONAS,GBR,2005-06-08,1207
71,Ben PATTISON,GBR,2001-12-15,1206
72,Heithem CHENITEF,ALG,2004-01-30,1206
73,Ivan PELIZZA,SUI,2000-12-17,1205
74,Tshepo TSHITE,RSA,1997-01-15,1204
75,Luke BOYES,AUS,2003-11-05,1202
76,Tyrice TAYLOR,JAM,2001-10-31,1202
77,Ethan HUSSEY,GBR,2003-03-05,1202
78,Alexander STEPANOV,GER,2004-09-30,1200
79,Isaiah HARRIS,USA,1996-10-18,1199
80,Tinoda MATSATSA,USA,2004-09-20,1198
81,Yohannes TEFERA,ETH,2004-03-28,1197
82,Tibo DE SMET,BEL,1999-05-28,1197
83,Ebrahim ALZOFAIRI,KUW,1989-05-08,1192
84,Thomas Marques DE ANDRADE,FRA,2004-01-13,1192
85,David BARROSO,ESP,2001-08-21,1191
86,Cornelius TUWEI,KEN,1993-05-24,1189
87,Aidan MCCARTHY,USA,2002-09-01,1189
88,Tobias GRØNSTAD,NOR,2002-07-06,1188
89,Jack HIGGINS,GBR,2001-09-20,1187
90,Brannon KIDDER,USA,1993-11-18,1187
91,Abdellah MOUZLIB,MAR,2000-01-07,1187
92,John RIVERA,PUR,1998-12-02,1186
93,Ali AMIRIAN,IRI,2003-09-17,1185
94,Sean DOLAN,USA,2001-03-19,1185
95,Tiarnan CRORKEN,GBR,1999-06-13,1184
96,Jordan TERRASSE,FRA,2000-04-11,1184
97,Ramon WIPFLI,SUI,2004-06-30,1181
98,Ferguson Cheruiyot ROTICH,KEN,1989-11-30,1178
99,Justin O'TOOLE,CAN,2001-12-20,1177
100,Hatim Ait OULGHAZI,QAT,2006-02-23,1176
101,Malik SKUPIN-ALFA,GER,2004-06-18,1176
102,Daniel KOTYZA,CZE,2000-10-05,1174
103,Cooper LUTKENHAUS,USA,2008-12-19,1173
104,Sam WHITMARSH,USA,2002-10-18,1173
105,Uku Renek KRONBERGS,EST,2004-08-10,1173
106,Jan VUKOVIČ,SLO,2000-06-14,1173
107,Yukichi ISHII,JPN,2002-06-11,1172
108,Christian JACKSON,USA,2003-08-01,1171
109,Brian KIPTUM,KEN,2004-06-07,1169
110,Guilherme ORENHAS,BRA,1998-09-10,1168
111,Rivaldo MARSHALL,JAM,2001-10-17,1168
112,Daniel WATCKE,USA,2005-01-12,1167
113,Eduardo RIBEIRO,BRA,2001-01-09,1167
114,Jesus Tonatiu LÓPEZ,MEX,1997-08-02,1166
115,Mohammed Afsal PULIKKALAKATH,IND,1996-02-03,1165
116,Letlhogonolo MOKGETHI,BOT,2004-04-11,1165
117,Mehdi YANOURI,USA,1999-11-17,1164
118,Christian HARRISON,USA,1993-09-27,1164
119,Koitatoi KIDALI,KEN,2003-02-12,1164
120,Thomas RANDOLPH,GBR,1999-02-07,1163
121,Allon Tatsunami CLAY,JPN,2002-03-25,1163
122,Eric NZIKWINKUNDA,BDI,1997-01-01,1162
123,Olivier DESMEULES,CAN,2000-05-06,1162
124,Kyle REINHEIMER,USA,,1162
125,Isaiah JEWETT,USA,1997-02-06,1161
126,Samuel PIHLSTRÖM,SWE,2001-03-08,1161
127,Nick PLANT,USA,2003-10-30,1159
128,Jack LUNN,AUS,2001-10-16,1157
129,Edose IBADIN,NGR,1993-02-27,1156
130,Kacper LEWALSKI,POL,2003-05-07,1156
131,Leonardo SANTOS,BRA,2002-01-27,1155
132,Dion EIJSSEN,NED,2004-02-29,1155
133,Kabelo Simon MOHLOSI,RSA,1993-01-20,1155
134,Shane STREICH,USA,1996-09-19,1155
135,Will SUMNER,USA,2003-10-22,1154
136,Mikuto KANEKO,JPN,2001-11-06,1154
137,Jonah HOEY,USA,2001-01-01,1153
138,Nino JAMBREŠIĆ,CRO,2004-06-14,1153
139,Lloyd FRILOT,USA,,1151
140,Simone BARONTINI,ITA,1999-01-05,1151
141,Tyler MATHEWS,USA,,1150
142,Sota OKAMURA,JPN,2005-02-18,1149
143,Reece SHARMAN-NEWELL,GBR,2002-12-13,1149
144,Cass ELLIOTT,USA,2000-04-17,1149
145,Ryan SÁNCHEZ,PUR,1998-09-22,1148
146,Dmitriy PASECHNIK,RUS,1999-05-15,1148
147,Zakary MAMA-YARI,CAN,1998-09-13,1147
148,Rynard SWANEPOEL,RSA,,1147
149,Sigurd TVEIT,NOR,2000-03-16,1147
150,Filip RAK,POL,2003-02-03,1146
151,Joseph WIGFIELD,GBR,2000-01-18,1145
152,Daniel WILLIAMS,AUS,2007-08-03,1145
153,Benjamin GARDINER,GBR,2002-06-18,1145
154,Tommaso MANISCALCO,ITA,2002-07-22,1144
155,Thomas STAINES,GBR,1998-02-22,1143
156,William CUTHBERTSON,USA,2000-01-08,1143
157,Ömer Faruk BOZDAĞ,TUR,2004-09-01,1142
158,Oussama El BOUCHAYBY,MAR,1998-12-29,1142
159,Yared KIDANE,ERI,1999-10-05,1142
160,Vincent CRISP,USA,1997-08-17,1142
161,Łukasz ZACZYK,POL,2007-03-18,1140
162,Samuel RODMAN,USA,2003-03-22,1138
163,Pedro OSORIO,ESP,2000-05-31,1138
164,Joonas RINNE,FIN,1995-05-20,1138
165,Abel TEFFRA,USA,2002-01-23,1137
166,Jamie PHILLIPS,GBR,,1137
167,Robin OESTER,SUI,1999-11-08,1136
168,Darius SMALLWOOD,USA,2002-06-28,1135
169,Jakub CHMIELARZ,POL,2002-09-04,1135
170,Marco VILCA,PER,2000-12-02,1135
171,Hazem MIAWAD,EGY,1997-01-11,1134
172,Darius KIPYEGO,USA,2002-09-05,1134
173,Ronaldo OLIVO,ESP,2004-10-08,1134
174,José Ignacio PÉREZ,ESP,2001-01-06,1134
175,Hassan ABIDI,TUN,,1134
176,Dominic Kiptoo BARNGETUNY,KEN,2004-09-09,1133
177,Elliot SAVAGE,GBR,2004-09-16,1133
178,Christopher SWART,RSA,2000-04-19,1131
179,Xiaoheng XI,CHN,1999-12-08,1131
180,Patrick FORREST,USA,1999-05-12,1131
181,Dugion BLACKMAN,JAM,2000-02-15,1130
182,El Hafez MAHADI,QAT,2002-10-17,1130
183,Konstantin KHOLMOGOROV,RUS,1996-02-07,1129
184,Kerem AYHAN,TUR,2001-03-18,1128
185,Josue LE CADRE,FRA,2002-03-24,1128
186,Amel TUKA,BIH,1991-01-09,1127
187,Samuel NAVARRO,USA,,1127
188,Krishan KUMAR,IND,1997-10-12,1127
189,David RACE,GBR,2004-04-19,1124
190,Yanis VANLANDUYT,FRA,2006-03-08,1124
191,Kimar FARQUHARSON,JAM,2001-05-20,1124
192,Colin SAHLMAN,USA,2003-10-28,1123
193,Theo THEVENET,FRA,2006-06-04,1123
194,Alexandre SELLES,FRA,2000-06-19,1122
195,Jakub DAVIDÍK,CZE,2002-01-20,1121
196,Camden LAW,USA,,1121
197,John O'REILLY,CAN,2005-01-14,1121
198,Elie NAYRAND,FRA,2000-09-10,1121
199,Nikolay VERBITSKIY,RUS,1995-12-16,1121
200,Ezekiel CHEMOS,UGA,,1120
201,Eduardo ROMERO,ESP,1999-01-27,1120
202,Rafael MUÑOZ,CHI,1997-05-12,1119
203,David GARCIA,POR,2003-03-15,1119
204,Patrick TUOHY,USA,,1118
205,Maxence LAVERGNE,FRA,2004-01-31,1117
206,Miguel PANTOJAS,PUR,2005-06-03,1117
207,Miles BROWN,USA,2003-02-10,1116
208,Kevin VIEZEE,NED,1997-01-20,1116
209,Dániel HULLER,HUN,2001-05-10,1116
210,Jared MICALLEF,MLT,1998-05-29,1116
211,Rok MARKELJ,SLO,2000-04-14,1115
212,Noam MAMU,ISR,2006-03-13,1114
213,Rick VAN RIEL,NED,2002-02-15,1114
214,Marco RUFO,ESP,2003-02-24,1113
215,Junki ISHIMOTO,JPN,2002-05-09,1112
216,Ryan Ignaiker Lopez PARRA,VEN,1999-11-08,1111
217,Tj Robinson JR,USA,,1111
218,Yassine ABER,CAN,1996-06-17,1111
219,Hiroki MINAMOTO,JPN,1999-11-24,1111
220,Louis LOW-BEER,SUI,2004-11-16,1111
221,Patrick HILBY,USA,,1111
222,Yugo SHIKATA,JPN,1998-11-25,1110
223,Felix MUTHIANI,KEN,2007-07-27,1110
224,Mason COHEN,AUS,1996-09-19,1110
225,Camerin WILLIAMS,USA,2006-09-14,1110
226,Alanzo RYAN,CAN,,1110
227,Emanuel GALDINO,USA,,1109
