rank,name,nationality,dob,points
228,Luis OBERBECK,GER,1999-11-03,1109
229,Jan TESAŘ,CZE,1990-03-26,1109
230,Kairu YAMAGA,JPN,2006-09-27,1108
231,Jose MAITA,VEN,1998-04-17,1108
232,Kwazi NOGCANTSI,RSA,2000-01-17,1108
233,Samy ACHAB,FRA,2001-01-25,1108
234,Anu KUMAR,IND,2002-11-02,1107
235,Andrew THOMPSON,IRL,,1107
236,Abdelhakim ELLIASMINE,ITA,1999-02-07,1107
237,Andrew REGNIER,USA,2004-07-18,1107
238,Niko SCHULTZ,PUR,2002-12-28,1106
239,Louis O'LOUGHLIN,IRL,2001-09-01,1106
240,Andrej BELČIĆ,CRO,2003-08-05,1106
241,Hugo HOUYEZ,FRA,1995-12-16,1105
242,Dylan DECAMBRE,JAM,2005-06-11,1104
243,Timon INGHELBRECHT,BEL,2003-04-18,1104
244,János KUBASI,HUN,2004-07-20,1104
245,Maksim SHELIKH,RUS,2005-02-02,1103
246,Louis VERCUEIL,FRA,2001-04-08,1102
247,Cristian Gabriel VOICU,ROU,2001-02-14,1102
248,Ranti Marvin DIKGALE,RSA,1987-07-12,1102
249,Bram BUIGEL,NED,1995-05-12,1102
250,Salih TEKSÖZ,TUR,1994-01-01,1101
251,Hinata MAEDA,JPN,2003-09-08,1100
252,Alex KALMAR,USA,,1100
253,Edouard LÉCRIVAIN,FRA,2001-08-14,1100
254,Sacha CULTRU,FRA,1999-01-05,1100
255,Luca SANTORUM,ITA,2004-03-16,1100
256,Ben NAGEL,USA,2000-04-27,1099
257,Mevlüt ARAS,TUR,2004-03-01,1099
258,Guilherme KURTZ,BRA,1994-08-27,1099
259,Nathan CUMBERBATCH,TTO,2005-01-11,1099
260,Tim MCINERNEY,USA,2000-12-06,1099
261,Terrick JOHNSON,USA,,1098
262,Dustin HUDAK,USA,,1098
263,Gabriele ANGIONO,ITA,2004-12-03,1097
264,Jacopo PERON,ITA,1996-05-11,1097
265,Edgar DURIEUX,FRA,2003-12-09,1097
266,Clement PONCE,FRA,2003-01-20,1097
267,David CARTIEL,ESP,2004-05-06,1097
268,Dezhu LIU,CHN,2000-09-16,1096
269,Mathis ESPAGNET,LUX,2003-08-11,1096
270,Alex LAROCHELLE,CAN,2001-05-19,1096
271,Cillian KIRWAN,IRL,1996-03-22,1096
272,Caden NORRIS,USA,,1096
273,Mackdonald SONGOK,USA,,1096
274,Hamish DONOHUE,AUS,2006-07-28,1096
275,Klaus Hans Scholz SELMAN,CHI,2005-11-12,1095
276,Pradeep SENTHILKUMAR,IND,2003-05-12,1095
277,Louis BUSCHBECK,GER,2005-08-03,1095
278,Amedeo PERAZZO,ITA,2001-11-25,1095
279,Sala HEDDINE,ESP,2002-10-01,1095
280,Bartłomiej KISIEL,POL,2006-05-02,1094
281,Benjamin LAKOŠELJAC,SLO,2007-02-03,1094
282,Alejandro RODRIGUEZ,ESP,2004-05-09,1094
283,Raynier GALVEZ,USA,,1093
284,Emil MEGGLE,GER,2002-03-08,1093
285,Alaa SOUADI,ESP,2005-07-02,1093
286,Luke SHAW,AUS,2001-12-07,1092
287,Ryan SCHREINER,USA,2003-09-10,1092
288,Aaron CEBALLOS,ESP,2007-12-15,1092
289,Anže Svit POŽGAJ,SLO,2003-02-17,1091
290,Joshua HOFFMANN,GER,2006-04-30,1091
291,Collin DYLLA,USA,,1091
292,Kasen JEITZ,USA,,1091
293,Pierre LECHAT,FRA,1999-03-09,1091
294,Andrew CASEY,USA,2005-02-21,1091
295,Eric HOLT,USA,1995-05-12,1090
296,Jye PERROTT,AUS,1998-08-06,1090
297,Shuta AZUMA,JPN,2003-06-27,1090
298,Abedin MUJEZINOVIĆ,BIH,1993-06-02,1090
299,Sergey DUBROVSKIY,RUS,1995-01-20,1090
300,Landon BOTT,USA,,1090
301,Aleksey LOMAKIN,RUS,2001-06-23,1090
302,Daniil NEKRASOV,RUS,2001-10-01,1089
303,Carter FITZGERALD,USA,,1088
304,James PRESTON,NZL,1997-05-08,1088
305,Phanuel Kipkosgei KOECH,KEN,2006-12-01,1088
306,Eric ALBRIGHT,USA,,1088
307,Marcus DROPIK,USA,,1088
308,Clayborn PENDER,USA,2000-05-04,1088
309,Alexandre LE PAIH,FRA,1993-05-29,1087
310,Aleksandr KOVRIZHNYKH,RUS,2000-05-30,1087
311,Brendan HERGER,USA,,1087
312,Johan CORREA,USA,,1087
313,Tim HOLZAPFEL,GER,1997-02-20,1087
314,Parker RAYMOND,USA,,1087
315,Carson TURNER,USA,,1087
316,Kwazi MGOBHOZI,RSA,1998-01-25,1086
317,Rudolf PROKOPYUK,RUS,2004-02-08,1086
318,Tyer EDSON,USA,2005-06-05,1086
319,Mason SINDELAR,USA,,1086
320,Carver MORGAN,USA,,1086
321,James FINGALSEN,USA,,1085
322,Kirk DAWKINS,JAM,2002-07-29,1085
323,Dawson MANN,CAN,,1085
324,Aden BANDUKWALA,USA,,1085
325,Mattis TANGHE,BEL,2002-08-06,1085
326,Kash POWELL,AUS,2000-12-14,1085
327,Mitsuki TERANISHI,JPN,2003-08-01,1084
328,Adam MASON,USA,,1084
329,Drake HENSON,USA,,1083
330,Robin LEFEBVRE,CAN,2006-12-10,1083
331,Sebastian FERNANDEZ,USA,2002-03-05,1083
332,Niko VILJOLA,FIN,2000-09-06,1083
333,Romain SEVERIN,FRA,2001-05-01,1083
334,Stephen EVANS,CAN,1996-07-07,1082
335,Tom WATERWORTH,GBR,2007-07-21,1082
336,Ty COOK,USA,,1082
337,Artem TSYMBALYUK,RUS,2005-06-07,1082
338,David CARDENAS,USA,,1082
339,Kaishi KITAMURA,JPN,2003-09-16,1082
340,Zalen NELSON,TTO,2000-07-30,1081
341,Aj GREEN,USA,2002-10-02,1081
342,Jabolane NCAMANE,RSA,1994-06-07,1080
343,Kokas ERIMO,SSD,,1080
344,Max ARMSTRONG,USA,,1080
345,Tommy CARDENAS,USA,,1080
346,Joseph PATTERSON,USA,,1080
347,John Petter STEVIK,NOR,2003-01-02,1080
348,Elliot CHARRIER,FRA,2001-03-01,1079
349,Jaxson HOEY,USA,1997-12-27,1079
350,Leroy RUSSELL,CAN,2001-07-31,1079
351,Tadeáš PLAČEK,CZE,2003-03-22,1079
352,Michael LONG,USA,2005-05-24,1079
353,Sho KAWAMOTO,JPN,1993-03-01,1079
354,Levi STREEVAL,USA,,1079
355,Patrick TUOHY,USA,,1078
356,Nicolas PIZARRO,USA,,1078
357,Mark MILNER,IRL,2000-08-02,1078
358,Germain LEMAITRE,FRA,2002-07-08,1078
359,Ryan ELSTON,GBR,2003-03-25,1077
360,Braxton BRUER,USA,,1076
361,Stepan PEREGUDOV,RUS,1994-01-30,1076
362,Garrett O'TOOLE,USA,1996-03-22,1076
363,Samuel OGWAL,UGA,,1076
364,Pim VAN BAKEL,NED,2001-11-21,1076
365,Aniol BORRAS,ESP,2002-05-04,1075
366,Yevgeniy VALITOV,RUS,1999-08-13,1075
367,David CARRANZA,ESP,2002-01-06,1074
368,Hamdani BENAHMED,ALG,2001-05-18,1074
369,J'Voughnn BLAKE,JAM,2003-01-12,1074
370,Sam IDIENS,NZL,,1073
371,Takuto NAGASAWA,JPN,2003-06-23,1073
372,Gavin NELSON,USA,,1073
373,Nicholus Soyet CHEPTOYEK,UGA,,1073
374,Vasyl VOITIUK,UKR,2003-01-13,1073
375,Filip ŠNEJDR,CZE,1995-04-16,1072
376,Daniel HOWELLS,GBR,2002-02-28,1072
377,Aaron BOTTERMAN,BEL,1994-05-01,1072
378,Thomas COWAN,NZL,2005-12-10,1072
379,Lachlan RAPER,AUS,1999-08-14,1071
380,Ludo VAN NIEUWENHUIZEN,NED,2001-02-01,1071
381,Chase KNOCHE,USA,,1070
382,Lasse FUNCK,GER,2001-08-16,1070
383,Chase LEHR,USA,,1070
384,Maxime TOURON,FRA,2003-09-30,1070
385,Mahamed SHARIF,USA,,1069
386,Zohair HADAR,ITA,2000-01-01,1069
387,Antonio BLAIR,JAM,2002-02-20,1069
388,Graham STEDFAST,USA,,1069
389,Benjamin ÅBERG,SWE,1995-05-30,1068
390,Robert PEDROZA,USA,,1068
391,Shamiso SIKANETA,CAN,2005-03-18,1068
392,Ryan BARCALA,ESP,2006-02-26,1068
393,Jaxson COPELIN,USA,,1068
394,Theo WOODS,FRA,2000-11-23,1068
395,Hussein LORAÑA,PHI,2004-11-28,1067
396,Pierre-Louis CADART,FRA,2004-04-29,1067
397,Jesse HAYWARD,USA,,1067
398,Robert HEWISON,IRL,1997-03-31,1067
399,Marco ZUNINO,ITA,2003-10-14,1067
400,Wenhui WANG,CHN,2003-06-10,1067
