rank,name,nationality,dob,points
122,Amelia ROWE,AUS,2006-11-08,1135
123,Braelyn BAKER,USA,2006-01-20,1134
124,Esther JOSEPH,USA,,1133
125,Jana LAKNER,GER,2000-07-22,1132
126,Davenae FAGAN,USA,2005-07-30,1132
127,Bella PASQUALI,AUS,2006-10-04,1131
128,Yekaterina IVANOVA,RUS,1998-05-15,1131
129,Elisa LECHLEITNER,GER,1999-08-06,1131
130,Marjorie VEYSSIERE,FRA,1996-05-18,1130
131,Madeline PRICE,CAN,1995-09-11,1130
132,Alysia JOHNSON,USA,2002-07-06,1130
133,Ceonna PIPION,USA,2002-04-19,1129
134,Alexandra ZALYUBOVSKAYA,KAZ,2002-09-27,1129
135,Anny Caroline DE BASSI,BRA,1997-06-16,1129
136,Precious MOLEPO,RSA,2005-02-15,1128
137,Rebecca GRIEVE,GBR,2005-01-30,1128
138,Cydney WRIGHT,USA,,1128
139,Luna BULMAHN,GER,1999-11-26,1127
140,Astri ERTZGAARD,NOR,2002-03-28,1127
141,Karolina ŁOZOWSKA,POL,1999-05-28,1127
142,Shanque WILLIAMS,JAM,2005-06-10,1127
143,Julia NIEDERBERGER,SUI,2000-01-17,1126
144,Mikeala SELAIDINAKOS,AUS,1998-12-21,1125
145,Carina VANESSA,POR,1998-06-01,1125
146,Vithya RAMRAJ,IND,1998-09-20,1125
147,Obakeng KAMBERUKA,BOT,2003-09-08,1125
148,Rushana DWYER,JAM,2003-03-28,1125
149,Favour OKPALI,CAN,2001-07-14,1124
150,Annkathrin HOVEN,GER,2001-03-08,1124
151,Maya SINGLETARY,USA,1998-12-09,1122
152,Jaydan WOOD,USA,,1122
153,Ella CLAYTON,CAN,2003-05-27,1122
154,Mona MAYER,GER,2001-09-13,1122
155,Elna WESTER,SWE,2005-11-30,1122
156,Andrenette KNIGHT,JAM,1996-11-19,1122
157,Ilaria Elvira ACCAME,ITA,2001-08-31,1121
158,Collinique FARRINGTON,BAH,2000-11-20,1120
159,Valeriya SAVENKOVA,RUS,2001-05-12,1120
160,Charlee CRAWFORD,USA,2003-08-07,1120
161,Tetiana MELNYK,UKR,1995-04-02,1120
162,Zita SZENTGYÖRGYI,HUN,2006-11-13,1119
163,Ayomide FOLORUNSO,ITA,1996-10-17,1118
164,Jainy Suelen Dos Santos BARRETO,BRA,1999-11-04,1118
165,Favour ONYAH,NGR,2006-07-12,1118
166,Madeleine WADDELL,NZL,2007-10-20,1116
167,Elisa VALENSIN,ITA,2007-01-01,1116
168,Rafiatu NUHU,GHA,2000-08-08,1116
169,Lou-Anne Pouzancre HOYER,FRA,2003-10-29,1115
170,Kinga GACKA,POL,2001-10-25,1115
171,Sara REIFENRATH,USA,,1115
172,Shana Kaye ANDERSON,JAM,2003-05-31,1114
173,Madelief VAN LEUR,NED,2007-04-19,1114
174,Natasha HARRISON,GBR,2001-03-17,1114
175,Lanoline AOKO,KEN,2000-08-10,1113
176,Yinglan LIU,CHN,2005-10-21,1113
177,Hanna MIKHAILAVA,BLR,1998-03-29,1113
178,Herminia PARRA,ESP,1997-07-10,1113
179,Maryana SHOSTAK,UKR,2000-10-24,1113
180,Laura MCSHANE,AUS,1999-08-27,1113
181,Yuna IWATA,JPN,1997-10-17,1113
182,Carla BULL,AUS,2002-06-27,1112
183,Tess MCHUGH,GBR,2002-06-19,1112
184,Lena WERNLI,SUI,2001-02-05,1112
185,Josefine Tomine ERIKSEN,NOR,2000-08-16,1112
186,Rebecca OCHAN,USA,,1112
187,Ziyah HOLMAN,USA,2002-03-01,1112
188,Hannah BRIER,GBR,1998-02-03,1112
189,Marina LASSERRE,FRA,2002-11-24,1111
190,Léna KANDISSOUNON,FRA,1998-11-26,1111
191,Alexia SMITH,USA,,1111
192,Kayla DAVIS,USA,2003-12-21,1111
193,Tiffany HUGHEY,USA,,1111
194,Jemma POLLARD,AUS,2005-04-18,1110
195,Weronika BARTNOWSKA,POL,2000-05-16,1110
196,Victoria BOSSONG,USA,2003-05-05,1109
197,Kennedy SIMON,USA,2000-02-12,1109
198,Sarah Jane UNDERWOOD,USA,,1109
199,Kennedy WADE,USA,2003-07-22,1108
200,Annina FAHR,SUI,1993-04-06,1107
201,Pearl AWANYA,GHA,2004-09-20,1107
202,Jonbibi HUKMOVA,UZB,2005-09-01,1106
203,Yekaterina SAFONOVA,RUS,1998-01-06,1106
204,Ashanti DENTON,USA,,1106
205,Amirah SHARPE,USA,,1106
206,Izzy GOUDROS,CAN,2003-08-12,1105
207,Irina GORR,GER,1997-12-19,1104
208,Mekenze KELLEY,USA,2003-12-18,1104
209,Osaretin Joy USENBOR,NGR,2004-11-30,1104
210,Opeyemi Deborah OKE,NGR,2004-10-29,1104
211,Ava SIMMS,USA,2005-05-03,1104
212,Rasha BADRANI,LBN,2004-06-15,1103
213,Kalliopi KOUNTOURI,CYP,1997-07-07,1103
214,Berta SEGURA,ESP,2003-06-06,1103
215,Payton SMITH,USA,,1103
216,Moa GRANAT,SWE,2004-08-08,1103
217,Jamara PATTERSON,GRN,2004-09-16,1103
218,Aoi TERAMOTO,JPN,2003-07-22,1102
219,Karolina ZBIČAJNIK,SLO,2005-01-04,1102
220,Cliodhna MANNING,IRL,1995-04-26,1102
221,Marie KIMUMBA,SWE,1995-07-30,1101
222,Peace NWALEHIA,NGR,1999-02-02,1101
223,Andrea SAVOVA,BUL,2000-10-04,1100
224,Anna SALISBURY,USA,,1100
225,Kateřina ŠMILAUEROVÁ,CZE,2001-04-22,1100
226,Chinenye Josephine ONUORAH,THA,2002-10-04,1100
227,Izzy NEAL,NZL,2001-05-20,1099
228,Twaneise JOHNSON,USA,,1099
229,Alivia WILLIAMS,USA,,1099
230,Mamakoli SENAUOANE,LES,2003-03-25,1098
231,Amaka Joy NWOKIKE,NGR,2003-11-11,1098
232,Zoey GOLDSTEIN,USA,2002-05-21,1098
233,Paola LOBOA,COL,2005-04-22,1098
234,Hannah CAIOLA,USA,,1098
235,Megan MCGINNIS,USA,,1098
236,Rebecca BENNETT,AUS,1999-03-01,1098
237,Estelle Raffai GOUANINDJI,FRA,1998-02-06,1097
238,Latasha SMITH,USA,2001-01-13,1097
239,Jasmin GUTHRIE,AUS,2003-09-21,1097
240,Marcela PÍRKOVÁ,CZE,1996-01-25,1097
241,Abby SUSZEK,USA,,1097
242,Evelin MERCADO,ECU,2003-03-27,1096
243,Cristal Chenoa CUERVO,PAN,2002-06-01,1096
244,Sofia LAVRESHINA,POR,2003-06-14,1096
245,Dejona SIMPSON,JAM,2003-12-14,1096
246,Ilaria BURATTIN,ITA,1994-03-18,1095
247,Kyairra REIGH,USA,,1095
248,Grace CLAXTON,PUR,1993-08-19,1094
249,Judith FRANZEN,GER,1999-04-23,1094
250,Chloe FAIR,USA,2001-11-12,1093
251,Rachel MCCANN,IRL,2001-09-26,1093
252,Kayla MCBRIDE,USA,,1093
253,Corinna SCHWAB,GER,1999-04-05,1093
254,Nadeesha RAMANAYAKE,SRI,1994-12-25,1092
255,Julia JACKSON,USA,,1092
256,Anne VAN DE WIEL,NED,1997-06-04,1092
257,Delea MARTINS,USA,,1092
258,Salma LEHLALI,MAR,2003-03-04,1091
259,Arianna SHARPE,USA,,1091
260,Queen USUNOBUN,NGR,2005-01-18,1091
261,Haley TATE,USA,2004-01-16,1091
262,Analisse BATISTA,USA,,1090
263,Karolina PAHLITZSCH,GER,1994-04-05,1090
264,Blessing Joy AKINTOYE,NGR,2004-02-13,1090
265,Clarissa VIANELLI,ITA,2005-11-09,1090
266,Annalies KALMA,NZL,2003-12-06,1090
267,Maja POGOREVC,SLO,1996-07-31,1090
268,Andrea RIVERA,PUR,2004-01-28,1089
269,Jada VAN STADEN,RSA,2003-04-20,1089
270,Lisa LILJA,SWE,1996-11-22,1089
271,Charlotte MCAULIFFE,AUS,2007-02-15,1088
272,Christine MALLARD,USA,2004-05-12,1087
273,Emily MARTIN,CAN,2004-05-30,1087
274,Fatou GAYE,SEN,1997-01-02,1087
275,Caroline HAWKES,USA,,1086
276,Darya TIKHONOVA,RUS,1998-08-15,1086
277,Barbara CAMBLOR,ESP,1994-04-24,1086
278,Julia Aparecida ROCHA,BRA,2005-05-07,1085
279,Cassidra THOMPSON,BAH,2004-01-13,1085
280,Golekanye Kebonye CHIKANI,BOT,2002-03-14,1084
281,Josephine Risberg THOOR,SWE,1995-08-29,1084
282,Milja THURESON,FIN,1994-05-23,1084
283,Jocelyn NIEMIEC,USA,,1084
284,Pauline TORIEL,FRA,2001-02-21,1084
285,Benny NONTANAM,THA,2001-05-15,1083
286,Jiadie MO,CHN,2000-01-06,1083
287,Serena TATE,USA,,1083
288,Michaela MCCALL,USA,,1083
289,Devyaniba ZALA,IND,2002-03-15,1083
290,Maya SHINNICK,USA,,1083
291,Yuzuki NAKAO,JPN,2004-07-30,1082
292,Maya VALMON,USA,2002-07-08,1082
293,Manon DE MAREZ,BEL,1997-03-26,1082
294,Nandy KIHUYU,GBR,2005-06-15,1082
295,Yuliya BLIZNETS,BLR,1994-11-05,1081
296,Brittany OGUNMOKUN,NGR,1990-05-26,1081
297,Dominika DURAJ,POL,2005-04-26,1081
298,Alyssa MARSH,CAN,2000-12-21,1080
299,Keliza SMITH,GUY,2003-04-25,1080
300,Caleia JOHNSON,USA,,1080
301,Gladys MUMBE,KEN,2002-05-14,1079
302,Line Safaa AL-SAIDDI,NOR,2006-12-17,1079
303,Hannah MERGENTHALER,GER,1997-03-09,1079
304,Klaudia OSIPIUK,POL,2005-08-09,1079
305,Erica BARBOSA,BRA,2002-11-07,1078
306,Laila GAYNOR,USA,,1078
307,Kennedi SANDERS,USA,2003-04-16,1078
308,Khia HOLLOWAY,USA,,1078
309,Aariyana WILLIAMS,USA,,1078
310,Shevanae THOMAS,JAM,2003-02-08,1077
311,Terren PETERSON,USA,,1077
312,Alyssa BEAN,USA,,1077
313,Alayna VERNER,USA,,1077
314,Holly MPASSY,GBR,2003-07-12,1077
315,Nahomy CASTRO,COL,2005-01-06,1076
316,Galefele MOROKO,BOT,1997-04-16,1076
317,Kiya LAWSON,USA,,1076
318,Aly CONYERS,USA,,1075
319,Victoria KWARTENG,FRA,2007-03-22,1075
320,Leticia LIMA,BRA,2001-04-30,1075
321,Margaret CONTEH,USA,,1074
322,Asia FOSTER,BAR,,1074
323,Jenna JAMES,CAN,2003-07-08,1073
324,Haruna KUBOYAMA,JPN,1996-04-05,1073
325,Eleonora FOUDRAZ,ITA,2001-09-06,1073
326,Karin DISCH,SUI,1997-05-03,1072
327,Lakshima MENDIS,SRI,2002-08-17,1072
328,Kelsie BELQUIST,USA,,1072
329,Elisa LORENZO,ESP,2005-04-22,1072
330,Abrina WRIGHT,JAM,2006-09-07,1072
331,Siyu ZUO,CHN,2001-08-16,1071
332,Alina KOSTINA,RUS,1998-10-02,1071
333,Sila KOLOĞLU,TUR,2004-08-20,1071
334,Ella HOPPER,USA,,1071
335,Tierra ROBINSON-JONES,USA,1999-11-22,1071
336,Micha POWELL,CAN,1995-01-12,1070
337,Yuzuki KOJIMA,JPN,2004-09-25,1070
338,Rose ACKLIN,AUS,2008-10-21,1070
339,Adrianna JANOWICZ-PÓŁTORAK,POL,1995-04-16,1070
340,Lauren RULE,GBR,1996-10-24,1070
341,Leah THAMES,USA,,1069
342,Sydney HARRIS,USA,2005-02-20,1069
343,Sian HARRY,GBR,1993-06-02,1069
344,Sa'Nijah HOUSTON,USA,,1069
345,Mathilde DESCOUX,FRA,2003-06-21,1069
346,Lea THERY-DEMARQUE,FRA,2003-12-17,1068
347,Anna CONNORS,USA,,1068
348,Hannah VAN NIEKERK,RSA,2005-01-28,1067
349,Angelique STRYDOM,RSA,2002-02-01,1067
350,Lena LEEGE,GER,2004-10-15,1067
351,Luna FISCHER,GER,2007-03-30,1067
352,Sadai HEADLEY-MAWASI,USA,,1067
353,Sophia GREGOREVIC,AUS,2005-11-05,1067
354,Natalia KORCZUK,POL,1998-10-15,1066
355,Zofia TOMCZYK,POL,2008-06-17,1066
356,Dae'Nitra HESTER,USA,,1065
357,Samarra MONRROY,USA,,1064
358,Alexia LOIZOU,AUS,1998-04-16,1064
359,Anouk KRAUSE-JENTSCH,GER,2005-07-11,1064
360,Zoe TESSAROLO,ITA,2003-01-19,1064
361,Aleksandra PEŠIĆ,SRB,1998-01-25,1064
362,Jada JONES,USA,2003-11-09,1064
363,Chloe SAENZ,USA,,1064
364,Liuniu LEGE,CHN,2003-07-08,1063
365,Josephine OLOYE,NGR,2004-06-01,1063
366,Mia SHEPARD,USA,,1063
367,Cynai CHRISTOPHER,USA,,1063
368,Jerzie FINSTAD,USA,,1063
369,Barbora VESELÁ,CZE,2000-01-17,1063
370,Taliyah BOOKER,USA,,1063
371,Lilje Lopes PATEY,NOR,2007-02-15,1063
372,Suany RODRÍGUEZ,CUB,2002-11-14,1062
373,Lenora Guion FIRMIN,FRA,1991-08-07,1062
374,Yutong JIANG,CHN,2005-04-28,1062
375,Abigail CAMPBELL,JAM,2006-01-02,1062
376,Jonna CLAESSON,SWE,2000-03-17,1062
377,Jordyn BLAKE,NZL,2000-06-05,1062
378,Princess CHIOMA,NGR,2004-05-30,1062
379,Fengdan LI,CHN,2002-09-09,1062
380,Yelizaveta GOLOVATAYA,RUS,2005-02-08,1062
381,Laura FRATTAROLI,ITA,2008-05-21,1062
382,Sarai JAVIER,PUR,,1061
383,Shiyu WANG,CHN,2004-09-28,1061
384,Skyler WATTS,USA,,1061
385,Arlene CROSSAN,IRL,1999-03-13,1061
386,Tetiana KHARASHCHUK,UKR,2002-01-25,1061
387,Natalia ROJAS,ESP,2005-04-07,1061
388,Sophia FAVALLI,ITA,2001-02-16,1061
389,Praise IDAMADUDU,NGR,1998-12-18,1060
390,Anna CEROVSKÁ,CZE,,1060
391,Guðbjörg Jóna BJARNADÓTTIR,ISL,2001-12-24,1060
392,Marie DUVIGNEAU,FRA,1999-04-10,1060
393,Martyna GUZOWSKA,POL,2003-01-13,1060
394,Natalija ŠVENDA,CRO,2002-10-13,1059
395,Borghild Oline HOLSTAD,NOR,2006-04-25,1059
396,Messalina PIERONI,BEL,1998-05-17,1059
397,Mackenzie OSHER,USA,,1058
398,Camilla ROSSI,ITA,2004-04-24,1058
399,Abigeirufuka IDO,JPN,2001-06-15,1058
400,Jeylah HAMRICK,USA,,1058
