rank,name,nationality,dob,points
1,Marileidy PAULINO,DOM,1996-10-25,1496
2,Salwa Eid NASER,BRN,1998-05-23,1447
3,Natalia BUKOWIECKA,POL,1998-01-17,1409
4,Amber ANNING,GBR,2000-11-18,1392
5,Rhasidat ADELEKE,IRL,2002-08-29,1387
6,Alexis HOLMES,USA,2000-01-28,1382
7,Henriette JÆGER,NOR,2003-06-30,1376
8,Isabella WHITTAKER,USA,2002-02-15,1358
9,Lieke KLAVER,NED,1998-08-20,1340
10,Aaliyah BUTLER,USA,2003-11-05,1326
11,Martina WEIL,CHI,1999-07-12,1326
12,Sada WILLIAMS,BAR,1997-12-01,1324
13,Nickisha PRYCE,JAM,2001-03-07,1299
14,Lynna IRBY-JACKSON,USA,1998-12-06,1295
15,Stacey Ann WILLIAMS,JAM,1999-03-08,1279
16,Paula SEVILLA,ESP,1997-06-28,1274
17,Lurdes Gloria MANUEL,CZE,2005-07-12,1269
18,Laviai NIELSEN,GBR,1996-03-13,1266
19,Miranda Charlene COETZEE,RSA,1997-11-14,1259
20,Susanne GOGL-WALLI,AUT,1996-05-05,1259
21,Roxana GÓMEZ,CUB,1999-01-07,1256
22,Sharlene MAWDSLEY,IRL,1998-08-10,1253
23,Bassant HEMIDA,EGY,1996-09-28,1252
24,Dejanea OAKLEY,JAM,2004-07-04,1252
25,Evelis AGUILAR,COL,1993-01-03,1252
26,Justyna ŚWIĘTY-ERSETIC,POL,1992-12-03,1246
27,Mercy Adongo OKETCH,KEN,2002-07-30,1246
28,Andrea MIKLÓS,ROU,1999-04-17,1245
29,Alice MANGIONE,ITA,1997-01-19,1236
30,Leah ANDERSON,JAM,1999-12-01,1234
31,Rosey EFFIONG,USA,2001-05-08,1233
32,Polina TKALICH,RUS,2000-06-09,1229
33,Amandine BROSSIER,FRA,1995-08-15,1228
34,Ellie BEER,AUS,2003-01-03,1226
35,Lada VONDROVÁ,CZE,1999-09-06,1223
36,Helena PONETTE,BEL,2000-02-03,1222
37,Bailey LEAR,USA,2001-03-17,1218
38,Gabby SCOTT,PUR,1997-01-13,1213
39,Shirley NEKHUBUI,RSA,2000-07-31,1212
40,Lauren GALE,CAN,2000-01-01,1211
41,Yemi Mary JOHN,GBR,2003-05-03,1205
42,Shafiqua MALONEY,VIN,1999-02-27,1203
43,Anna POLINARI,ITA,1999-02-07,1203
44,Rachel JOSEPH,USA,2004-03-26,1201
45,Nanako MATSUMOTO,JPN,1996-09-03,1200
46,Ella ONOJUVWEVWO,NGR,2005-03-25,1198
47,Imke VERVAET,BEL,1993-04-11,1198
48,Kaylyn BROWN,USA,2004-12-31,1198
49,Zoe SHERAR,CAN,1999-11-07,1197
50,Ama PIPI,GBR,1995-11-26,1196
51,Mette BAAS,FIN,2000-09-10,1195
52,Blanca HERVAS,ESP,2002-09-30,1194
53,Quanera HAYES,USA,1992-03-07,1188
54,Talitha DIGGS,USA,2002-08-22,1187
55,Vimbayi MAISVOREWA,ZIM,2000-01-25,1185
56,Paris PEOPLES,USA,2000-05-27,1185
57,Leni SHIDA,UGA,1994-05-22,1184
58,Sami OBLAD,USA,,1183
59,Eva SANTIDRIÁN,ESP,2000-01-25,1182
60,Shaquena FOOTE,JAM,2001-07-23,1175
61,Skadi SCHIER,GER,2000-03-25,1175
62,Victoria OHURUOGU,GBR,1993-02-28,1175
63,Anastazja KUŚ,POL,2007-05-11,1174
64,Nicole CAICEDO,ECU,2000-09-02,1173
65,Veronika DRLJAČIĆ,CRO,2001-12-13,1173
66,Dianna PROCTOR,CAN,2005-04-25,1172
67,Wadeline JONATHAS,USA,1998-02-19,1172
68,Sophie BECKER,IRL,1997-05-16,1172
69,Zaya AKINS,USA,2005-08-30,1172
70,Virginia TROIANI,ITA,1996-02-22,1171
71,Aliyah ABRAMS,GUY,1997-04-03,1171
72,Caitlyn BOBB,BER,2003-04-23,1169
73,Madison WHYTE,USA,2004-10-17,1168
74,Johanna MARTIN,GER,2006-04-10,1166
75,Myrte Der VAN SCHOOT,NED,2004-04-16,1166
76,Nicole YEARGIN,GBR,1997-08-11,1164
77,Eveline SAALBERG,NED,1998-07-30,1164
78,Lisanne DE WITTE,NED,1992-09-10,1163
79,Dina ASHER-SMITH,GBR,1995-12-04,1162
80,Javonya VALCOURT,BAH,2004-12-08,1161
81,Tereza PETRŽILKOVÁ,CZE,1993-09-10,1160
82,Alexe DEAU,FRA,2004-09-04,1160
83,Catia GUBELMANN,SUI,2001-08-23,1160
84,Kaelyaah LIBURD,IVB,2004-11-09,1157
85,Joanne REID,JAM,2001-12-25,1156
86,Anna GRYC,POL,1999-10-16,1155
87,Carmen AVILÉS,ESP,2002-04-05,1155
88,Tiffani MARINHO,BRA,1999-05-06,1154
89,Marlie VILJOEN,RSA,2000-08-01,1153
90,Poppy MALIK,GBR,2003-11-27,1153
91,Jan'Taijah JONES,USA,2001-03-15,1152
92,Sita SIBIRI,BUR,2004-03-07,1152
93,Rupal,IND,2004-12-23,1150
94,Alicja WRONA-KUTRZEPA,POL,1996-01-11,1150
95,Roneisha MCGREGOR,JAM,1997-10-09,1149
96,Lina Esther Licona TORRES,COL,1998-10-01,1149
97,Barbora MALÍKOVÁ,CZE,2001-12-30,1149
98,Modesta Justė MORAUSKAITĖ,LTU,1995-10-02,1149
99,Sanaria BUTLER,USA,2004-04-27,1149
100,Aleksandra FORMELLA,POL,2001-10-27,1147
101,Maygan SHAW,USA,,1147
102,Courtney OKOLO,USA,1994-03-15,1145
103,Anna SADOVNICHEVA,RUS,2001-06-14,1143
104,Alessandra BONORA,ITA,2000-09-07,1143
105,Piper JONS,USA,,1143
106,Arie FLORES,JPN,2004-06-03,1142
107,Daniela LEDECKÁ,SVK,1996-11-04,1142
108,Chioma NWACHUKWU,NGR,2008-06-26,1142
109,Taylor MANSON,USA,1999-09-29,1140
110,Candice MCLEOD,JAM,1996-11-15,1140
111,Lauren TOLBERT,USA,2004-07-06,1140
112,Hannah KELLY,GBR,2000-12-20,1140
113,Ana PRIETO,ESP,2005-10-17,1139
114,Printassia JOHNSON,BAH,1993-11-12,1139
115,Mercy CHEBET,KEN,2002-01-02,1138
116,Charlotte HENRICH,GBR,2006-08-30,1138
117,Damaris MUTUNGA,KEN,2005-12-30,1138
118,Rebecca BORGA,ITA,1998-06-11,1137
119,Anabel Medina VENTURA,DOM,1996-12-15,1137
120,Oneika MCANNUFF,JAM,2003-09-03,1137
121,Aaliyah PYATT,USA,,1137
