rank,name,nationality,dob,points
241,Birhane MENGISTU,ETH,2006-08-25,1079
242,Kibet MANGATA,KEN,2004-08-05,1079
243,Riley HOUGH,USA,,1079
244,Akihito KAWATA,JPN,2000-09-08,1079
245,Jack O'LEARY,IRL,1997-11-04,1078
246,Rúben AMARAL,POR,2001-04-26,1078
247,Yuki ISHII,JPN,1997-12-03,1077
248,Adam MAIJO,ESP,2001-04-26,1077
249,Shadrack Rono KIPKEMEI,KEN,2006-03-15,1077
250,Justus MUASYA,KEN,2004-05-15,1077
251,Oisín Ó GAILÍN,IRL,1997-03-14,1076
252,Dolphine CHELIMO,UGA,2005-07-10,1076
253,Christopher HUNTER,USA,,1076
254,William COOGAN,USA,,1076
255,Callum MORGAN,IRL,2003-06-18,1076
256,Jojo JOURDON,USA,,1075
257,Hamza CHAHID,MAR,2001-11-07,1075
258,Alex Franck Cliford NGOUARI-MOUISSI,CGO,1991-09-16,1075
259,Braedon PALMER,USA,,1074
260,Hideto KOSODE,JPN,1998-05-05,1074
261,Nickson Lesiyia PARIKEN,KEN,2001-09-30,1073
262,Henry DOVER,GBR,2005-10-15,1073
263,Kyosuke KOGURE,JPN,1999-08-10,1073
264,Kaisei OKADA,JPN,2005-08-30,1073
265,Shadrack KIPTOO,KEN,2003-12-31,1072
266,Jan FRIŠ,CZE,1995-12-19,1072
267,Raphael LONGISA,KEN,2003-08-21,1072
268,Shadrack KIPCHIRCHIR,KEN,2001-04-25,1072
269,Ryan WATTS,USA,,1072
270,Sam ELLS,USA,,1072
271,Eemil HELANDER,FIN,2001-05-28,1071
272,Dennis KIPRUTO,KEN,,1071
273,Yegor LIMONOV,RUS,1999-06-22,1071
274,Rowen ELLENBERG,USA,,1071
275,Mohad Abdikadar Sheik ALI,ITA,1993-06-12,1070
276,Ren TAZAWA,JPN,2000-11-11,1070
277,Said AMERI,ALG,2003-06-15,1070
278,Duarte SANTOS,POR,2003-07-24,1070
279,Sam ATKIN,GBR,1993-03-14,1069
280,Patrick ANDERSON,USA,,1069
281,Eric CASAREZ,USA,,1069
282,Florian LE PALLEC,FRA,1999-05-31,1069
283,Jacob CANN,GBR,2000-12-22,1068
284,Frankline KIBET,KEN,2007-07-28,1068
285,Sebastian LÖRSTAD,SWE,2008-04-17,1068
286,Tyrone GORZE,USA,2004-11-15,1067
287,Sota ORITA,JPN,2005-09-18,1067
288,Peter Kamau MUIRURI,KEN,2001-12-28,1066
289,Lukas KIPROP,KEN,,1065
290,Simeon BIRNBAUM,USA,2005-06-23,1065
291,Leo YOUNG,USA,2005-02-28,1065
292,Graydon MORRIS,USA,2001-12-17,1065
293,Ronald NGETICH,KEN,2000-05-20,1065
294,Leo DASCHBACH,USA,2001-10-04,1064
295,Jinichiro KAMEDA,JPN,2001-08-28,1064
296,Michael MOONEY,USA,,1064
297,Riki KOIKE,JPN,2004-11-26,1064
298,Wil SMITH,USA,2001-09-07,1063
299,Lukas HAUG,GER,,1063
300,Shumpei YAMAGUCHI,JPN,2006-01-15,1063
301,Kazuki TAMURA,JPN,1995-07-16,1063
302,Jayde ROSSLEE,RSA,2004-01-05,1063
303,Santiago PROSSER,USA,,1063
304,Ryo GODA,JPN,1999-08-08,1063
305,Giedrius VALINČIUS,LTU,2000-01-20,1062
306,Yuichiro UENO,JPN,1985-07-29,1062
307,Mohamed GULED,USA,,1062
308,Andreas Bock BJØRNSEN,DEN,2000-05-06,1061
309,Brian MASAI,KEN,,1061
310,Drew ROGERS,USA,2004-02-26,1061
311,Justin WACHTEL,USA,,1061
312,Kiseki SHIOZAWA,JPN,1998-12-17,1061
313,Christopher SULLIVAN,USA,,1061
314,Felix MUTHIANI,KEN,2007-07-27,1061
315,Haruki NIIZUMA,JPN,2007-05-17,1061
316,Evan JENKINS,USA,2004-03-29,1060
317,Haruki MINATOYA,JPN,1996-04-25,1060
318,Toby GUALTER,NZL,2000-11-27,1060
319,Victor CHEROTICH,UGA,2006-12-19,1060
320,Cameron ALLAN,GBR,1999-11-04,1059
321,Albert VELIKONJA,USA,,1059
322,Takuya HANYU,JPN,1997-11-08,1059
323,Matthew TAYLOR,NZL,1994-06-28,1059
324,Myles HOGAN,USA,,1058
325,Shay MCEVOY,IRL,2001-06-01,1057
326,Hazuma HATTORI,JPN,1995-02-07,1057
327,Xavier Badia GARCIA,ESP,1995-10-15,1057
328,Masashi NONAKA,JPN,1995-11-10,1057
329,Ryan RIDDLE,USA,,1057
330,Michael MIRELES,USA,,1057
331,Job CHEMUTAI,UGA,,1057
332,Sakito MATSUZAKI,JPN,2000-08-18,1056
333,Brett RUSHMAN,GBR,2002-03-30,1056
334,Gideon KIPNGETICH,KEN,2006-05-06,1056
335,Illya KUNIN,UKR,2002-03-07,1055
336,William LITTLE,NZL,1999-12-29,1055
337,Corey GORGAS,USA,,1055
338,Zachary LEACHMAN,USA,,1055
339,Aleix VIVES,ESP,2004-09-27,1055
340,William AMPONSAH,GHA,1999-12-11,1054
341,Artūrs Niklāvs MEDVEDS,LAT,1999-11-17,1054
342,Samuel NGAYU,KEN,2008-02-03,1054
343,Charles PHILIBERT-THIBOUTOT,CAN,1990-12-31,1053
344,Pavel NEBYT,BLR,1996-03-07,1053
345,Charles ROBERTSON,USA,,1053
346,Johnny LIVINGSTONE,GBR,2003-06-11,1053
347,Yudai SHIMAZU,JPN,2000-03-28,1053
348,Diego Adolfo GARCIA,MEX,2000-08-03,1053
349,Evan HORGAN,USA,,1052
350,Mogeni Benuel MAGOMA,KEN,2001-03-11,1051
351,Sei YOSHIDA,JPN,2008-08-10,1051
352,Shumpei TOMITA,JPN,2000-09-20,1051
353,Evans KIPKOSGEI,KEN,2006-10-08,1051
354,Justin KEYES,USA,,1051
355,Kiyoshi KOGA,JPN,1996-04-30,1051
356,Zachary CLOUD,USA,,1051
357,Meshack KUYO,USA,,1051
358,Berkley NANCE,USA,2005-12-24,1051
359,Tatsuya IYODA,JPN,2000-07-18,1051
360,Carlos San MARTÍN,COL,1993-11-19,1050
361,Andreas VOJTA,AUT,1989-06-09,1050
362,Aidan TROUTNER,USA,,1050
363,Peter WALSDORF,USA,,1050
364,Syunsuke KUWATA,JPN,2005-05-17,1050
365,Marc LAURET,FRA,1998-09-28,1050
366,Sam WILHELM,USA,,1049
367,Shota NAKANO,JPN,2001-06-12,1049
368,Julien REBECK,FRA,1999-01-12,1049
369,Damián VÍCH,CZE,1998-08-14,1049
370,Simon PRADY,FRA,,1049
371,Sailas ROTICH,UGA,2005-11-20,1049
372,Davin THOMPSON,USA,,1048
373,Imad El GOUMRI,FRA,2004-07-07,1048
374,Daiki HATTORI,JPN,1999-03-07,1048
375,Declan RYMER,USA,,1048
376,Taiyo IWASAKI,JPN,1998-12-18,1048
377,Grady RAUBA,USA,,1047
378,David Shungeya NEIYIAI,KEN,2000-12-17,1047
379,Joshua PHILLIPS,AUS,1999-04-29,1047
380,Abdulhalik ÇAĞIRAN,TUR,2002-09-15,1047
381,Ben POTRYKUS,GBR,1996-05-30,1047
382,Jeke ALLEN,USA,,1047
383,Ryotaro YOSHIHARA,JPN,1998-07-22,1047
384,Jerry MOTSAU,RSA,1990-03-12,1047
385,Charlie ORTMANS,USA,,1047
386,Nelson MANDELA,KEN,2004-12-30,1047
387,Toru KUBOTA,JPN,2001-05-12,1047
388,Archie NOAKES,AUS,2004-12-09,1046
389,Joaquín CAMPOS,CHI,2002-04-29,1046
390,Shunta UCHIDA,JPN,2000-09-19,1046
391,Brian KIPTOO,KEN,2006-08-19,1046
392,Chasen HUNT,USA,,1045
393,Ulises LOZA,MEX,2001-12-31,1045
394,Koby FRAAZA,USA,,1045
395,Yudai KATAKAWA,JPN,2002-12-26,1045
396,Kevin MCDERMOTT,USA,,1045
397,Kaisei SUGIYAMA,JPN,1999-10-28,1045
398,Walter NINA,PER,1994-02-15,1045
399,Luke JOHNSON,USA,,1045
400,Leon ROFAGHA,GER,,1044
