rank,name,nationality,dob,points
1,Berihu AREGAWI,ETH,2001-02-28,1453
2,Jakob INGEBRIGTSEN,NOR,2000-09-19,1427
3,Yomif KEJELCHA,ETH,1997-08-01,1422
4,Hagos GEBRHIWET,ETH,1994-05-11,1414
5,Grant FISHER,USA,1997-04-22,1401
6,Kuma GIRMA,ETH,2005-11-24,1394
7,Telahun Haile BEKELE,ETH,1999-05-13,1375
8,Biniam MEHARY,ETH,2006-12-20,1371
9,Jimmy GRESSIER,FRA,1997-05-04,1366
10,Birhanu BALEW,BRN,1996-02-27,1357
11,Nico YOUNG,USA,2002-07-27,1355
12,Graham BLANKS,USA,2002-04-24,1336
13,Nicholas KIPKORIR,KEN,1998-09-29,1335
14,Dominic Lokinyomo LOBALU,SUI,1998-08-16,1334
15,George MILLS,GBR,1999-05-12,1331
16,Jacob KROP,KEN,2001-06-04,1327
17,Ky ROBINSON,AUS,2002-02-27,1317
18,Samuel TEFERA,ETH,1999-10-23,1309
19,Mezgebu SIME,ETH,2005-10-07,1307
20,Mohamed ABDILAAHI,GER,1999-03-24,1307
21,Ronald KWEMOI,KEN,1995-09-19,1302
22,Isaac KIMELI,BEL,1994-03-09,1293
23,Mike FOPPEN,NED,1996-11-29,1279
24,Cornelius KEMBOI,KEN,2000-02-29,1278
25,Yann SCHRUB,FRA,1996-03-20,1269
26,Denis KIPKOECH,KEN,2006-06-05,1256
27,Thierry NDIKUMWENAYO,ESP,1997-03-26,1254
28,Etienne DAGUINOS,FRA,2000-02-15,1252
29,John HEYMANS,BEL,1998-01-09,1251
30,Brian Muange MUSAU,KEN,2006-12-29,1251
31,Gulveer SINGH,IND,1998-06-01,1250
32,Santiago CATROFE,URU,1999-02-13,1246
33,Cooper TEARE,USA,1999-08-18,1245
34,Andrew Kiptoo ALAMISI,KEN,2007-08-28,1244
35,Eduardo HERRERA,MEX,1997-09-23,1242
36,Keneth KIPROP,UGA,2005-05-13,1241
37,Khairi BEJIGA,ETH,2006-04-27,1238
38,Niels LAROS,NED,2005-04-17,1232
39,Dylan JACOBS,USA,2000-06-15,1231
40,Morgan BEADLESCOMB,USA,1998-06-01,1231
41,Florian BREMM,GER,2000-08-14,1230
42,Saymon AMANUEL,ERI,2007-05-27,1228
43,Brian FAY,IRL,1998-11-09,1227
44,Mathew Kipchumba KIPSANG,KEN,1995-11-16,1221
45,Rocky HANSEN,USA,,1220
46,Edwin KURGAT,KEN,1996-05-19,1217
47,Habtom SAMUEL,ERI,2003-11-30,1217
48,Andrew COSCORAN,IRL,1996-06-18,1216
49,Egide NTAKARUTIMANA,BDI,1997-10-21,1216
50,Narve Gilje NORDÅS,NOR,1998-09-30,1215
51,Nagiya MORI,JPN,1999-07-03,1214
52,Kieran TUNTIVATE,THA,1997-02-16,1212
53,William KINCAID,USA,1992-09-21,1212
54,Valentin SOCA,URU,2002-07-24,1204
55,Olin HACKER,USA,1997-05-21,1199
56,Filip INGEBRIGTSEN,NOR,1993-04-20,1198
57,Mohammed AHMED,CAN,1991-01-05,1197
58,Mahadi Abdi ALI,NED,1995-11-08,1197
59,Jonas RAESS,SUI,1994-03-08,1197
60,Addisu YIHUNE,ETH,2003-03-17,1195
61,James WEST,GBR,1996-01-30,1193
62,Bastien AUGUSTO,FRA,1999-08-10,1193
63,Sam PARSONS,GER,1994-06-18,1193
64,Marco LANGON,USA,2004-08-31,1192
65,Darragh MCELHINNEY,IRL,2000-11-09,1192
66,Maximilian THORWIRTH,GER,1995-01-09,1188
67,Elzan BIBIĆ,SRB,1999-01-08,1188
68,Magnus Tuv MYHRE,NOR,2000-06-15,1186
69,Ishmael Rokitto KIPKURUI,KEN,2005-02-10,1185
70,Parker WOLFE,USA,2003-07-27,1184
71,Keita SATOH,JPN,2004-01-22,1181
72,Emmanuel Korir KIPLAGAT,KEN,2002-05-05,1180
73,Hugo HAY,FRA,1997-03-28,1179
74,Seth O'DONNELL,AUS,2001-09-14,1178
75,Scott BEATTIE,GBR,1998-12-04,1177
76,Sean MCGORTY,USA,1995-03-08,1175
77,Elie SINDAYIKENGDERA,BDI,2004-01-01,1171
78,Matt STRANGIO,USA,2001-07-31,1170
79,Andrew HUNTER,USA,1997-09-05,1168
80,Amon KEMBOI,KEN,1995-12-10,1166
81,Fabien PALCAU,FRA,1997-06-22,1164
82,Adriaan WILDSCHUTT,RSA,1998-05-03,1163
83,Kieran LUMB,CAN,1998-08-02,1163
84,Evans KURUI,KEN,,1162
85,Thomas VANOPPEN,BEL,1999-09-19,1160
86,Jude THOMAS,AUS,2002-03-17,1159
87,Maxime CHAUMETON,RSA,2000-07-12,1159
88,Bob LIKING,USA,2002-05-16,1157
89,Ethan STRAND,USA,2002-10-20,1155
90,Kasey KNEVELBAARD,USA,1996-09-02,1154
91,Drew BOSLEY,USA,2000-10-08,1149
92,Nicholas GRIGGS,IRL,2004-12-18,1148
93,Emmanuel Moi MARU,KEN,2001-01-04,1148
94,Emil DANIELSSON,SWE,1997-09-05,1148
95,Isaac Kibet NDIEMA,KEN,1999-02-05,1148
96,Gilbert Kipkosgei KIPROTICH,KEN,2000-05-12,1146
97,Hailemariyam AMARE,ETH,1997-02-22,1145
98,Awet Nftalem KIBRAB,NOR,1995-05-09,1144
99,Brian BARRAZA,USA,1995-05-16,1144
100,Dawit SEARE,ERI,2004-12-29,1144
101,Kotaro SHINOHARA,JPN,2002-09-03,1143
102,Emile HAFASHIMANA,BDI,2005-03-01,1143
103,Abdessamad OUKHELFEN,ESP,1998-12-18,1142
104,Urgessa NEGASSA,ETH,2005-06-25,1141
105,Stewart MCSWEYN,AUS,1995-06-01,1141
106,Mebuki SUZUKI,JPN,2001-06-03,1138
107,Kazuya SHIOJIRI,JPN,1996-11-08,1138
108,Thomas BOYDEN,USA,,1138
109,Victor KIMUTAI,KEN,2000-10-20,1138
110,Mohamed ISMAIL,DJI,1997-01-01,1137
111,Vladimir NIKITIN,RUS,1992-08-05,1137
112,Henrik INGEBRIGTSEN,NOR,1991-02-24,1137
113,Jackson SHARP,AUS,2000-08-21,1136
114,Muluken TEWALT,USA,2003-01-20,1136
115,Kelvin KIPLAGAT,KEN,2004-01-31,1136
116,Jack BRUCE,AUS,1994-08-31,1134
117,Gideon Kipkertich RONO,KEN,2003-02-22,1133
118,Baptiste GUYON,FRA,2001-01-17,1133
119,Valentin GONDOUIN,FRA,1999-03-04,1133
120,Collins KIPROTICH,KEN,2004-05-05,1132
121,Felix Kiptarus KORIR,KEN,2003-08-15,1131
122,Daniel KOSEN,KEN,2003-05-10,1130
123,Raphael DAPASH,KEN,2004-04-03,1129
124,Ataklti KIDANU,ETH,,1129
125,Colton SANDS,USA,,1128
126,David MULLARKEY,GBR,2000-03-07,1128
127,Toby GILLEN,AUS,2001-05-23,1128
128,Ferdinand Kvan EDMAN,NOR,1993-02-12,1128
129,Hyuga ENDO,JPN,1998-08-05,1128
130,Ybeltal GASHAHUN,ETH,2006-04-26,1127
131,Yahya Aouina El KARBOUBI,ESP,1996-07-17,1127
132,Fouad MESSAOUDI,MAR,2001-01-07,1127
133,Theo QUAX,NZL,1999-12-27,1125
134,Acer IVERSON,USA,,1125
135,Cormac DALTON,IRL,1998-09-01,1125
136,Ernest CHERUIYOT,KEN,,1125
137,Thomas FAFARD,CAN,1998-12-06,1124
138,Joey NOKES,USA,,1124
139,Loic SCOMPARIN,FRA,2001-05-23,1124
140,Brian KIPTOO,KEN,2000-04-15,1124
141,Emmanuel KIBET,UGA,2004-10-02,1123
142,Rui SUZUKI,JPN,2006-04-19,1122
143,Kamil HERZYK,POL,2004-04-14,1122
144,Francesco GUERRA,ITA,2001-07-17,1120
145,Creed THOMPSON,USA,2002-12-30,1118
146,Ryuto IGAWA,JPN,2000-09-05,1118
147,Ayele TADESSE,ETH,2005-09-17,1117
148,Johnathan RENIEWICKI,USA,1995-10-03,1115
149,James CORRIGAN,USA,2002-04-16,1114
150,Zachary FACIONI,AUS,1999-04-03,1113
151,Abhishek PAL,IND,1997-07-15,1112
152,Dennis MUTUKU,KEN,2005-09-30,1112
153,Itta TAMEIKE,JPN,2003-09-23,1111
154,Tim VERBAANDERT,NED,2000-07-17,1110
155,Robin BERA,KEN,,1110
156,Tomer TARRAGANO,GBR,2001-01-04,1109
157,Eric Der VAN ELS,USA,1998-05-23,1109
158,James HANSEN,AUS,1993-11-27,1109
159,Tomoya OGIKUBO,JPN,1997-12-11,1109
160,Edwin KIPSAISAK,KEN,2005-03-16,1109
161,Taishi ITO,JPN,2003-02-02,1108
162,Simon BEDARD,FRA,1997-01-03,1107
163,Baldvin MAGNUSSON,ISL,1999-04-07,1106
164,Gary MARTIN,USA,2003-12-23,1104
165,Mohamed Amin JHINAOUI,TUN,1997-04-02,1104
166,Ryan SCHOPPE,USA,,1104
167,Ayumu KOBAYASHI,JPN,1998-08-15,1103
168,Martin DESMIDT,FRA,2001-04-18,1103
169,Stephen MUTHINI,KEN,2005-07-20,1103
170,Marcel TOBLER,AUT,2001-09-13,1102
171,Will BARNICOAT,GBR,2003-03-24,1102
172,Tomonori YAMAGUCHI,JPN,2003-04-13,1101
173,Seán TOBIN,IRL,1994-07-20,1100
174,Philip SESEMANN,GBR,1992-10-03,1100
175,Luis GRIJALVA,GUA,1999-04-10,1099
176,Festus KIMORWA,KEN,2006-06-07,1099
177,Jonathan GRAHN,SWE,2004-12-30,1099
178,Patrick Kiptoo KIPROP,KEN,2000-04-30,1098
179,Samwel Chebolei MASAI,KEN,2001-03-20,1098
180,Melkeneh AZIZE,ETH,2005-01-01,1097
181,Cole SPROUT,USA,2001-12-03,1097
182,Edward BIRD,GBR,2005-01-11,1097
183,Evans KIPLAGAT,KEN,2005-05-07,1097
184,Miguel MOREIRA,POR,2000-11-24,1096
185,Matan IVRI,ISR,2002-05-26,1096
186,Yuichiro NISHIKAWA,JPN,1997-10-10,1096
187,Ignacio VELASQUEZ,CHI,1998-12-28,1095
188,Isaac HEYNE,AUS,2000-01-24,1094
189,Dismas Lokira KORIR,KEN,1998-05-07,1093
190,Per SVELA,NOR,1992-03-19,1092
191,Masaya TSURUKAWA,JPN,2002-06-02,1092
192,Rogers KIBET,UGA,2003-03-26,1092
193,Evan BISHOP,USA,,1092
194,Dan KIPLANGAT,KEN,1996-06-04,1092
195,Shunya KIKUCHI,JPN,1998-07-26,1091
196,Amos Kipkemboi BETT,KEN,2000-08-03,1091
197,Andreas Fjeld HALVORSEN,NOR,2005-09-14,1090
198,Tadesse GETAHON,ISR,1997-12-20,1090
199,Lex YOUNG,USA,2005-02-28,1090
200,Samuel Simba CHEROP,UGA,2006-07-03,1090
201,Jacob WHITE,USA,,1090
202,Matthew FORRESTER,RSA,2001-09-25,1090
203,Victor KIPROP,KEN,,1089
204,Luke GRUNDVIG,USA,,1089
205,Oliver CHIGNELL,NZL,1998-02-16,1089
206,Shunsuke YOSHII,JPN,2003-04-08,1088
207,István SZÖGI,HUN,1995-09-12,1087
208,Hugo ROCHA,POR,1997-06-27,1087
209,Edouard MORIN-LUZUY,FRA,2002-10-16,1087
210,Jason CLAYTON,AUS,2001-05-15,1087
211,Christian DE VAAL,NZL,2005-01-18,1087
212,Takuma SUNAOKA,JPN,2000-03-23,1087
213,Morgan LE GUEN,SUI,1993-09-12,1086
214,Dereje CHEKOLE,ISR,2000-07-13,1086
215,Nursultan KENESHBEKOV,KGZ,2000-03-25,1086
216,James DARGAN,GBR,2005-09-17,1086
217,James KARURI,KEN,2007-10-20,1085
218,Ryuto URUSHIBATA,JPN,2000-08-10,1085
219,Nibret KINDE,ETH,2006-01-01,1084
220,Matthew CLARKE,AUS,1995-04-29,1084
221,Sigurd Ruud SKJESETH,NOR,1996-12-24,1083
222,Will DALEY,USA,,1083
223,Yamato HAMAGUCHI,JPN,2006-05-03,1083
224,Robert DIDONATO,USA,,1083
225,Aurélien RADJA,FRA,2004-03-31,1083
226,Shoya KAWASE,JPN,1998-07-19,1083
227,Ben SHEARER,USA,,1082
228,Kidus MISGINA,USA,,1082
229,Sawan BARWAL,IND,1998-02-18,1082
230,Shouya YONEI,JPN,1997-02-01,1082
231,Musio SAIDAMU,KEN,2000-10-12,1082
232,Daniel SCHAFFER,USA,1998-02-05,1082
233,Sebastian FREY,AUT,2002-05-28,1081
234,Jacob PYEATT,USA,,1081
235,Vincent CHIRCHIR,KEN,,1081
236,Matthew KOSGEI,KEN,2006-03-14,1081
237,Yamato YOSHII,JPN,2002-02-14,1080
238,Shingo MORIYAMA,JPN,1998-08-31,1080
239,Yevgeniy RYBAKOV,RUS,1985-02-27,1079
240,Jamar DISTEL,USA,2004-01-11,1079
