rank,name,nationality,dob,points
55,Pascal MARTINOT-LAGARDE,FRA,1991-09-22,1220
56,Artyom MAKARENKO,RUS,1997-04-23,1219
57,Milan TRAJKOVIC,CYP,1992-03-17,1217
58,Jaheim STERN,JAM,2002-11-26,1216
59,Raphaël MOHAMED,FRA,1998-02-02,1214
60,David YEFREMOV,KAZ,1999-01-15,1212
61,Antonio ALKANA,RSA,1990-04-12,1211
62,Damian CZYKIER,POL,1992-08-10,1209
63,Lafranz CAMPBELL,JAM,1997-10-19,1209
64,Connor SCHULMAN,USA,2001-07-02,1205
65,Tayleb WILLIS,AUS,2003-03-18,1204
66,Malachi SNOW,USA,,1203
67,Johnny BRACKINS,USA,2003-07-29,1202
68,Shenglong ZHU,CHN,2000-01-25,1202
69,Tade OJORA,GBR,1999-10-14,1201
70,Gregory MINOUE,GER,2002-03-13,1200
71,John ADESOLA,RSA,2002-04-08,1198
72,Theo PEDRE,FRA,2005-05-04,1198
73,Antoine ANDREWS,BAH,2003-04-12,1198
74,Amine BOUANANI,ALG,1997-10-17,1196
75,Louis ROLLINS,USA,1996-09-30,1195
76,Krzysztof KILJAN,POL,1999-12-30,1195
77,Yousuf Badawy SAYED,EGY,2002-02-07,1192
78,Shunya TAKAYAMA,JPN,1994-09-03,1192
79,Timme KOSTER,NED,2002-12-12,1190
80,Tejas SHIRSE,IND,2002-06-04,1190
81,Rasheem BROWN,CAY,2000-03-22,1190
82,Demaris WATERS,USA,2004-06-07,1189
83,Jacob MCCORRY,AUS,1997-11-20,1189
84,Franco LE ROUX,RSA,2005-12-01,1188
85,Filip Jakob DEMŠAR,SLO,2000-04-03,1188
86,Darius BROWN,USA,2002-11-30,1188
87,Mitchell LIGHTFOOT,AUS,2003-07-22,1187
88,Taiga YOKOCHI,JPN,2000-10-01,1184
89,Abel JORDAN,ESP,2003-09-18,1182
90,Tai BROWN,USA,2000-04-18,1182
91,Joel NYATUSAH,USA,,1181
92,Yander L. HERRERA,CUB,2006-11-04,1179
93,Masoud KAMRAN,IRI,1999-10-16,1178
94,Matthew SOPHIA,NED,2003-12-17,1178
95,Serge TAHA,CIV,2005-06-24,1177
96,Odario PHILLIPS,JAM,1997-04-20,1177
97,Rafael PEREIRA,BRA,1997-04-08,1176
98,Hayato HIGUCHI,JPN,2003-07-30,1175
99,Guoxing SHI,CHN,2000-10-06,1175
100,Michael DICKSON,USA,1997-01-25,1174
101,Quanlei YANG,CHN,1999-10-26,1174
102,Santeri KUUSINIEMI,FIN,1998-10-10,1174
103,Elmo LAKKA,FIN,1993-04-10,1174
104,Giano ROBERTS,JAM,2000-02-12,1173
105,Jeremy KOGA,JPN,2007-05-21,1172
106,Sam BENNETT,GBR,2001-02-02,1172
107,Jianhang ZENG,CHN,1998-09-17,1171
108,Jayden SMITH,USA,2003-05-29,1171
109,Giovanni WEARING,USA,2004-05-19,1170
110,Tetsuro NISHI,JPN,2004-02-05,1169
111,Andre KORBMACHER,USA,2005-04-30,1167
112,Joas VAN HELLEMONDT,NED,2004-08-28,1165
113,Yi-Kai LIN,TPE,2004-12-23,1164
114,Simon EHAMMER,SUI,2000-02-07,1164
115,Mikdat SEVLER,TUR,1998-01-21,1164
116,Zeno VAN NEYGEN,BEL,2005-10-21,1163
117,Jason HOLMES-WILLIAMSON,USA,,1163
118,Vitali PARAKHONKA,BLR,1993-08-18,1163
119,Max HAIRSTON,USA,1994-05-08,1162
120,Rikuto NITANAI,JPN,2003-06-28,1161
121,Ryo TOKUOKA,JPN,1999-09-27,1160
122,Yohan CHAVERRA,COL,1995-03-21,1159
123,Semyon MANAKOV,RUS,2001-05-30,1158
124,Angel DÍAZ,ESP,2000-03-03,1158
125,Oscar SMITH,BAH,2001-08-14,1158
126,Daniel CISNEROS,ESP,1996-06-02,1158
127,Shuhei ISHIKAWA,JPN,1995-05-29,1157
128,Yuan-Kai HSIEH,TPE,2006-03-13,1156
129,Ruiyang NING,CHN,2002-04-03,1156
130,Richard DIAWARA,MLI,1995-04-21,1155
131,Tyson WILLIAMS,USA,2002-07-15,1155
132,Daylin WILLIAMS,USA,2002-04-08,1155
133,Abdel Kader LARRINAGA,POR,1994-07-13,1154
134,Colby EDDOWES,AUS,2002-08-15,1154
135,Michał SIEROCKI,POL,1999-09-12,1153
136,Ryota FUJII,JPN,1996-07-29,1152
137,Jonáš KOLOMAZNIK,CZE,2003-02-24,1151
138,Anatoliy KISELYOV,RUS,2002-04-05,1151
139,Markel JONES,USA,,1151
140,Bradley FRANKLIN,USA,2006-07-25,1151
141,Josh PARRISH,USA,2005-02-22,1150
142,Christian MARTIN,USA,,1149
143,Nolan VANCAUWEMBERGHE,BEL,2000-08-02,1148
144,Zijun ZHANG,CHN,2004-07-18,1147
145,Zhenjiang SUN,CHN,1999-01-25,1147
146,Kai GRAVES-BLANKS,USA,,1147
147,John PAREDES,COL,2002-10-02,1147
148,Orlando ORTEGA,ESP,1991-07-29,1146
149,Ethan EXILHOMME,USA,,1146
150,Chris SERRAO,USA,2004-08-08,1144
151,Luke LAUBACHER,USA,,1143
152,Braxton BRANN,USA,,1142
153,Bowen LIU,CHN,2001-05-13,1142
154,Ronan GREFF,FRA,1998-08-19,1141
155,Sincere RHEA,USA,2001-04-13,1141
156,Ryota MACHI,JPN,2001-04-30,1140
157,Joshua HORNSBY,USA,,1140
158,Chen Xiang ANG,SGP,1994-07-03,1139
159,Kuei-Ru CHEN,TPE,1993-09-22,1139
160,Oliver MULAS,ITA,2004-03-12,1139
161,Gyeongtae KIM,KOR,1997-03-20,1137
162,Ju-Ho KIM,KOR,1999-03-08,1135
163,Jamie SESAY,NED,2004-07-08,1135
164,Sergey SHUBENKOV,RUS,1990-10-04,1134
165,Hiu Long LIU,HKG,2004-12-20,1134
166,Isaiah TAYLOR,USA,,1134
167,Spencer BROWN,CRO,2001-03-23,1134
168,Terrel WILLIAMS,USA,,1132
169,Devontae FORD,USA,2003-11-21,1132
170,Nicolo' GIACALONE,ITA,1997-12-24,1131
171,Edward WILLIAMS,USA,2000-10-10,1130
172,Olgierd MICHNIEWSKI,POL,2000-11-18,1130
173,Shota KANI,JPN,2000-06-30,1130
174,Xiaohan NING,CHN,2000-01-24,1129
175,Prosper Oghenemine EKPORERE,NGR,2002-11-03,1129
176,Daniel HARROLD,USA,2000-11-14,1129
177,Kalib BRANCH,USA,,1129
178,Robert DUNNING,USA,1997-06-23,1129
179,Isaiah PATRICK,GRN,2003-11-09,1128
180,Zachary TURNER,USA,,1128
181,Eli MORRIS,USA,2000-11-17,1127
182,Parker DUSKIN,USA,,1127
183,Jamir BROWN,USA,,1127
184,Austin LITTLE,AUS,2003-10-31,1126
185,Daniel GORIOLA,GBR,2005-03-29,1126
186,Madhvendra SINGH,IND,2003-10-30,1125
187,Jaheem HAYLES,JAM,2001-03-20,1125
188,Konstantin SHABANOV,RUS,1989-11-17,1124
189,Adrian AGUIRRE,USA,,1124
190,Štěpán ŠTEFKO,CZE,2004-03-20,1123
191,Jordani WOODLEY,JAM,2001-11-12,1123
192,Vittorio GHEDINA,ITA,2004-06-28,1122
193,Morgan LEJAS,FRA,2003-12-02,1122
194,Mohamed DIABY,USA,2005-01-17,1121
195,Gonzalo Sabin LAMBORENA,ESP,2003-04-14,1121
196,Jeremiah SIMS,USA,,1121
197,Nozomu MATSUMOTO,JPN,2003-05-03,1121
198,Denim ROGERS,USA,1998-02-08,1120
199,Sw NEL,RSA,2002-09-11,1119
200,Hugo CHAPADO,ESP,2001-08-25,1119
201,Bálint SZELES,HUN,1998-11-09,1118
202,Hassane FOFANA,ITA,1992-04-28,1118
203,Fabio KÜCHLER,SUI,2004-06-15,1118
204,Francisco MARQUES,POR,2003-03-31,1117
205,Jaden SHELTON,USA,,1117
206,Ato HIROTOMI,JPN,2004-05-27,1117
207,Jose Alan Soares DA SILVA,BRA,1997-12-18,1117
208,Ulric PORTIER,FRA,2003-12-04,1117
209,Mathieu JAQUET,SUI,1998-07-09,1116
210,Almighty WILLIAMSON,USA,,1116
211,William RITCHIE-MOULIN,GBR,1996-12-03,1116
212,Craig THORNE,CAN,2001-01-03,1116
213,Jason AGYEMANG,USA,2004-07-25,1116
214,Ryo KOIKE,JPN,2003-06-27,1116
215,Lukas CIK,CRO,2002-02-08,1115
216,Thomas WILKES,FRA,2004-05-16,1115
217,Anthony TRUCKS,USA,2004-11-03,1114
218,Jaden DAMIANO,USA,,1114
219,Luc BREWIN,FRA,2002-11-22,1113
220,Shane GARDNER,USA,2004-08-28,1113
221,Karamoko SACKO,USA,,1113
222,Jayden KEYS,USA,2006-04-21,1113
223,Thomas SMITH,USA,,1112
224,Jose Eduardo MENDES,BRA,2004-02-01,1112
225,Dmytro BAHINSKYI,UKR,2003-12-08,1112
226,Devin BILBO,USA,,1112
227,Tyrone JACKSON,USA,,1111
228,Cole NORDMAN,USA,,1111
229,Parker WORMEK,USA,,1111
230,Andre HARRIS,JAM,2004-10-11,1111
231,Jonathas BRITO,BRA,1992-11-30,1111
232,Pierre LEAR,USA,,1111
233,Brevin SIMS,USA,2001-12-11,1110
234,Sharvis SIMMONDS,JAM,2003-02-26,1110
235,Edson GOMES,POR,1998-11-01,1110
236,Mikael GRACE,USA,,1109
237,Matthew SULLIVAN,JAM,2005-03-05,1109
238,Alin Ionuț ANTON,ROU,2000-01-01,1108
239,Gregory MICHEL,FRA,2000-10-29,1107
240,David WARMINGTON,USA,2004-08-25,1107
241,Di'Niko BATES,USA,2003-05-07,1107
242,Charlie STADDON,GBR,2006-01-01,1106
243,Kaisei UCHIDA,JPN,2004-12-23,1106
244,Michael BUCHANAN,JAM,,1106
245,Honglin ZHANG,CHN,1994-01-12,1105
246,Hendrick HUNDL,USA,,1105
247,T.J. SKINNER,USA,,1105
248,Jędrzej RADZEWICZ,POL,2001-02-15,1105
249,Devon MONTGOMERY,USA,,1105
250,Tajean HOUSTON,JAM,2000-10-18,1103
251,Derrick OLSEN,USA,1998-12-09,1103
252,Stanislav STANKOV,BUL,1999-08-03,1102
253,Kalobe JIMENEZ,MEX,2000-10-12,1102
254,Everett DELATE,USA,,1102
255,Donovan BRADLEY,USA,,1101
256,Andrew MARTENS,USA,2002-09-30,1101
257,Jakub BUJAK,POL,2000-12-08,1101
258,Jairius BURTON,USA,,1100
259,Shiqi ZHAO,CHN,2005-12-05,1099
260,Mizuki KONDO,JPN,2003-03-28,1099
261,Gregory FOSTER,USA,2004-11-07,1099
262,Kevin SÁNCHEZ,ESP,1999-03-27,1098
263,Anastasios Nektarios ILIOPOULOS,GRE,1999-03-04,1098
264,Leonard MUSTARI,USA,,1098
265,Justin GUY,TTO,2002-10-16,1097
266,Michael SCHERK,CAN,,1097
267,Kaito YOSHIMA,JPN,1998-04-26,1097
268,Oleh KUKOTA,UKR,1997-02-22,1096
269,Khailan VITALIS,LCA,,1096
270,Arata KOTANI,JPN,2000-10-18,1096
271,Gerson IZAGUIRRE,VEN,1995-08-03,1096
272,Joseph EMANUEL,USA,,1096
273,Takumi MIYAZAKI,JPN,2001-04-07,1096
274,Marc GALE,ESP,1998-05-14,1095
275,Wang Fung CHEUNG,HKG,1997-01-21,1095
276,Alexander CHUKWUKELU,USA,2004-09-13,1094
277,Siu Hang CHEUNG,HKG,2002-04-26,1094
278,Noah LANGFORD,USA,1999-10-28,1094
279,Cristian RODRIGUEZ,DOM,1999-01-24,1094
280,Nnamdi ONWAEZE,USA,,1094
281,Jie CHEN,CHN,2002-10-20,1094
282,Fabricio Julio DE SOUSA,BRA,2002-06-18,1093
283,Dewayne JOHNSON,USA,,1093
284,Sidney LITTLEJOHN,USA,,1093
285,Rasmus VEHMAA,FIN,2005-01-16,1093
286,Richard HALL,JAM,2005-07-07,1092
287,Jadarius PIGG,USA,,1092
288,Peter DJAN,USA,,1092
289,Ryona MANAGO,JPN,2003-04-09,1092
290,Némo RASE,BEL,2005-02-24,1091
291,Szymon BASAJ,POL,2004-02-18,1091
292,Keigo TAHARA,JPN,2003-08-05,1091
293,Brooks TURNER,USA,,1090
294,Kyousuke YAMANAKA,JPN,2005-10-03,1090
295,Tamarri LINDO,JAM,2003-10-24,1089
296,Troy WHYTE,USA,,1088
297,Yourie LAWRENCE-CLARKE,JAM,2005-01-01,1088
298,Tomoki YAMASHITA,JPN,2000-05-12,1088
299,Abudoula AFUZILE,CHN,2002-07-26,1088
300,Shotaro IWAI,JPN,2002-07-17,1088
301,Renzo CREMASCHI,ARG,1998-07-06,1087
302,Daniyil SHUBIN,RUS,2001-10-10,1087
303,Daviciea MCCARTNEY,USA,,1087
304,Shevon DEPASS,JAM,,1087
305,Denmar JACOBS,RSA,2003-06-25,1086
306,Blaise ATKINSON,USA,2004-03-09,1086
307,Stefan VOLZER,GER,2000-08-16,1086
308,Dániel ESZES,HUN,1999-07-01,1085
309,Léo El ACHKAR,FRA,1999-02-09,1085
310,Hugo VAZQUEZ,ESP,2003-03-07,1085
311,Tianyao CHEN,CHN,2005-09-02,1084
312,Kaweesha BANDARA,SRI,2003-06-26,1084
313,Baqer Al JUMAH,KSA,2001-03-07,1083
314,Deniz Kaan KARTAL,TUR,2005-04-16,1083
315,Kwaku NKRUMAH,USA,,1083
316,William GLASS,USA,,1082
317,Alec CARR,USA,,1082
318,Eui-Chan HWANG,KOR,2005-03-11,1082
319,Hiroto MIYAMOTO,JPN,2005-04-02,1082
320,Yovany DE LA CANUET,CUB,2000-11-18,1081
321,Ethan AKANNI,GBR,1999-03-05,1081
322,Yusuke TAKAHASHI,JPN,1996-07-05,1081
323,Austin KISER,USA,,1081
324,Ryder KING,CAN,,1081
325,Zihan YAN,CHN,2007-01-25,1079
326,Ayden OWENS-DELERME,PUR,2000-05-28,1079
327,Taichi KUBOTA,JPN,2000-05-06,1079
328,Manav RAJANARAYANAN,IND,2000-06-07,1079
329,Raymond ORIAKHI,BAH,2002-02-26,1079
330,Otto LAING,BAH,2004-12-08,1079
331,Jalen MCGEE,USA,,1078
332,Jayson EKIYOR,USA,,1078
333,Ethan ROBINSON,USA,,1078
334,Jadon THOMASON,USA,,1078
335,Leo EDON,FRA,2001-08-07,1078
336,Dwight HENRY,USA,,1077
337,Ayetullah DEMIR,TUR,2004-06-13,1077
338,Sam HURWOOD,AUS,2001-03-07,1077
339,Fred Isaac FLEURISSON,GER,2003-07-17,1077
340,Wihan KEMP,RSA,2005-05-17,1076
341,"Ca""Terrin COX",USA,,1076
342,Jordany DELY,USA,,1076
343,Koki TANAKA,JPN,2004-09-24,1076
344,Tyler CARROLL,USA,,1075
345,Mason DOSSETT,USA,,1075
346,Adrien BLANC,FRA,2001-04-07,1075
347,Lansana MARICO,SEN,1997-07-17,1075
348,Adrian Henrique VIEIRA,BRA,2001-01-03,1075
349,Shoma TATEYAMA,JPN,2005-07-27,1074
350,Oron KARNIVSKY,ISR,2004-11-29,1074
351,Amir WILLIAMS,USA,,1074
352,Andreas CHRISTOFFERSEN,DEN,2001-11-13,1073
353,Ryota KAWASHIMA,JPN,1999-03-19,1073
354,Fabio KOBELT,SUI,2003-03-25,1072
355,Moses KOROMA,USA,,1072
356,Jake ROSE,USA,,1072
357,Bryce SOUTHERLAND,USA,,1072
358,Vilém STRÁSKÝ,CZE,1999-07-03,1071
359,Cameron WILMINGTON,USA,,1071
360,Adam ILGO,SVK,2005-08-15,1070
361,Markus MOBERG,SWE,2003-07-09,1070
362,Jack LATHAM,USA,2004-03-06,1070
363,Miguel HALL,USA,,1070
364,Naoya MIZUTANI,JPN,1996-06-10,1069
365,Matheo CAILLAUD,FRA,2004-08-01,1069
366,Michael BOURNE,USA,,1069
367,Timothy FORSTER,AUS,2005-10-19,1068
368,Hampus WIDLUND,SWE,1993-02-12,1067
369,Easton TAN,USA,,1066
370,Micah MITCHELL,USA,,1066
371,Nick RÜEGG,SUI,2001-07-28,1066
372,Daniel BANKO,ESP,2003-03-13,1066
373,Daniyil SUBBOTIN,RUS,2001-07-26,1065
374,Riley HUNT,USA,2001-02-20,1065
375,Ayden BATH,USA,,1065
376,Jasher FOSTER,USA,,1065
377,Shibo ZHAO,CHN,2002-01-23,1065
378,Cheng-Hua CHOU,TPE,2004-08-13,1064
379,Luka TRGOVČEVIĆ,SRB,1992-05-19,1064
380,Kalil JOHNSON,JAM,2003-07-04,1064
381,Kazuto OMURA,JPN,2002-12-20,1064
382,Zachary WINGER,USA,,1064
383,Myles MACFARLAND,USA,,1064
384,Christian EDGAR,USA,,1064
385,Kylan BERNARD,USA,,1063
386,Ioannis KAMARINOS,GRE,2001-07-28,1063
387,Adam ANDRES,CAN,,1063
388,Jonathan Santiago PAGÁN,PUR,1992-07-04,1062
389,Konstantinos TZIAKOURIS,CYP,1999-06-01,1062
390,Malik WHITE,USA,,1062
391,Yuta YANAI,JPN,2003-09-15,1062
392,Carter BIRADE,CAN,2003-09-04,1061
393,José Fernando FERREIRA,BRA,1999-03-27,1061
394,Hiroyuki SATO,JPN,1990-08-06,1061
395,Micha RUTSCHMANN,SUI,2000-05-17,1061
396,Blake NYENATI,USA,,1060
397,Keiso PEDRIKS,EST,1994-04-30,1060
398,Cameron GUADIANO,USA,,1060
399,Adam NOLAN,IRL,2004-12-02,1060
400,Kohei SHIMIZU,JPN,1997-07-11,1060
