rank,name,nationality,dob,points
1,Grant HOLLOWAY,USA,1997-11-19,1463
2,Rasheed BROADBELL,JAM,2000-08-13,1424
3,Cordell TINCH,USA,2000-07-13,1419
4,Rachid MURATAKE,JPN,2002-02-06,1405
5,Daniel ROBERTS,USA,1997-11-13,1395
6,Enrique LLOPIS,ESP,2000-10-15,1383
7,Trey CUNNINGHAM,USA,1998-08-26,1380
8,Dylan BEARD,USA,1998-09-15,1378
9,Freddie CRITTENDEN,USA,1994-08-03,1376
10,Sasha ZHOYA,FRA,2002-06-25,1372
11,Lorenzo Ndele SIMONELLI,ITA,2002-06-01,1356
12,Hansle PARCHMENT,JAM,1990-06-17,1355
13,Jason JOSEPH,SUI,1998-10-11,1354
14,Orlando BENNETT,JAM,1999-10-12,1347
15,Jamal BRITT,USA,1998-12-28,1338
16,Junxi LIU,CHN,2003-12-11,1328
17,Wilhem BELOCIAN,FRA,1995-06-22,1315
18,Ja'Kobe THARP,USA,2005-09-30,1306
19,Asier MARTÍNEZ,ESP,2000-04-22,1300
20,Jakub SZYMAŃSKI,POL,2002-07-22,1298
21,Just KWAOU-MATHEY,FRA,1999-12-04,1294
22,Shunsuke IZUMIYA,JPN,2000-01-26,1293
23,Michael OBASUYI,BEL,1999-08-12,1291
24,Omar MCLEOD,JAM,1994-04-25,1287
25,Zhuoyi XU,CHN,2003-08-21,1285
26,Eric EDWARDS,USA,2000-01-03,1285
27,Louis François MENDY,SEN,1999-03-02,1283
28,De'Vion WILSON,USA,2000-05-18,1274
29,Oumar Doudai ABAKAR,QAT,2005-01-01,1265
30,Enzo DIESSL,AUT,2004-06-06,1262
31,Demario PRINCE,JAM,2004-10-27,1259
32,Tatsuki ABE,JPN,2003-08-03,1254
33,Aurel MANGA,FRA,1992-07-24,1252
34,Elie BACARI,BEL,2003-10-14,1251
35,Weibo QIN,CHN,2002-12-29,1251
36,Eduardo RODRIGUES,BRA,1995-10-08,1249
37,Shusei NOMOTO,JPN,1995-10-25,1246
38,Roger IRIBARNE,CUB,1996-01-02,1240
39,Yuanjiang CHEN,CHN,2006-01-27,1237
40,Ja'Qualon SCOTT,USA,2001-08-02,1233
41,Tyler MASON,JAM,1995-11-15,1233
42,Mondray BARNARD,RSA,2002-05-08,1231
43,Job GEERDS,NED,2002-07-12,1231
44,Saguirou BADAMASSI,NIG,2000-11-28,1231
45,Manuel MORDI,GER,2003-08-15,1229
46,Romain LECOEUR,FRA,1997-08-09,1229
47,Thiago Resende Ornelas Dos SANTOS,BRA,2004-04-30,1228
48,Jerome CAMPBELL,JAM,2002-11-20,1228
49,Jeremie LARARAUDEUSE,MRI,2001-03-31,1227
50,Kendrick SMALLWOOD,USA,2004-04-07,1227
51,Erwann CINNA,FRA,2003-09-26,1226
52,Jamar MARSHALL,USA,2001-12-18,1224
53,Zachary EXTINE,USA,,1223
54,Martín Sáenz Santa DE MARÍA,CHI,2001-01-17,1222
