rank,name,nationality,dob,points
1,Berihu AREGAWI,ETH,2001-02-28,1412
2,Grant FISHER,USA,1997-04-22,1388
3,Joshua CHEPTEGEI,UGA,1996-09-12,1385
4,Mohammed AHMED,CAN,1991-01-05,1367
5,Selemon BAREGA,ETH,2000-01-20,1359
6,Yomif KEJELCHA,ETH,1997-08-01,1352
7,Benard Kibet KOECH,KEN,1999-11-25,1340
8,Jacob KIPLIMO,UGA,2000-11-14,1321
9,Adriaan WILDSCHUTT,RSA,1998-05-03,1305
10,Biniam MEHARY,ETH,2006-12-20,1297
11,Ishmael Rokitto KIPKURUI,KEN,2005-02-10,1296
12,Nico YOUNG,USA,2002-07-27,1291
13,Daniel MATEIKO,KEN,1998-08-04,1283
14,Habtom SAMUEL,ERI,2003-11-30,1281
15,Thierry NDIKUMWENAYO,ESP,1997-03-26,1276
16,Edwin KURGAT,KEN,1996-05-19,1274
17,Andreas ALMGREN,SWE,1995-06-12,1260
18,Benson KIPLANGAT,KEN,2003-06-17,1258
19,Jimmy GRESSIER,FRA,1997-05-04,1251
20,Gemechu DIDA,ETH,1999-09-12,1245
21,Nicholas KIPKORIR,KEN,1998-09-29,1245
22,Telahun Haile BEKELE,ETH,1999-05-13,1241
23,Stanley Waithaka MBURU,KEN,2000-04-09,1240
24,Jun KASAI,JPN,2000-10-24,1240
25,William KINCAID,USA,1992-09-21,1239
26,Dominic Lokinyomo LOBALU,SUI,1998-08-16,1238
27,Tadese WORKU,ETH,2002-01-20,1235
28,Merhawi MEBRAHTU,ERI,2003-09-21,1235
29,Gulveer SINGH,IND,1998-06-01,1234
30,Mebuki SUZUKI,JPN,2001-06-03,1232
31,Patrick DEVER,GBR,1996-09-05,1230
32,Felix BOUR,FRA,1994-03-25,1227
33,Efrem GIDEY,IRL,2000-09-03,1222
34,Tomoki OTA,JPN,1997-10-17,1213
35,Brian KIBOR,KEN,2001-01-01,1213
36,Isaac KIMELI,BEL,1994-03-09,1211
37,Yann SCHRUB,FRA,1996-03-20,1209
38,Samwel Chebolei MASAI,KEN,2001-03-20,1209
39,Tadesse GETAHON,ISR,1997-12-20,1207
40,Birhanu BALEW,BRN,1996-02-27,1206
41,Casey CLINGER,USA,1998-10-09,1204
42,Valentin GONDOUIN,FRA,1999-03-04,1200
43,James Mwanzia MUTUKU,KEN,2002-12-20,1197
44,Emile CAIRESS,GBR,1997-12-27,1195
45,Shadrack KIPKEMEI,KEN,2003-07-01,1195
46,Richard ETIR,KEN,2003-12-12,1194
47,Amos KIPKEMOI,KEN,2003-09-10,1192
48,Rory LEONARD,GBR,2001-02-13,1190
49,Gilbert Kipkosgei KIPROTICH,KEN,2000-05-12,1189
50,Yamato YOSHII,JPN,2002-02-14,1186
51,Emmanuel Moi MARU,KEN,2001-01-04,1186
52,Gideon Kipkertich RONO,KEN,2003-02-22,1186
53,Charles HICKS,USA,2001-07-25,1185
54,Kazuya SHIOJIRI,JPN,1996-11-08,1185
55,Emmanuel Kiprop KIPRUTO,KEN,1999-10-16,1184
56,Andrew HUNTER,USA,1997-09-05,1184
57,Keneth KIPROP,UGA,2005-05-13,1181
58,Jack RAYNER,AUS,1995-12-19,1181
59,Ilias FIFA,ESP,1989-05-16,1181
60,Ahmed MUHUMED,USA,1998-01-01,1179
61,Kibet KANDIE,KEN,1996-04-02,1178
62,Anthony ROTICH,USA,1990-10-20,1177
63,Abdessamad OUKHELFEN,ESP,1998-12-18,1174
64,Célestin NDIKUMANA,BDI,2002-02-22,1174
65,Kelvin KIPLAGAT,KEN,2004-01-31,1172
66,Weldon LANGAT,KEN,1998-02-24,1171
67,Philemon Kiplagat RUTO,KEN,2001-09-20,1171
68,Filimon ABRAHAM,GER,1992-11-09,1170
69,Rogers KIBET,UGA,2003-03-26,1170
70,Anthony KIBE,KEN,2003-03-27,1170
71,Dan KIBET,UGA,2004-02-10,1167
72,Felix Kiptarus KORIR,KEN,2003-08-15,1167
73,Akira AIZAWA,JPN,1997-07-18,1166
74,Benjamin FLANAGAN,CAN,1995-01-11,1165
75,Conner MANTZ,USA,1996-12-08,1165
76,Stephen MUTHINI,KEN,2005-07-20,1165
77,Denis KIPNGETICH,KEN,2003-01-07,1164
78,Evans Keitany KIPTUM,KEN,1999-11-27,1164
79,Eduardo MENACHO,ESP,1999-11-25,1164
80,Yuya YOSHIDA,JPN,1997-04-23,1164
81,Tomoya OGIKUBO,JPN,1997-12-11,1164
82,Daniel Simiu EBENYO,KEN,1995-09-18,1163
83,Abel BEKELE,ETH,2006-01-01,1163
84,Jamal Abdelmaji Eisa MOHAMMED,ART,1993-08-25,1163
85,Kotaro SHINOHARA,JPN,2002-09-03,1162
86,Kazuma MAEDA,JPN,2005-01-16,1161
87,Simon DEBOGNIES,BEL,1996-07-16,1161
88,David Shungeya NEIYIAI,KEN,2000-12-17,1160
89,Emmanuel Korir KIPLAGAT,KEN,2002-05-05,1160
90,Jonathan Muia NDIKU,KEN,1991-09-18,1160
91,Davor Aaron BIENENFELD,GER,1997-09-25,1160
92,Nils VOIGT,GER,1997-05-02,1160
93,Charles WHEELER,GBR,1998-07-04,1159
94,Ellis CROSS,GBR,1996-09-22,1159
94,Ernest CHERUIYOT,KEN,,1159
96,Paul CHELIMO,USA,1990-10-27,1158
97,Katsuhiko SUZUKI,JPN,1996-11-20,1158
98,Yitayew ABUHAY,ISR,1996-12-01,1157
99,Richard YATOR,KEN,1998-06-04,1156
100,Tatsuhiko ITO,JPN,1998-03-23,1156
101,Samuel CHELANGA,USA,1985-02-23,1156
102,Yuto IMAE,JPN,1998-01-26,1156
103,Zakariya MAHAMED,GBR,2000-11-29,1155
104,Nibret MELAK,ETH,1999-10-09,1155
105,Hicham OULADHA,MAR,1995-01-31,1155
106,Simon BEDARD,FRA,1997-01-03,1155
107,Samson NDIRANGU,KEN,1994-05-14,1154
108,Sam CLIFFORD,AUS,2002-05-11,1154
109,Bedan KAROKI,KEN,1990-08-21,1153
110,Matthew Kipkoech KIPRUTO,KEN,2005-08-24,1153
111,Alexander MUNYAO,KEN,1996-09-10,1151
112,Simon Ngatha MUNGAI,KEN,2000-05-10,1151
113,Ryuto IGAWA,JPN,2000-09-05,1150
114,Wilson LEMANGALE,KEN,1998-09-04,1150
115,Kiprono SITONIK,KEN,2001-11-10,1149
116,Edwin KIPSAISAK,KEN,2005-03-16,1149
117,Shadrack RONO,KEN,2003-03-14,1147
118,Nganga Joseph WAWERU,KEN,2001-01-02,1147
119,Dennis KIPKURUI,KEN,2004-11-02,1147
120,Andrew COLLEY,USA,1991-04-01,1147
121,Yusuke TAMURA,JPN,1998-12-23,1146
122,Jonas RAESS,SUI,1994-03-08,1146
123,Kartik KUMAR,IND,1999-05-12,1146
124,Charles PHILIBERT-THIBOUTOT,CAN,1990-12-31,1146
125,Joe KLECKER,USA,1996-11-16,1145
126,Ayumu KOBAYASHI,JPN,1998-08-15,1145
127,William AMPONSAH,GHA,1999-12-11,1145
128,Tom FÖRSTER,GER,2002-02-02,1144
129,Awet Nftalem KIBRAB,NOR,1995-05-09,1144
130,Noah SCHUTTE,NED,1995-05-15,1144
131,Rory LINKLETTER,CAN,1996-08-12,1144
132,Pietro RIVA,ITA,1997-05-01,1144
133,Noah KIPLIMO,KEN,2000-11-22,1143
134,Robert Kiprop KOECH,KEN,1997-02-25,1143
135,Dan KIPLANGAT,KEN,1996-06-04,1142
136,Samuel BARATA,POR,1993-07-19,1142
137,Takashi ICHIDA,JPN,1992-06-16,1142
138,Chimdessa DEBELE,ETH,2003-09-13,1141
139,Ryan FORD,USA,1997-10-26,1141
140,Cosmas Mwangi BOI,KEN,2003-03-12,1141
141,Evans KURUI,KEN,,1139
142,Peter Mwaniki AILA,KEN,1994-06-09,1139
143,Amos Kipkurui LANGAT,KEN,2005-05-05,1138
144,Valentin SOCA,URU,2002-07-24,1138
145,Dennis KIPRUTO,KEN,2005-04-08,1138
146,Ryo SAITO,JPN,1998-04-07,1138
147,Raphael LONGISA,KEN,2003-08-21,1136
148,Boniface MULWA,KEN,2000-04-16,1136
149,Tsuyoshi BANDO,JPN,1996-12-12,1136
150,Toru KUBOTA,JPN,2001-05-12,1136
151,Wil SMITH,USA,2001-09-07,1136
152,Wesley KIPTOO,KEN,1999-07-07,1135
153,Asahi KURODA,JPN,2004-03-10,1134
154,Itta TAMEIKE,JPN,2003-09-23,1134
155,Bukayawe MALEDE,ISR,1997-04-01,1134
156,Roncer Kipkorir KONGA,KEN,1994-12-16,1134
157,Aidan REED,USA,1998-01-15,1134
158,Patrick Kiptoo KIPROP,KEN,2000-04-30,1133
159,Kibet MANGATA,KEN,2004-08-05,1133
160,Silas SENCHURA,KEN,2005-07-17,1133
161,Miguel BAIDAL,ESP,2001-07-20,1133
162,Andrew LOROT,KEN,1997-12-02,1132
163,Andrew ALEXANDER,CAN,1999-02-10,1132
164,Kanta SHIMIZU,JPN,1996-05-03,1132
165,Francis ABONG,KEN,1996-03-23,1131
