rank,name,nationality,dob,points
166,Martin KIPROTICH,UGA,2003-04-06,1130
167,James MATELONG,KEN,,1130
168,Cleophas Kandie MEYAN,KEN,2000-08-14,1130
169,Mogeni Benuel MAGOMA,KEN,2001-03-11,1130
170,Ryo GODA,JPN,1999-08-08,1129
171,Hiroto INOUE,JPN,1993-01-06,1128
172,Dereje CHEKOLE,ISR,2000-07-13,1127
173,Brian KIPYEGON,KEN,2004-10-10,1127
174,Juan Antonio PÉREZ,ESP,1988-11-06,1127
175,Francesco GUERRA,ITA,2001-07-17,1127
176,Egide NTAKARUTIMANA,BDI,1997-10-21,1127
177,Athanas KIOKO,KEN,1995-02-26,1126
178,Nelson MANDELA,KEN,2004-12-30,1126
179,Ignacio VELASQUEZ,CHI,1998-12-28,1125
180,Baptiste GUYON,FRA,2001-01-17,1125
181,Evan JENKINS,USA,2004-03-29,1125
182,Simon BOCH,GER,1994-04-18,1125
183,Zerei Kbrom MEZNGI,NOR,1986-01-12,1125
184,Hillary KIPKOECH,KEN,1998-12-20,1124
185,David MULLARKEY,GBR,2000-03-07,1124
186,Aidan O'GORMAN,USA,2001-05-24,1124
187,Aarón Las HERAS,ESP,2000-06-22,1124
188,Daiki OZAWA,JPN,2000-05-13,1124
189,Jesús RAMOS,ESP,1996-04-29,1124
190,Cael GROTENHUIS,USA,,1123
191,Titus WANBUA,KEN,1997-08-14,1123
192,Brian KIPTOO,KEN,2000-04-15,1122
193,Maciej MEGIER,POL,2003-04-26,1122
194,Rodgers KIPLIMO,KEN,,1122
195,Drew BOSLEY,USA,2000-10-08,1122
196,Nassim HASSAOUS,ESP,1994-03-23,1122
197,Alex PHILLIP,USA,2000-08-14,1121
198,Yuma NISHIZAWA,JPN,2000-09-19,1121
199,Haftu STRINTZOS,AUS,1999-08-27,1121
200,Vincent Kibet YEGON,KEN,2000-12-05,1121
201,Evans KIPLAGAT,KEN,2005-05-07,1121
202,Jonson MUGENI,KEN,2004-03-28,1120
203,Dismas Lokira KORIR,KEN,1998-05-07,1120
204,Chris MAXON,USA,,1120
205,Alex Chesiro MASAI,KEN,1997-02-05,1119
206,Shunya KIKUCHI,JPN,1998-07-26,1119
207,Musio SAIDAMU,KEN,2000-10-12,1118
208,Timothy CHESONDIN,USA,,1118
209,Joseph Kiprono KIPTUM,KEN,1987-09-25,1118
210,Kotaro KONDO,JPN,2001-01-30,1117
211,Jake RITTER,USA,,1117
212,Afewerki ZERU,USA,1997-10-10,1116
213,Yves NIMUBONA,RWA,1998-08-15,1116
214,Jinichiro KAMEDA,JPN,2001-08-28,1116
215,Yuta NAKAYAMA,JPN,2001-03-07,1116
215,Loic SCOMPARIN,FRA,2001-05-23,1116
217,Jin YUASA,JPN,2001-08-27,1116
218,Bernard KIMANI,KEN,1993-09-30,1115
219,Davin THOMPSON,USA,,1115
220,Takuya HANYU,JPN,1997-11-08,1114
221,Josphat Ledama KISAISA,KEN,1998-06-25,1114
222,Brian FAY,IRL,1998-11-09,1113
223,Kiyoto HIRABAYASHI,JPN,2002-12-04,1113
224,Josphat MELI,KEN,,1113
225,Keijiro MOGI,JPN,1995-10-21,1112
226,Tatsuya IYODA,JPN,2000-07-18,1112
227,Artūrs Niklāvs MEDVEDS,LAT,1999-11-17,1112
228,Adisu GUADIA,ISR,2002-09-11,1112
229,Cole SPROUT,USA,2001-12-03,1111
229,Joey NOKES,USA,,1111
231,Tomonori YAMAGUCHI,JPN,2003-04-13,1110
232,Fabien PALCAU,FRA,1997-06-22,1110
233,Futsum ZIENASELLASSIE,USA,1992-12-16,1110
234,Mohamed GULED,USA,,1110
235,Jeremy COUGHLER,CAN,1995-11-03,1110
236,Tatsuya TSUNASHIMA,JPN,2000-10-30,1110
237,Shotaro ISHIHARA,JPN,2002-01-04,1110
238,Shuho DAIROKUNO,JPN,1992-12-23,1109
239,Ataklti KIDANU,ETH,,1108
240,Victor KIMUTAI,KEN,2000-10-20,1108
241,Ian KIBIWOT,KEN,,1108
242,Yusaku NOMURA,JPN,2001-03-08,1108
243,Mohamed ISMAIL,DJI,1997-01-01,1107
244,Dylan SCHUBERT,USA,,1107
245,Pariona NIDER,PER,2004-03-13,1107
246,Ryan JOHNSON,USA,2001-07-19,1107
247,Haruka ONODERA,JPN,1999-01-18,1107
248,Boki DIRIBA,ETH,2004-02-25,1106
249,Victor KIPROP,KEN,,1106
250,Florian LE PALLEC,FRA,1999-05-31,1106
250,Meshack KIMUTAI,KEN,2002-01-20,1106
252,Jose Luis Santana MARIN,MEX,1989-09-26,1105
253,Benard KIMELI,KEN,1995-09-10,1105
254,Naibei Kiplimo MAYEBEI,KEN,2000-02-11,1104
255,Lex YOUNG,USA,2005-02-28,1104
256,Taisei NAKAMURA,JPN,1998-03-28,1104
257,Takato SUZUKI,JPN,1997-07-23,1104
258,Creed THOMPSON,USA,2002-12-30,1104
259,Will ANTHONY,NZL,2003-08-30,1104
260,Guillaume GRIMARD,BEL,1999-02-18,1103
261,Nadeel WILDSCHUTT,RSA,1996-11-28,1103
261,Abel CHEBET,UGA,1993-09-09,1103
263,Ahmed OUHDA,ITA,1997-03-10,1103
264,Rui AOKI,JPN,2004-03-31,1103
265,Itsuki HIRABAYASHI,JPN,2002-12-08,1102
266,Shoya KAWASE,JPN,1998-07-19,1102
267,Yohanes CHIAPPINELLI,ITA,1997-08-18,1102
268,Tatsuya MARUYAMA,JPN,1994-07-29,1102
269,Brett ROBINSON,AUS,1991-05-08,1102
270,James KIMEU,KEN,2000-12-14,1102
271,Joseph KIMUTAI,KEN,1992-04-20,1102
272,Yudai KATAKAWA,JPN,2002-12-26,1101
273,Skylar STIDAM,USA,,1101
274,Vincent CHIRCHIR,KEN,,1101
275,Kieran TUNTIVATE,THA,1997-02-16,1100
276,Reishi YOSHIDA,JPN,2002-06-19,1100
277,Hiroshi ICHIDA,JPN,1992-06-16,1100
278,Ryuto UEHARA,JPN,2003-05-05,1100
279,Torazo KAI,JPN,1998-11-05,1099
280,Dennis KIPRUTO,KEN,,1099
281,Dorian BOULVIN,BEL,1997-06-05,1099
282,Jackson KIPLETING,KEN,1996-05-25,1099
283,Dolphine CHELIMO,UGA,2005-07-10,1099
284,Philip MULUWA,KEN,2002-03-03,1099
285,Kazuto KAWABATA,JPN,1995-12-20,1099
286,Dawit SEARE,ERI,2004-12-29,1098
287,Daisuke HOSOMORI,JPN,1994-05-05,1098
288,Dayton BROWN,USA,2000-01-26,1098
289,Chandler GIBBENS,USA,2000-08-15,1098
290,Barry KEANE,IRL,1997-11-19,1098
291,Zach PANNING,USA,1995-03-29,1097
292,Simon SUNDSTRÖM,SWE,1998-02-04,1097
293,Johannes MOTSCHMANN,GER,1994-08-03,1097
294,Liam BOUDIN,AUS,1997-09-03,1096
295,Nik LEMMINK,NED,1998-09-21,1096
296,James Ndiwa BUNUKA,KEN,1997-11-01,1096
297,Stanley NJIHIA,KEN,1998-09-02,1095
298,Hani Idriss HERSI,DJI,1999-11-15,1095
299,Clément DEFLANDRE,BEL,1997-12-14,1095
300,Atsuki KOBAYASHI,JPN,2001-12-15,1095
301,Tyrone GORZE,USA,2004-11-15,1095
302,Ethan COLEMAN,USA,2004-04-28,1094
303,Oliver LÖFQVIST,SWE,1998-05-05,1094
304,Peter LYNCH,IRL,1997-11-26,1093
305,Evans Kipkemei KURUI,KEN,1997-01-04,1093
306,Sawan BARWAL,IND,1998-02-18,1093
307,Bas VAN HOOREN,NED,1992-06-12,1093
308,Takuya KITASAKI,JPN,1999-03-05,1093
309,Wenjie WANG,CHN,2004-05-04,1092
310,Ryota KOBAYASHI,JPN,2002-05-13,1092
311,Yudai SHIMAZU,JPN,2000-03-28,1092
312,Luca ALFIERI,ITA,2000-10-31,1091
313,Fumiya OSHIMA,JPN,2003-07-19,1090
314,Camren TODD,USA,,1090
315,Youcef ADDOUCHE,ALG,1994-05-30,1089
316,Saul ACOSTA,MEX,1990-08-02,1089
317,Jan Lukas BECKER,GER,1993-09-22,1089
318,Riku ANJIMA,JPN,2006-02-08,1089
319,Tyler BERG,USA,2000-09-02,1089
320,Hikaru TUJIHARA,JPN,2004-09-20,1089
321,Alex MAIER,USA,2000-01-22,1088
322,Kyuma YOKOTA,JPN,2001-05-16,1088
323,Ryotaro NATORI,JPN,1998-07-21,1088
324,Logan REES,GBR,1997-02-23,1088
325,Daiji KAWAI,JPN,1991-09-22,1088
326,Shingo MORIYAMA,JPN,1998-08-31,1088
327,Said MECHAAL,ESP,1998-05-23,1087
328,Hiroki ABE,JPN,1997-11-19,1087
329,Christian RICKETTS,USA,,1087
330,Kiyoshi KOGA,JPN,1996-04-30,1087
331,Shay MCEVOY,IRL,2001-06-01,1087
331,Charles Katul LOKIR,KEN,2000-06-10,1087
333,Shane BROSNAN,IRL,2004-08-11,1086
334,Jonathan DAHLKE,GER,1995-02-14,1086
335,Mohammed JOUHARI,MAR,2001-05-18,1086
336,Antonin SAINT-PEYRE,FRA,2003-05-23,1085
337,Kota MURAYAMA,JPN,1993-02-23,1085
338,Seth O'DONNELL,AUS,2001-09-14,1085
339,Dean CASEY,IRL,2003-07-26,1085
340,Murphy SMITH,USA,,1085
341,Fredrick Yeko DOMONGOLE,KEN,2002-10-03,1085
342,Chikara YAMANO,JPN,2000-05-22,1084
343,Jona BODIRSKY,GER,,1084
344,Hidekazu HIJIKATA,JPN,1997-06-27,1084
345,Riki KOIKE,JPN,2004-11-26,1084
346,Jack JENNINGS,USA,,1084
347,Justus MUASYA,KEN,2004-05-15,1084
348,Stephen LEMAYIAN,KEN,2003-12-27,1084
349,Evan BISHOP,USA,,1084
350,Kei KATANISHI,JPN,1997-03-18,1083
351,Masaki KODAMA,JPN,2002-01-03,1083
352,Matias REYNAGAS,ARG,2002-11-09,1083
353,Tobias CHERUIYOT,KEN,,1083
354,Luca URSANO,ITA,1999-04-26,1083
355,Shunta UCHIDA,JPN,2000-09-19,1083
356,Zemenu MUCHIE,ISR,2000-12-05,1082
357,Sam LAWLER,USA,,1082
358,Rogério AMARAL,POR,2001-02-19,1082
359,Kyosuke HANAO,JPN,2001-12-20,1082
360,Kyosuke KOGURE,JPN,1999-08-10,1082
361,Kosuke ISHIDA,JPN,2002-08-21,1081
362,Taisei KIYONO,JPN,2000-12-04,1081
363,Sodai SHIMIZU,JPN,1998-09-28,1081
364,Titus Kiprotich KIBET,KEN,1999-02-09,1081
365,Masahiro FUKUMOTO,JPN,1997-04-08,1081
366,Kelvin KAKENYA,KEN,2007-12-02,1081
367,Kirami Collin YEGO,KEN,1999-03-26,1081
368,Shota NAKANO,JPN,2001-06-12,1081
369,Daiki HATTORI,JPN,1999-03-07,1080
370,Perry MACKINNON,CAN,1997-12-30,1080
371,Kazura MUNAKATA,JPN,2005-01-10,1080
372,Jorge Luis CRUZ,MEX,1996-07-29,1080
373,Victor Kipkirui KORIR,KEN,2002-08-14,1079
374,Andrew DAVIES,CAN,2000-11-13,1079
375,Shunsuke SHIKAMA,JPN,2001-01-07,1079
376,Taiyo IWASAKI,JPN,1998-12-18,1079
377,Ryuto URUSHIBATA,JPN,2000-08-10,1079
378,Ramazan BAŞTUĞ,TUR,2000-12-01,1078
379,Hisaya HANAOKA,JPN,2003-06-10,1078
380,Tamaki FUJIMOTO,JPN,2001-01-14,1078
381,Kota FUJIKI,JPN,2000-03-02,1078
382,Kyohei HOSOYA,JPN,1995-08-31,1078
383,Silas FRANTZ,GER,1993-07-11,1077
384,Riku TAMAME,JPN,2005-06-15,1077
385,Hiromichi NONAKA,JPN,2005-02-16,1077
386,Edwin Cheruiyot SOI,KEN,1986-03-03,1076
387,Brian LIMO,KEN,2002-12-31,1076
388,Hiroki YAMANAKA,JPN,2002-04-05,1076
389,Kidus MISGINA,USA,,1076
390,Charles SPROTT,AUS,2003-05-13,1076
391,Takayuki IIDA,JPN,1999-06-24,1076
392,Igor BOUGNOT,FRA,1992-09-01,1076
393,Abdel LAADJEL,IRL,2003-09-09,1076
394,Tom ANDERSON,GBR,1990-01-12,1076
395,Wisley KIPKEMOI,KEN,1997-07-01,1076
396,Daniel ABDALA,USA,,1075
397,Yuma SHIMO,JPN,2001-11-04,1075
398,Joel Ibler LILLESØ,DEN,2003-11-17,1075
399,Junna ISHIMARU,JPN,2003-08-10,1074
400,Aoi ITO,JPN,2004-01-12,1074
