rank,name,nationality,dob,points
1,Massimo STANO,ITA,1992-02-27,1316
2,Christopher LINKE,GER,1988-10-24,1290
3,Evan DUNFEE,CAN,1990-09-28,1284
4,Miguel Ángel LÓPEZ,ESP,1988-07-03,1259
5,Satoshi MARUO,JPN,1991-11-28,1256
6,Hayato KATSUKI,JPN,1990-11-28,1250
7,Riccardo ORSONI,ITA,2000-01-20,1244
8,José Luis DOCTOR,MEX,1996-06-14,1239
9,Kazuki TAKAHASHI,JPN,1996-06-17,1239
10,Dominik ČERNÝ,SVK,1997-11-01,1233
11,Maher Ben HLIMA,POL,1989-07-24,1231
12,Rhydian COWLEY,AUS,1991-01-04,1221
13,Aurélien QUINION,FRA,1993-01-27,1213
14,Daniel CHAMOSA,ESP,1997-05-04,1210
15,Matteo GIUPPONI,ITA,1988-10-08,1198
16,Motofumi SUWA,JPN,1999-10-22,1190
17,César HERRERA,COL,1999-01-28,1188
18,Teodorico CAPORASO,ITA,1987-09-14,1186
19,Aldo ANDREI,ITA,2001-07-15,1179
20,Manuel BERMÚDEZ,ESP,1997-12-12,1178
21,Ivan BANZERUK,UKR,1990-02-09,1178
22,Raivo SAULGRIEZIS,LAT,1994-07-04,1177
23,Serhii SVITLYCHNYI,UKR,1994-07-13,1173
24,Michal MORVAY,SVK,1996-08-19,1173
25,Bence VENYERCSÁN,HUN,1996-01-08,1170
26,Will THOMPSON,AUS,2002-11-18,1169
27,Oisin LANE,IRL,2002-06-12,1166
28,Vít HLAVÁČ,CZE,1997-02-26,1163
29,Ever Jair Palma OLIVARES,MEX,1992-03-18,1162
30,Marc TUR,ESP,1994-11-30,1162
31,Oscar PATÍN,ECU,2001-02-01,1160
32,Jonathan HILBERT,GER,1995-04-21,1157
33,Johannes FRENZL,GER,2001-09-22,1155
34,Cameron CORBISHLEY,GBR,1997-03-31,1153
35,Andrea AGRUSTI,ITA,1995-08-30,1152
36,Mitchell BAKER,AUS,2001-07-06,1152
37,Ihor HLAVAN,UKR,1990-09-25,1152
38,Xavier MENA,ECU,1998-05-18,1141
39,João VIEIRA,POR,1976-02-20,1141
40,Max Batista Goncalves Dos SANTOS,BRA,1994-10-09,1133
41,Alexandros PAPAMICHAIL,GRE,1988-09-18,1133
42,Jaromír MORÁVEK,CZE,2003-03-22,1132
43,Yassir CABRERA,PAN,1988-01-28,1131
44,Gabriele GAMBA,ITA,2002-01-22,1130
45,Mingyu KIM,KOR,1999-02-28,1127
46,Nathaniel SEILER,GER,1996-04-06,1127
47,Kevin CAMPION,FRA,1988-05-23,1122
48,Yehor SHELEST,UKR,2002-07-13,1122
49,Jinson Octavio CALDERÓN,ECU,2000-07-02,1122
50,Ram BABOO,IND,1999-03-20,1119
51,Sandeep KUMAR,IND,1986-05-01,1118
52,José MONTANA,COL,1992-03-21,1117
53,Matheus CORREA,BRA,1999-08-22,1116
54,Nick CHRISTIE,USA,1991-09-29,1109
55,Martin MADELINE-DEGY,FRA,2001-03-07,1108
56,Carl GIBBONS,AUS,1996-06-19,1106
57,Vijay VISHWAKARMA,IND,1999-10-11,1102
58,Byeongkwang CHOE,KOR,1991-04-07,1094
59,Dongmin LIM,KOR,2000-07-22,1094
60,Mattéo DUC,FRA,2001-03-25,1086
61,Yuki ITO,JPN,1992-04-12,1079
62,Claudio Paulino Villanueva FLORES,ECU,1988-08-03,1078
63,Jassam Abu El WAFA,GER,2004-07-03,1074
64,Marius Iulian COCIORAN,ROU,1983-07-10,1070
65,Joe MOONEY,IRL,1998-04-27,1067
66,Ozan BAYRAM,TUR,2004-09-18,1067
67,Érick Bernabé BARRONDO,GUA,1991-06-14,1063
68,Carl DOHMANN,GER,1990-05-18,1061
69,Narcis Stefan MIHĂILĂ,ROU,1987-08-04,1040
70,Carlos MERCENARIO,MEX,2000-07-26,1039
71,Jordan CRAWFORD,USA,2000-01-04,1038
72,Hugo ANDRIEU,FRA,1992-10-16,1033
73,Josias CRUZADO,PER,2002-10-19,1023
74,Roberto Carlos MARROQUÍN,GUA,2001-08-12,1015
75,Andreas PAPASTERGIOU,GRE,2003-06-29,998
76,Rudney Dias NOGUEIRA,BRA,1990-02-01,993
77,Diego Pereira LIMA,BRA,1987-10-04,992
78,Georgios KRITOULIS,GRE,2004-12-13,969
79,Hendro HENDRO,INA,1990-01-25,959
80,Luis Angel Sanchez PÉREZ,GUA,1993-12-15,953
81,Pavel Remus RĂDOI,ROU,1998-11-16,948
82,Georgios KELEPOURIS,GRE,1992-01-22,944
83,Edson Erico Alves DE AGUIAR,BRA,2003-06-04,943
84,Jaromír HLOCH,CZE,1992-04-04,930
85,Dávid TOKODI,HUN,1991-05-03,926
86,Kushal SINGH,IND,1999-01-04,910
87,Kevin CAHUANA,PER,2001-11-27,892
88,Martin NEDVÍDEK,CZE,1975-01-25,867
89,Matteo BONOMI,ITA,,865
90,Takafumi HIGUMA,JPN,1982-09-03,863
91,Michael Giuseppe MANNOZZI,USA,1986-04-15,811
92,Francis Erick SOTO,PER,2002-03-25,802
93,Bajrang LAL,IND,1994-10-11,801
94,Jerome CAPRICE,MRI,1983-01-18,795
95,Amit SHISHRAM,IND,2003-05-01,776
96,Hugo KOWALCZYK,FRA,2003-11-03,697
97,Joffrey CHENU,FRA,1982-03-09,647
