rank,name,nationality,dob,points
76,Habiba HARRIS,JAM,2005-09-26,1190
77,Asuka TERADA,JPN,1990-01-14,1187
78,Yanla NDJIP-NYEMECK,BEL,2002-07-12,1186
79,Oneka WILSON,JAM,2003-06-09,1186
80,Michelle JENNEKE,AUS,1993-06-23,1185
81,Ana-Liese TORIAN,USA,2005-01-31,1185
82,Mia WILD,CRO,2006-07-11,1184
83,Danielle SHAW,AUS,1998-08-06,1183
84,Bo-Ya ZHANG,TPE,2003-04-03,1181
85,Natalia SZCZĘSNA,POL,2004-01-22,1180
86,Celeste MUCCI,AUS,1999-08-11,1179
87,Helena JIRANOVÁ,CZE,1995-03-05,1179
88,Annik KÄLIN,SUI,2000-04-27,1179
89,Demisha ROSWELL,JAM,1998-06-19,1178
90,Amber HUGHES,USA,1994-09-23,1178
91,Sienna MACDONALD,CAN,2002-08-15,1177
92,Vilma MÄKI,FIN,2002-02-08,1177
93,Yuki OMATSU,JPN,1996-05-15,1176
94,Marika MAJEWSKA,POL,2002-05-05,1176
95,Tereza ČOREJOVÁ,SVK,2005-07-19,1175
96,Mao SHIMANO,JPN,2001-10-02,1175
97,Myreanna BEBE,USA,,1175
98,Emma NWOFOR,GBR,1996-08-22,1174
99,Xènia BENACH,ESP,2000-03-22,1174
100,Adaobi TABUGBO,NGR,2001-10-03,1174
101,Abigail PAWLETT,GBR,2003-01-14,1174
102,Marissa SIMPSON,JAM,2002-10-14,1173
103,Elea Jørstad BOCK,NOR,2002-11-04,1172
104,Kreete VERLIN,EST,1997-02-14,1171
105,Rei HONDA,JPN,2001-11-25,1171
106,Naomi KREBS,GER,2003-04-18,1169
107,Martine Kolbeinshavn HJØRNEVIK,NOR,2001-02-18,1168
108,Viktoriya POGREBNYAK,RUS,1995-10-07,1167
109,Delta AMIDZOVSKI,AUS,2006-08-23,1167
110,Veronica BESANA,ITA,2002-09-15,1167
111,Lia FLOTOW,GER,2004-08-19,1166
112,Noor KOEKELKOREN,BEL,2005-03-06,1166
113,Janela SPENCER,JAM,2002-11-14,1165
114,Anja LUKIĆ,SRB,1999-05-30,1164
115,Ricarda LOBE,GER,1994-04-13,1164
116,Laura VALETTE,FRA,1997-02-16,1164
117,Jingyang LIU,CHN,1997-08-12,1163
118,Kaja WESOŁOWSKA,POL,2001-07-18,1162
119,Iryna BUDZYNSKA,UKR,2001-01-04,1160
120,Masumi AOKI,JPN,1994-04-16,1159
121,Hawa JALLOH,GER,2003-01-05,1158
122,Milica EMINI,SRB,1999-10-11,1157
123,Tereza Elena ŠÍNOVÁ,CZE,2001-08-17,1157
124,Selina VON JACKOWSKI,SUI,1997-12-10,1157
125,Jocelyn Loreta ECHAZABAL,CUB,2005-01-13,1157
126,Akala GARRETT,USA,2005-05-10,1156
127,Emily BRITTON,AUS,,1155
128,Amira NEVER,GER,2004-12-02,1155
129,Mira GROOT,NED,1995-03-08,1154
130,María Fernanda MURILLO,COL,1999-01-21,1153
131,Diana SUUMANN,EST,1992-07-05,1153
132,Nonah WALDRON,USA,2005-04-11,1153
133,Kiara SMITH,USA,,1152
134,Lerato PAGES,ESP,2005-04-14,1152
135,Vitoria ALVES,BRA,1998-03-11,1151
136,Taliyah BROOKS,USA,1995-02-08,1151
137,Emmi SCALES,USA,,1151
138,Yuwei LIN,CHN,1999-05-02,1150
139,Laura MONTAUBAN,FRA,2006-08-03,1150
140,Mette GRAVERSGAARD,DEN,1995-10-05,1149
141,Angelika Elzbieta WEGIERSKA,ITA,1994-04-12,1149
142,Nataliia YURCHUK,UKR,1996-05-28,1148
143,Rachel Leeann MEHRINGER,USA,2005-04-29,1147
144,Sydni MCMILLAN,USA,2002-01-11,1147
145,Yiru DAI,CHN,2001-01-15,1146
146,Victoria RAUSCH,LUX,1996-06-26,1146
147,Alexis GLASCO,USA,2003-02-22,1146
148,Anamaria NESTERIUC,ROU,1993-11-29,1146
149,Sofia IOSIFIDOU,GRE,1998-03-24,1145
150,Briana CAMPBELL,JAM,2006-11-07,1143
151,Erin MARSH,USA,1999-07-12,1143
152,Clara INGOGLIA,FRA,1999-06-13,1143
153,Petra RÉPÁSI,HUN,1996-01-30,1143
154,Nicoleta TURNEROVÁ,CZE,2000-05-30,1143
155,Grace JOHNSON,USA,,1143
156,Jil SANCHEZ,SUI,,1142
157,Pauline LETT,FRA,1991-10-08,1142
158,Dalhiana ROUVILLON,FRA,1999-03-24,1142
159,Manaka SHIBATA,JPN,2001-03-02,1141
160,Julia WENNERSTEN,SWE,2001-03-18,1140
161,Jiamin CHEN,CHN,1996-05-01,1140
162,Destiny SMITH,USA,,1140
163,Lovisa KARLSSON,SWE,2000-01-15,1139
164,Martha ARAUJO,COL,1996-05-12,1139
165,Darya OSIPOVA,RUS,2004-08-12,1139
166,Maja MAUNSBACH,SWE,2001-01-13,1138
167,Doris Quainoo MENSAH,GHA,,1138
168,Dafni GEORGIOU,CYP,1999-08-18,1137
169,Auceane BOUIJOUX,FRA,2004-03-01,1137
170,Valeriya GROMOVA,RUS,2000-04-08,1136
171,Adeyah BREWSTER,BAR,2002-12-20,1136
172,Paula BLANQUER,ESP,2003-07-01,1135
173,Zoe SULLIVAN,USA,,1135
174,Claudia VILLALANTE,ESP,2002-09-09,1135
175,Sky HAGAN,USA,,1135
176,Brandee' JOHNSON,USA,1998-04-03,1134
177,Amanda KINLOCH,USA,,1134
178,Sviatlana PARAKHONKA,BLR,1997-06-12,1134
179,Celia CHAUSSERAY,FRA,2000-02-19,1134
180,Miho SUZUKI,JPN,1996-11-18,1134
181,Paula SALMON,JAM,1999-05-13,1133
182,Lai Yiu LUI,HKG,1994-11-30,1133
183,Camden BENTLEY,USA,2005-04-15,1133
184,Falon SPEARMAN,USA,,1133
185,Melissa SERENO,POR,2005-03-16,1132
186,Marija BUKVIĆ,SRB,2001-05-31,1131
187,Laura BANKÓ,HUN,2001-03-11,1131
188,Genesis ROMERO,VEN,1995-11-06,1130
189,Briana STEPHENSON,NZL,1999-10-23,1130
190,Alina KYSHKINA,UKR,2005-07-30,1130
191,Kseniya PRIMAK,RUS,2000-02-20,1130
192,Ruslana RAMANOUSKAYA,BLR,1997-03-18,1130
193,Steffi DE SAEGHER,BEL,2005-02-14,1130
194,Yinfeng CHEN,CHN,1998-04-16,1130
195,Tonie-Ann FORBES,JAM,2005-01-08,1130
196,Hikari TANAKA,JPN,1998-06-29,1130
197,Tumi RAMOKGOPA,RSA,2007-08-27,1129
198,Nithya RAMRAJ,IND,1998-09-20,1129
199,Anisa BOWEN-FONTENOT,USA,2007-05-03,1129
200,Amari KILUVIA,USA,,1129
201,Ester BENDOVÁ,CZE,2003-10-28,1128
202,Jasmine ROBINSON,USA,2007-11-08,1128
203,Tyra THOMAS,USA,,1127
204,Marumi KANAI,JPN,1997-06-06,1127
205,Mathilde GUILLAUME,FRA,2000-11-05,1127
206,Simone BALLARD,USA,2004-03-21,1127
207,Lucheyona WEAVER,USA,,1127
208,Rahni TURNER,USA,,1127
209,Taylor COX,USA,2006-12-10,1126
210,Line SCHRÖDER,GER,2004-09-08,1126
211,Quincy BONDS,USA,,1126
212,Melissa BENFATAH,FRA,2006-12-19,1126
213,Aliyah LOGAN,CAN,2002-11-03,1125
214,Fenna ACHTERBERG,NED,2004-10-12,1125
215,Beatričė JUŠKEVIČIŪTĖ,LTU,2000-01-10,1125
216,Celeste POLZONETTI,ITA,2005-12-26,1125
217,Nicla MOSETTI,ITA,1997-08-24,1125
218,Birgen NELSON,USA,2000-11-11,1124
219,Valérie GUIGNARD,SUI,2004-03-30,1124
220,Brooklyn ROBINSON,USA,,1124
221,Jasmine HARMON,USA,,1124
222,Aelys GENTE,FRA,2001-01-19,1123
223,Anna Maria MILLEND,EST,2004-04-01,1123
224,Kailey ELLIOTT,USA,,1123
225,Larissa BERTÉNYI,SUI,2000-06-03,1122
226,Kaycee MCCOY,USA,,1122
227,Marli JESSOP,GBR,2003-06-27,1122
228,Joslyn HAMILTON,USA,2006-07-10,1121
229,Alicia BARRETT,GBR,1998-03-25,1121
230,Helen Bernard STILLING,ARG,2005-08-11,1120
231,Lana ANDOLŠEK,SLO,2005-04-24,1120
232,Yunzhe JIANGLI,CHN,2002-02-10,1120
233,Emelia SURCH,AUS,2003-06-29,1119
234,Moumita MONDAL,IND,2001-12-09,1118
235,Gréta KEREKES,HUN,1992-10-09,1118
236,Angel AGWAZIE,BEL,2001-05-31,1118
237,Mila HEIKKONEN,FIN,2006-11-27,1118
238,Danae DYER,USA,2000-04-28,1118
239,Olimpia BARBOSA,POR,1995-02-28,1118
240,Hana SEKNE,SLO,2007-04-05,1117
241,Adéla ONDŘEJOVÁ,CZE,2006-01-01,1117
242,Luciana ZAPATA,COL,2005-02-19,1116
243,Monika KIEPURA,POL,2000-08-19,1116
244,Taylen WISE,USA,,1116
245,Adrine MONAGI,PNG,1995-06-08,1115
246,Santana SPEARMAN,USA,2004-03-26,1115
247,Maja OLSZAK,POL,2004-07-30,1114
248,Asjah ATKINSON,USA,,1114
249,Jadin O'BRIEN,USA,2002-05-08,1114
250,Patreece CLARKE,JAM,2003-04-24,1113
251,Shania MYERS,JAM,2005-08-25,1113
252,Natalie BLOCK,USA,2002-03-22,1112
253,Charlize JAMES,USA,2004-06-29,1112
254,Stanislava ŠKVARKOVÁ,SVK,1996-04-20,1111
255,Yirong GAO,CHN,2004-01-02,1111
256,Alexsandra LOKSHIN,ISR,1994-11-10,1111
257,Katharina GÜHLEN,GER,1996-03-08,1111
258,Amber Vanden BOSCH,BEL,2001-06-27,1111
259,Jenna BLUNDELL,GBR,2001-06-12,1110
260,Jalaysiya SMITH,USA,2003-06-11,1110
261,Kendra LEGER,CAN,1999-02-12,1110
262,Deya ERICKSON,IVB,1997-03-02,1110
263,Brielle DIXON,USA,,1109
264,Jada PIERRE,USA,,1108
265,Indea CARTWRIGHT,BAH,2002-08-04,1108
266,Na-Nae RYU,KOR,1994-05-14,1107
267,Tyra BOUG,CAN,2000-08-07,1107
268,Sonja STÅNG,FIN,2002-03-18,1107
269,Yuliya BASHMANOVA,KAZ,1995-03-04,1106
270,Ava FITZGERALD,USA,,1106
271,Ami TAKAHASHI,JPN,2005-03-20,1106
272,Cansu Nimet SAYIN,TUR,2003-08-13,1106
273,Macaela WALKER,USA,,1105
274,Yuhui WEI,CHN,2002-08-25,1105
275,Catalina ROZAS,CHI,2006-11-14,1104
276,Rukia Nusra OMULISIA,KEN,2001-08-29,1104
277,Aaliyah BERRY,USA,2005-07-06,1104
278,Pragyan PRASANT,IND,1999-12-19,1104
279,Jessicka WOODS,USA,2004-04-04,1104
280,Anqi WU,CHN,2004-10-01,1103
281,Gizel CLAYTON,JAM,2001-11-01,1103
282,Kalani WITHERSPOON,USA,2005-02-15,1103
283,Bella WITT,USA,2003-04-07,1102
284,Sofia KAMPERIDOU,GRE,2003-04-22,1102
285,Antoinette GALLOWAY,USA,,1102
286,Adenike ABIODUN,CAN,,1102
287,Maya ROLLINS,USA,,1102
288,Ayaka ITO,JPN,2002-06-04,1101
289,Siiri SIIRTOLA,FIN,2005-05-04,1101
290,Carmen SÁNCHEZ,ESP,1997-11-17,1101
291,Saki KAMADA,JPN,1997-05-18,1101
292,Itsuki KOMIYA,JPN,1998-10-11,1101
293,Essi NISKALA,FIN,2005-05-24,1101
294,Madeline COOPER,USA,2007-06-06,1100
295,Laures BAUWENS,BEL,1999-06-15,1100
296,Polina GRAUDYN,RUS,1998-06-17,1100
297,Eseroghene Iro AWUSA,NGR,,1100
298,Samita SCHATZ,GER,2006-09-15,1100
299,Tiana MARSHALL,JAM,2007-11-05,1100
300,Qiudan GONG,CHN,2003-07-13,1100
301,Monika ZAPALSKA,GER,1994-05-24,1099
302,Emilia DEL HOYO,ESP,1997-04-05,1099
303,Thea Sofie HAAHR,DEN,1991-05-09,1099
304,Timara CHAPMAN,USA,2000-05-05,1099
305,Lea MEHRINGER,GER,,1099
306,Saira PRINCE,USA,2004-08-06,1099
307,Hailey FUNE,USA,2002-06-24,1099
308,Corrina COURSER,USA,,1098
309,Ivana LONČAREK,CRO,1991-04-08,1098
310,Nike PRAETZEL,GER,2003-04-29,1098
311,Uruha HOSHIBA,JPN,2003-06-10,1098
312,Esther CONDE-TURPIN,FRA,1996-04-29,1098
313,Weronika BARCZ-BUCH,POL,2002-10-28,1098
314,Nanaka KAJIKI,JPN,2000-12-07,1098
315,Linda BICHSEL,SUI,2004-12-27,1098
316,Charnessa REID,USA,,1097
317,Destiny COLEMAN,USA,,1097
318,Kisha BEGUINOT,FRA,1999-08-06,1097
319,Essi VEHMAA,FIN,2002-06-19,1097
320,Yuka FUKUI,JPN,2005-08-26,1097
321,Camryn NEWTON-SMITH,AUS,2000-04-27,1097
322,Ninoshka ROSA,PUR,2001-12-08,1096
323,Liwia WŁOSZCZYK,POL,2004-06-25,1096
324,Devyn PARHAM,USA,,1096
325,Saga VANNINEN,FIN,2003-05-04,1095
326,Kassidy HOPKINS,USA,,1095
327,Ami ANDO,JPN,2001-11-16,1095
328,Yasmeen TINSLEY,USA,,1095
329,Aaliyah BROWN-MUHAMMAD,USA,,1095
330,Valeriya SHCHERBININA,RUS,2002-11-15,1094
331,Adelly Oliveira BRITO,BRA,1987-07-08,1094
332,Anna HALL,USA,2001-03-23,1094
333,Arianna SMITH,USA,,1094
334,Lays Cristina Rodrigues SILVA,BRA,2004-08-16,1094
335,Molly SCOTT,IRL,1999-03-30,1094
336,Olivia POWELL,USA,,1094
337,Millie HUBBELL,USA,,1094
338,Daniela ROMAN,AUS,1996-01-07,1093
339,Selieci MYLES,JAM,2002-09-20,1093
340,Brianna GREEN,USA,,1093
341,Averi SCHMEICHEL,USA,,1093
342,Abbie TADDEO,AUS,1994-02-08,1093
343,Claudine RAUD-GUMIEL,FRA,2002-06-01,1093
344,Kyndall SPAIN,USA,,1093
345,Elena NESSENZIA,ITA,2003-03-08,1093
346,Fatumata BALDÉ,POR,2000-07-29,1092
347,Kiara MEIKLE,JAM,2005-10-31,1092
348,Zuzanna ZAJĄC,POL,2006-11-14,1091
349,Asharria ULETT,JAM,2004-11-22,1091
350,Yvette HARRIS,USA,2005-07-26,1091
351,Danielle HALES,GBR,2002-11-07,1091
352,Alexandra GABON,FRA,,1091
353,Ivory DAVIS,USA,,1090
354,Ayu KARIYA,JPN,2006-05-10,1090
355,Jaydea CARTER,USA,,1090
356,Leyka Itzel ARCHIBOLD,PAN,1997-09-12,1089
357,Astrid NYAME,CAN,1994-04-25,1089
358,Austyn KOPPE,USA,,1089
359,Lucy-Jane MATTHEWS,GBR,2002-09-17,1089
360,Jordyn HENDERSON,USA,,1089
361,Ayumi KOBAYASHI,JPN,2001-03-25,1089
362,Ava TESTA,AUT,2005-05-23,1089
363,Lucia MORERA,ESP,2003-10-16,1088
364,Kori MARTIN,USA,2006-03-15,1088
365,Erin STARKS,USA,,1088
366,Lina LELARGE,FRA,2004-01-19,1088
367,Etienne MAUGHAN,GBR,2004-12-07,1088
368,Shu MURAOKA,JPN,2000-01-16,1087
369,Katjuša Jordan NADIŽAR,SLO,2005-03-28,1087
370,Linoy LEVY,ISR,2004-04-19,1087
371,Alaina BRADY,USA,,1087
372,Santae WILSON,JAM,2005-10-12,1086
373,Chelsi WILLIAMS,USA,2006-09-13,1086
374,Petra POŠTULKOVÁ,CZE,,1086
375,Saqqara RUFFIN,USA,,1086
376,Kayli JOHNSON,USA,,1086
377,Veronika RATIYEVA,RUS,2005-12-06,1086
378,Marika YASUI,JPN,2003-05-02,1086
379,Barbora NAVRÁTILOVÁ,CZE,2002-10-26,1086
380,Laura FRLIČKOVÁ,SVK,2007-01-15,1085
381,Lena WEISS,SUI,1994-03-28,1085
382,Jenna VAKKILAINEN,FIN,2005-04-06,1085
383,Niina KARTTUNEN,FIN,2002-09-30,1085
384,Marine JACOB,FRA,2004-03-15,1085
385,Yaren YILDIRIM,TUR,2003-11-06,1084
386,Sofie DOKTER,NED,2002-12-19,1084
387,Johanna BÜCHS,GER,1995-06-18,1084
388,Alina FREI,SUI,2003-05-29,1084
389,Lena PHILIP,FRA,2001-04-10,1084
390,Stella DERUNGS,SUI,2005-04-30,1084
391,Kayvon NUBINE,USA,,1084
392,Sophia YAKUSHINA,RUS,2006-01-07,1084
393,Alva VON GERBER,SWE,2000-01-03,1084
394,Kimeone MCLEOD,JAM,2000-11-18,1083
395,Elisa FOSSATTELLI,ITA,2005-10-19,1083
396,Zuzanna GOZDERA,POL,2004-07-04,1083
397,Sofia COSCULLUELA,ESP,2004-01-26,1083
398,Chane KOK,RSA,2004-08-16,1082
399,Klára ZBOŽÍNKOVÁ,CZE,2006-12-05,1082
400,Ashanti HARVEY,USA,,1082
