rank,name,nationality,dob,points
1,Jasmine CAMACHO-QUINN,PUR,1996-08-21,1455
2,Grace STARK,USA,2001-05-06,1444
3,Masai RUSSELL,USA,2000-06-17,1431
4,Ackera NUGENT,JAM,2002-04-29,1421
5,Cyréna SAMBA-MAYELA,FRA,2000-10-31,1420
6,Nadine VISSER,NED,1995-02-09,1405
7,Devynne CHARLTON,BAH,1995-11-26,1380
8,Danielle WILLIAMS,JAM,1992-09-14,1378
9,Ditaji KAMBUNDJI,SUI,2002-05-20,1377
10,Tobi AMUSAN,NGR,1997-04-23,1370
11,Alaysha JOHNSON,USA,1996-07-20,1357
12,Pia SKRZYSZOWSKA,POL,2001-04-20,1337
13,Kendra HARRISON,USA,1992-09-18,1332
14,Marione FOURIE,RSA,2002-04-30,1324
15,Megan TAPPER,JAM,1994-03-18,1318
16,Tonea MARSHALL,USA,1998-10-17,1318
17,Tia JONES,USA,2000-09-08,1309
18,Alia ARMSTRONG,USA,2000-12-28,1304
19,Cindy SEMBER,GBR,1994-08-05,1290
20,Giada CARMASSI,ITA,1994-05-15,1282
21,Yumi TANAKA,JPN,1998-12-15,1281
22,Rayniah JONES,USA,2001-09-28,1277
23,Sarah LAVIN,IRL,1994-05-28,1274
24,Christina CLEMONS,USA,1990-05-29,1252
25,Charisma TAYLOR,BAH,1999-09-03,1251
26,Denisha CARTWRIGHT,BAH,1999-12-28,1251
27,Reetta HURSKE,FIN,1995-05-15,1251
28,Liz CLAY,AUS,1995-05-09,1249
29,Viktória FORSTER,SVK,2002-04-08,1244
30,Yanni WU,CHN,1997-07-28,1244
31,Luca KOZÁK,HUN,1996-06-01,1241
32,Maayke TJIN-A-LIM,NED,1998-01-10,1235
33,Nooralotta NEZIRI,FIN,1992-11-09,1235
34,Crystal MORRISON,JAM,2002-02-06,1235
35,Yanique THOMPSON,JAM,1996-03-12,1234
36,Destiny HUVEN,USA,2001-03-10,1234
37,Lotta HARALA,FIN,1992-03-26,1234
38,Karin STRAMETZ,AUT,1998-04-18,1233
39,Marlene MEIER,GER,2002-03-07,1230
40,Anna TÓTH,HUN,2003-11-20,1230
41,Kerrica HILL,JAM,2005-03-06,1228
42,Greisys ROBLE,CUB,2000-01-18,1228
43,Tatiana AHOLOU,CAN,2000-11-26,1228
44,Jyothi YARRAJI,IND,1999-08-28,1227
45,Hitomi NAKAJIMA,JPN,1995-07-13,1226
46,Sacha ALESSANDRINI,FRA,1999-06-07,1226
47,Alexandra WEBSTER,USA,2002-03-24,1226
48,Alicja SIELSKA,POL,2003-07-12,1224
49,Mariam ABDUL-RASHID,CAN,1997-09-21,1222
50,Ketiley BATISTA,BRA,1999-07-13,1220
51,Aasia LAURENCIN,LCA,2002-09-01,1220
52,Aaliyah MCCORMICK,USA,2004-09-17,1219
53,Rosina SCHNEIDER,GER,2004-08-18,1219
54,Chisato KIYOYAMA,JPN,1991-07-24,1219
55,Saara KESKITALO,FIN,2000-07-03,1218
56,Elena CARRARO,ITA,2001-01-03,1218
57,Maribel Vanessa CAICEDO,ECU,1998-04-01,1214
58,Elisa Maria DI LAZZARO,ITA,1998-06-05,1214
59,Laeticia BAPTÉ,FRA,1999-02-08,1213
60,Lisyanet RUIZ,CUB,2002-11-28,1210
61,Nika GLOJNARIČ,SLO,2000-11-29,1209
62,Amoi BROWN,JAM,1999-01-11,1206
63,Klaudia WOJTUNIK,POL,1999-05-15,1206
64,Jaiya COVINGTON,USA,2003-08-09,1203
65,Ida Beiter BOMME,DEN,2001-09-25,1202
66,Lovise Skarbøvik ANDRESEN,NOR,2004-01-17,1199
67,Sidonie FIADANANTSOA,MAD,1999-04-30,1198
68,Mako FUKUBE,JPN,1995-10-28,1198
69,Paola VAZQUEZ,PUR,1998-11-28,1196
70,Judy CHALCOU,FRA,2000-03-26,1194
71,Franziska SCHUSTER,GER,2002-02-22,1192
72,Marcia SEY,GBR,2001-11-07,1191
73,Gabriele CUNNINGHAM,USA,1998-02-22,1191
74,Evonne BRITTON,GHA,1991-07-28,1190
75,Elvira HRABARENKA,BLR,1997-01-09,1190
