rank,name,nationality,dob,points
1,Faith KIPYEGON,KEN,1994-01-10,1503
2,Diribe WELTEJI,ETH,2002-05-13,1453
3,Jessica HULL,AUS,1996-10-22,1444
4,Georgia Hunter BELL,GBR,1993-10-17,1410
5,Gudaf TSEGAY,ETH,1997-01-23,1383
6,Nelly CHEPCHIRCHIR,KEN,2003-06-04,1380
7,Sarah HEALY,IRL,2001-02-13,1371
8,Susan Lokayo EJORE,KEN,1995-11-09,1358
9,Birke HAYLOM,ETH,2006-01-06,1358
10,Nikki HILTZ,USA,1994-10-23,1354
11,Freweyni HAILU,ETH,2001-02-12,1351
12,Worknesh MESELE,ETH,2001-06-11,1327
13,Agathe GUILLEMOT,FRA,1999-07-11,1326
14,Linden HALL,AUS,1991-06-20,1312
15,Saron BERHE,ETH,2007-08-22,1306
16,Georgia GRIFFITH,AUS,1996-12-05,1305
17,Heather MACLEAN,USA,1995-08-31,1298
18,Revee WALCOTT-NOLAN,GBR,1995-03-06,1294
19,Weronika LIZAKOWSKA,POL,1998-11-02,1292
20,Sarah BILLINGS,AUS,1998-03-07,1288
21,Klaudia KAZIMIERSKA,POL,2001-09-03,1284
22,Sintayehu VISSA,ITA,1996-07-29,1282
23,Marta ZENONI,ITA,1999-03-09,1280
24,Águeda MARQUÉS,ESP,1999-03-19,1273
25,Nozomi TANAKA,JPN,1999-09-04,1268
26,Esther GUERRERO,ESP,1990-02-07,1260
27,Salomé AFONSO,POR,1997-11-19,1259
28,Marta PÉREZ,ESP,1993-04-19,1258
29,Katie SNOWDEN,GBR,1994-03-09,1252
30,Danielle JONES,USA,1996-08-21,1252
31,Gabriela DEBUES-STAFFORD,CAN,1995-09-13,1246
32,Abbey CALDWELL,AUS,2001-07-03,1245
33,Simone PLOURDE,CAN,2000-07-08,1233
34,Joceline WIND,SUI,2000-09-12,1227
35,Lucia STAFFORD,CAN,1998-08-17,1225
36,Gabija GALVYDYTĖ,LTU,2000-01-17,1224
37,Erin WALLACE,GBR,2000-05-18,1223
38,Emily MACKAY,USA,1998-04-30,1222
39,Kate CURRENT,CAN,1998-02-16,1220
40,Netsanet DESTA,ETH,2000-10-26,1218
41,Laurie BARTON,USA,1998-02-13,1215
42,Shelby HOULIHAN,USA,1993-02-08,1212
43,Teresiah Muthoni GATERI,KEN,2002-01-05,1210
44,Vera BERTEMES-HOFFMANN,LUX,1996-11-02,1205
45,Marina MARTÍNEZ,ESP,2002-01-13,1203
46,Adelle TRACEY,JAM,1993-05-27,1201
47,Yolanda NGARAMBE,SWE,1991-09-14,1201
48,Sophie O'SULLIVAN,IRL,2001-12-23,1199
49,Nele WESSEL,GER,1999-11-06,1198
50,Gracie MORRIS,USA,2001-12-17,1196
51,Tigist GIRMA,ETH,2002-11-07,1194
52,Riley CHAMBERLAIN,USA,2004-07-21,1191
53,Ludovica CAVALLI,ITA,2000-12-20,1188
54,Kimberley MAY,NZL,2003-05-08,1187
55,Rachel MCARTHUR,USA,1999-08-04,1184
56,Şilan AYYILDIZ,TUR,1999-10-10,1183
57,Eleanor FULTON,USA,1993-05-17,1182
58,Margot APPLETON,USA,2002-09-30,1181
59,Cari HUGHES,GBR,1999-03-15,1181
60,Tomoka KIMURA,JPN,1994-11-12,1180
