rank,name,nationality,dob,points
61,Adèle GAY,FRA,2004-10-16,1180
62,Svetlana APLACHKINA,RUS,1992-11-28,1179
63,Knight ACIRU,UGA,1998-09-03,1179
64,Wilma NIELSEN,SWE,2001-06-02,1177
65,Vera SJÖBERG,SWE,2001-05-19,1177
66,Aleksandra PŁOCIŃSKA,POL,1999-10-05,1175
67,Grace BOONE,USA,2001-04-08,1174
68,Jaylah HANCOCK-CAMERON,AUS,2002-05-28,1170
69,Taryn RAWLINGS,USA,1996-04-17,1170
70,Jodie MCCANN,IRL,2000-02-03,1169
71,Ingeborg ØSTGÅRD,NOR,2003-10-05,1169
72,Maggi CONGDON,USA,2002-07-23,1168
73,Mia BARNETT,SWE,2003-09-04,1167
74,Ellie LEATHER,GBR,1998-12-09,1166
75,Laura NAGEL,NZL,1992-02-11,1165
76,Christina ARAGON,USA,1997-06-17,1165
77,Chloe FOERSTER,USA,2003-09-21,1165
78,Lindsey BUTLER,USA,2000-08-28,1164
79,Elise VANDERELST,BEL,1998-01-27,1163
80,Lore HOFFMANN,SUI,1996-07-25,1162
81,Kristiina Sasínek MÄKI,CZE,1991-09-22,1161
82,Samrawit MULUGETA,ETH,2007-01-07,1160
83,Mena SCATCHARD,GBR,2003-01-28,1157
84,Ava LLOYD,GBR,2005-08-13,1156
85,Martyna GALANT,POL,1995-01-26,1156
86,Amina MAATOUG,NED,2002-11-17,1155
87,Lorena Rangel BATRES,MEX,2002-03-21,1154
88,Anna Camp BENNETT,USA,1998-04-09,1153
89,Salma ELBADRA,MAR,2004-09-12,1153
90,Marissa DAMINK,NED,1995-10-24,1152
91,Jolanda KALLABIS,GER,2005-02-18,1152
92,Bahiya El ARFAOUI,MAR,2005-11-01,1151
93,Micaela LEVAGGI,ARG,1998-08-12,1151
94,Sofia THØGERSEN,DEN,2005-07-06,1150
95,Aurore FLEURY,FRA,1993-12-04,1149
96,Hollie PARKER,GBR,1996-12-20,1149
97,Sadie ENGELHARDT,USA,2006-08-21,1148
98,Sam BUSH,USA,2000-12-31,1146
99,Bérénice FULCHIRON,FRA,2000-02-17,1145
100,Sadie SARGENT,USA,,1145
101,Laura NICHOLSON,IRL,2000-03-29,1144
102,Grace FETHERSTONHAUGH,CAN,2000-10-13,1142
103,Diana MEZULIÁNÍKOVÁ,CZE,1992-04-10,1140
104,Abbe GOLDSTEIN,USA,1999-06-18,1140
105,Liliya MENDAYEVA,RUS,2000-06-01,1139
106,Anne Gine LØVNES,NOR,2003-03-14,1139
107,María Pía FERNÁNDEZ,URU,1995-04-01,1139
108,Carmen CERNJUL,SWE,2007-06-14,1139
109,Sadie Jane HICKSON,CAN,1998-12-12,1137
110,Yuliya POPOVA,RUS,2001-05-03,1136
111,Flomena ASEKOL,KEN,2000-05-02,1136
112,Jennifer RANDALL,USA,1991-09-19,1135
113,Klara DESS,AUS,2000-03-16,1134
114,Amalie SÆTEN,NOR,1997-12-01,1133
115,Shannon FLOCKHART,GBR,2002-04-05,1132
116,Linn SÖDERHOLM,SWE,1996-05-05,1130
117,Carlee HANSEN,USA,,1130
118,Eimear MAHER,IRL,2003-08-10,1129
119,Alma Delia CORTES,MEX,1997-12-26,1129
120,Chunhui LI,CHN,2001-03-29,1128
121,Micol MAJORI,ITA,1998-06-04,1128
122,Silvia JELELGO,KEN,,1128
123,Lyubov DUBROVSKAYA,RUS,1997-09-16,1128
124,Nel VANOPSTAL,BEL,2004-08-28,1127
125,Gabrielle WILKINSON,USA,1999-06-10,1126
126,Na-Yeon PARK,KOR,1998-01-09,1124
127,Yume GOTO,JPN,2000-02-25,1124
128,Hannah SEGRAVE,GBR,1995-04-14,1124
129,Taylor WERNER,USA,1998-05-01,1123
130,Lilly NÄGELI,SUI,2003-05-24,1122
131,Mizuki MICHISHITA,JPN,2001-08-01,1120
132,Klara ANDRIJAŠEVIĆ,CRO,2001-03-16,1119
133,Jessica MCGORTY,USA,1999-01-25,1118
134,Holly DIXON,GBR,1997-12-23,1118
135,Suus ALTORF,NED,2004-05-14,1118
136,Mireya ARNEDILLO,ESP,2003-03-28,1118
137,Maggie LIEBICH,USA,2001-06-18,1115
138,Abir REFFAS,ALG,1997-12-03,1115
139,Wilma Bekkemoen TORBIÖRNSSON,NOR,2007-05-31,1115
140,Lise THIMON,FRA,1997-04-13,1114
141,Taryn PARKS,USA,,1114
142,Eleanor STREVENS,GBR,2006-12-14,1113
143,Augustine HAQUET,FRA,2003-07-13,1113
144,Chikako MORI,JPN,1992-11-25,1112
145,Rosalía TÁRRAGA,ESP,1996-11-03,1111
146,Sarah CALVERT,GBR,2001-06-29,1111
147,Airi TAJIMA,JPN,2004-08-09,1111
148,Teagan SCHEIN-BECKER,USA,2000-04-04,1111
149,Kaiya ROBERTSON,CAN,,1111
150,Kileigh KANE,USA,2000-12-12,1111
151,Stephanie BROKAW,USA,1991-03-04,1110
152,Hanna HERMANSSON,SWE,1989-05-18,1110
153,Adva COHEN,ISR,1996-03-24,1110
154,Anita POMA,PER,2004-03-06,1109
155,Alexandra CARLSON,USA,,1109
156,Vera COUTELLIER,GER,1995-09-11,1107
157,Selma ENGDAHL,NOR,2001-12-20,1107
158,Tatum DAVID,USA,,1107
159,Verena MEISL,GER,2001-05-17,1106
160,Dagmar SMID,NED,1997-01-26,1106
161,Karabo MORE,RSA,2002-04-21,1105
162,Claire YERBY,USA,2002-01-07,1104
163,Casey MONOSZLAY,USA,,1103
164,Tatsiana SHABANAVA,BLR,1998-03-20,1103
165,Izzy THORNTON-BOTT,AUS,1998-03-14,1103
166,Rachel FORSYTH,CAN,2006-03-14,1101
167,Halle HILL,USA,,1101
168,Ayano IDE,JPN,1999-02-11,1100
169,Mia COCHRAN,USA,2004-09-01,1100
170,July Ferreira DA SILVA,BRA,1994-10-27,1100
171,Saga PROVCI,SWE,2004-10-20,1100
172,Brianna MALONE,USA,,1099
173,Judy RONO,KEN,,1099
174,Berlyn SCHUTZ,USA,,1099
175,Charlotte TOMKINSON,USA,,1099
176,Camila GOMES,POR,2002-08-17,1098
177,Allie ZEALAND,USA,2006-09-07,1097
178,Erin VRINGER,CAN,2004-01-09,1097
179,Hui XU,CHN,2003-03-02,1097
180,Madaline ULLOM,USA,2002-01-16,1097
181,Jetske VAN KAMPEN,NED,1998-12-28,1096
182,Yana PEREPELITSA,RUS,2000-08-12,1096
183,Cailee PETERSON,USA,1999-09-05,1095
184,Kate PUTMAN,USA,,1095
185,Marte HOVLAND,NOR,2005-02-23,1095
186,Emmaculate JEMUTAI,KEN,,1094
187,Faustine CHABOCHE,FRA,2004-04-23,1094
188,Julia NIELSEN,SWE,2001-06-02,1094
189,Tia WILSON,GBR,2002-06-07,1093
190,Carla MASIP,ESP,1997-08-12,1093
191,Elena MARTÍN,ESP,1997-11-06,1092
192,Sophia KENNEDY,USA,2005-01-11,1092
193,Anastasiya KRASILNIKOVA,RUS,2003-12-10,1091
194,Rocio GARRIDO,ESP,2003-09-04,1090
195,Erin REIDY,USA,,1090
196,Juliette SECRETIN,BEL,2005-09-08,1088
197,Julia DAVID-SMITH,FRA,2003-01-24,1087
198,Yuan LI,CHN,2006-03-03,1087
199,Molly HUDSON,GBR,2002-08-16,1086
200,Rory CLARE,USA,,1086
201,Sophie COUTTS,CAN,2003-08-25,1085
202,Saki KATAGIHARA,JPN,2001-11-12,1084
203,Carmen Alder CAISALITIN,ECU,2003-03-03,1083
204,Raquel ECHEVERRIA,ESP,2000-10-05,1083
205,Mikayla CHENEY,USA,,1083
206,Veera MENSONEN,FIN,1999-08-01,1081
207,Jade BURIDON,FRA,2004-04-22,1081
208,Ada RAND,AUS,2005-07-22,1081
209,Elizabeth WHALEY,USA,2004-07-30,1081
210,Hannah ANDERSON,FIN,2002-09-17,1080
211,Rylan ENGELS,USA,,1080
212,Lera MILLER,GER,2007-03-20,1079
213,Rosemary LONGISA,KEN,,1079
214,Bethan MORLEY,GBR,2001-10-09,1078
215,Stella KERMES,USA,,1078
216,Melissa TANAKA,USA,1999-02-23,1077
217,Svetlana ANDRYUSHCHENKO,RUS,2000-09-13,1076
218,Ghania REZZIK,ALG,2002-12-21,1076
219,Lotte SEILER,AUT,2001-05-12,1075
220,Alice SEGUIN,FRA,2002-08-27,1075
221,Elin BRINK,SWE,1997-03-27,1074
222,Maki IZUMIDA,JPN,1996-01-22,1073
223,Brianna RINN,USA,,1073
224,Holly MACGILLIVRAY,CAN,2002-08-18,1073
225,Georgia WINKCUP,AUS,1997-05-09,1073
226,Jenica SWARTZ,CAN,,1073
227,Elizabeth STOCKMAN,USA,,1073
228,Bieke SCHIPPEREN,NED,2004-03-05,1072
229,Melissa FRACASSINI,ITA,2003-10-20,1072
230,Isabelle HEIKES,USA,,1071
231,Julia ROSENBERG,USA,,1071
232,Liv DINIS,SWE,2004-06-03,1071
233,Amy O'DONOGHUE,IRL,1994-01-27,1070
234,Saija SEPPÄ,FIN,1998-04-04,1070
235,Brynne SUMNER,USA,,1070
236,Suzuna KINOSHITA,JPN,2003-08-25,1069
237,Yujin KIM,KOR,1996-07-21,1069
238,Charlene ROBERTSON,NED,,1069
239,Millie WILCOX,USA,,1068
240,Isla MCGOWAN,GBR,2007-10-10,1067
241,Ronke AKANBI,NGR,2004-11-28,1067
242,Cara LAVERTY,IRL,2003-09-14,1067
243,Taylor ROHATINKSY,USA,,1066
244,Valeria MINATI,ITA,2004-01-16,1066
245,Matilde PRATI,ITA,2004-05-14,1065
246,Fabiane MEYER,GER,2002-11-29,1064
247,Stephanie MOSS,GBR,2002-05-24,1064
248,Abigail HANCOCK,GBR,,1063
249,Kaitlyn SHEPPARD,GBR,2004-02-25,1063
250,Javiera FALETTO,CHI,1991-10-09,1062
251,Jenna ZYDANOWICZ,USA,,1062
252,Annie WILD,USA,,1062
253,Megan ROXBY,CAN,,1062
254,Marie BILO,BEL,2003-12-22,1061
255,Fabienne MÜLLER,SUI,2005-11-01,1061
256,Aoife DUNNE,USA,,1061
257,Judith OTAZUA,ESP,1999-12-26,1061
258,Kylee CUBBISON,USA,,1061
259,Mandeep SANGHA,CAN,,1061
260,Boh RITCHIE,NZL,2007-02-08,1060
261,Tuğba TOPTAŞ,TUR,2000-07-11,1060
262,Gretchen FARLEY,USA,,1060
263,Claudia GUTIERREZ,ESP,2007-06-17,1059
264,Emmanouela PLAKA,GRE,2003-11-06,1059
265,Mara ROLLI,ESP,2007-04-19,1058
266,Heini IKONEN,FIN,1999-03-22,1058
267,Keira MOORE,AUS,2004-01-03,1058
268,Emma FERGUSON,NZL,,1058
269,Vanessa MIKITENKO,GER,2005-07-07,1057
270,Cristina Daniela BĂLAN,ROU,1998-10-17,1057
271,Natalie CUMMINGS,USA,,1057
272,Koraini KYRIAKOPOULOU,GRE,1993-03-11,1056
273,Mya BUNKE,USA,,1056
274,Olivia MILLEN,USA,,1056
275,Annie MANN,GBR,2006-03-02,1056
276,Natálie MILLEROVÁ,CZE,2004-07-05,1055
277,Rachel O'BRIEN,AUS,2000-03-20,1055
278,Samantha HASTIE,USA,,1055
279,Siiri RAINIO,FIN,2000-07-11,1055
280,Toshika TAMURA,JPN,1990-06-06,1055
281,Shirin KERBER,SUI,2006-01-11,1054
282,Mia Ivana CABRERA,MEX,2002-07-26,1054
283,Alice MAGNELL-MILLÁN,SWE,2005-06-18,1053
284,Isobelle JONES,GBR,2007-04-03,1053
285,Gina MCNAMARA,MLT,1994-12-05,1052
286,Charlotte BELL,USA,,1052
287,Rita FIGUEIREDO,POR,2003-07-22,1052
288,Iris DOWNES,GBR,2005-07-03,1052
289,Marta CASTRO,POR,2003-02-07,1052
290,Adeline HAISCH,GER,2000-04-08,1052
291,Lucie GRANDJEAN,BEL,2003-04-24,1051
292,Ran URABE,JPN,1995-06-16,1051
293,Marion JEPNGETICH,KEN,2005-09-04,1051
294,Eline PINTER,BEL,1996-01-18,1051
295,Kate STRADER,USA,,1051
296,Molly DREHER,USA,,1051
297,Carey GOSSELIN,USA,,1051
298,Rong RONG,CHN,2007-08-13,1050
299,Stephanie KELLY,AUS,1993-11-26,1050
300,Alice MITARD,FRA,1998-03-07,1050
301,Tena MARODI,CRO,2005-06-02,1050
302,Winnie Jelagat KIPSANG,KEN,2001-11-10,1050
303,Anastasiya MIKHAYLOVSKAYA,RUS,2001-03-22,1049
304,Yuya SAWADA,JPN,2006-03-01,1049
305,Karin YASUMOTO,JPN,1996-10-06,1049
306,Glenrose XABA,RSA,1994-12-31,1048
307,Aria HAWKINS,USA,,1048
308,Kerstin RUBIN,SUI,1997-08-29,1048
309,Jihad ESSOUBAI,ESP,2003-12-09,1048
310,Charlotte RICHMAN,USA,,1048
311,Michi KAWANISHI,JPN,2007-01-24,1048
312,Tilly SIMPSON,GBR,2000-10-25,1047
313,Caroline TIMM,USA,2000-06-15,1047
314,Emilie MEYER,USA,,1047
315,Charlotte AUGENSTEIN,USA,2002-04-14,1047
316,Heidi DEMEO,AUS,2000-02-17,1047
317,Emily BOLTON,IRL,2008-02-09,1046
318,Julia AGOSTINELLI,CAN,2002-01-18,1046
319,Logan St. JOHN-KLETTER,USA,,1046
320,Beatrix WRAITH,GBR,2003-02-06,1046
321,Hongjiao WU,CHN,2003-07-25,1045
322,Nan ZHANG,CHN,2000-09-10,1045
323,Rosemary SHAY,USA,,1045
324,Marie HOSTETLER,USA,,1045
325,Marianne MIHAS,USA,,1045
326,Olivia MARTIN,GBR,2005-08-10,1044
327,Anna CONNOR,USA,1986-01-10,1044
328,Lily FLYNN,USA,2001-02-20,1044
329,Abigail PARRA,USA,,1044
330,Sarah PICKERING,AUS,2003-05-24,1044
331,Panpan WANG,CHN,2003-06-17,1043
332,Lea MARODI,CRO,2005-06-02,1043
333,Fuka OTAGAKI,JPN,2004-12-21,1043
334,Annabel HOBDAY,GBR,,1043
335,Aino SUNI,FIN,2000-08-21,1042
336,Livia CALDARINI,ITA,2002-01-25,1042
337,Elise SMOOT,USA,2001-10-05,1042
338,Ainsley HERRON,USA,,1042
339,Tilly O'CONNOR,USA,,1042
340,Emma DOUGLASS,NZL,2002-08-14,1041
341,Eline MAST,NED,,1041
342,Keaton MORRISON,USA,,1041
343,Zoe TOLAND,AUS,1997-08-06,1041
344,Julia FLYNN,USA,,1041
345,Kylie FINGER,USA,,1041
346,Mejra MEHMEDOVIĆ,SRB,2006-06-29,1041
347,Willow COLLINS,USA,,1041
348,Franziska SCHINDLER,GER,1997-10-27,1041
349,Tracee Der VAN WYK,USA,1991-10-08,1040
350,Zuzanna WIERNICKA,POL,2006-10-21,1040
351,Isabelle WALSH,USA,,1040
352,Rachel MCCORMICK,AUS,1994-05-06,1040
353,Brooke GARTER,USA,,1040
354,Elisa CLEMENTI,ITA,2005-02-27,1040
355,Ally KRUGER,USA,,1040
356,Madison SURBER,USA,2004-03-04,1039
357,Ayu KOYAMA,JPN,2003-08-20,1039
358,Natalie CIZMAS,USA,1996-04-20,1039
359,Klaudia O'MALLEY,USA,,1039
360,Nicole DINAN,IRL,2006-01-03,1039
361,Nanami OKAWA,JPN,2007-05-10,1039
362,Liza CORSO,USA,,1039
363,Jiahui CHEN,CHN,2003-01-28,1038
364,Madison MOONEY,IRL,2000-03-21,1038
365,Lexi GOFF,USA,,1038
366,Carmie PRINSLOO,RSA,2002-01-31,1037
367,Lea HATCHER,USA,,1037
368,Dorcas NAIBEI,KEN,,1037
369,Olivia PIELEMEIER,USA,,1037
370,Tessa LAX,FRA,1998-12-05,1036
371,Ana MORARIU,CAN,,1036
372,Emily ROBINSON,USA,,1036
373,Caroline COLLINS,USA,,1035
374,Ruby MADDEN,AUS,2004-05-20,1035
375,Sarah FLYNN,USA,,1035
376,Haley SCHOENEGGE,USA,,1033
377,Anneken VILJOEN,RSA,2002-02-20,1033
378,Leoni MIERSWA,GER,2000-05-28,1032
379,Mahiro HASEGAWA,JPN,2003-04-17,1032
380,Mana AIBA,JPN,2004-11-21,1032
381,Anzhelika BONDAR,UKR,2003-01-15,1031
382,Runa SHOJI,JPN,2004-03-28,1030
383,Kaate MULDERS,NED,2008-02-17,1030
384,Mariana MOREIRA,POR,2008-03-21,1029
385,Evey POWELL,GBR,,1029
386,Sarah FORSYTH,USA,,1029
387,Mackenzie BARNETT,USA,,1028
388,Rahel BRÖMMEL,GER,2002-07-29,1028
389,Abigail MCANDREW,GBR,,1028
390,Hillary CLARK,CAN,,1028
391,Tia Tanja ŽIVKO,SLO,2006-10-08,1027
392,Chloe COUTTS,CAN,2003-08-25,1027
393,Thea NORLUND,SWE,2000-09-03,1027
394,Hannah KINANE,SWE,2006-01-09,1027
395,Alessandra RODRIGUEZ,PUR,2000-11-03,1027
396,Kyo HONMA,JPN,2006-09-12,1027
397,Katie TURK,USA,,1027
398,Niamh CARR,IRL,2001-01-31,1026
399,Alexandra WERCINSKI,USA,,1026
400,Evie BROOKS,GBR,,1026
