rank,name,nationality,dob,points
1,Matthew HUDSON-SMITH,GBR,1994-10-26,1460
2,Muzala SAMUKONGA,ZAM,2002-12-09,1445
3,Christopher BAILEY,USA,2000-05-29,1425
4,Quincy HALL,USA,1998-07-31,1412
5,Kirani JAMES,GRN,1992-09-01,1411
6,Charles DOBSON,GBR,1999-10-20,1390
7,Zakithi NENE,RSA,1998-04-02,1382
8,Bayapo NDORI,BOT,1999-06-20,1377
9,Jereem RICHARDS,TTO,1994-01-13,1371
10,Busang Collen KEBINATSHIPI,BOT,2004-02-13,1363
11,Jacory PATTERSON,USA,2000-02-02,1354
12,Vernon NORWOOD,USA,1992-04-10,1343
13,Bryce DEADMON,USA,1997-03-26,1318
14,Samuel OGAZI,NGR,2006-05-14,1312
15,Alexander DOOM,BEL,1997-04-25,1304
16,Attila MOLNÁR,HUN,2002-01-17,1289
17,Khaleb MCRAE,USA,2000-09-09,1284
18,Christopher Morales WILLIAMS,CAN,2004-08-05,1281
19,Reece HOLDER,AUS,2002-08-20,1280
20,Maksymilian SZWED,POL,2004-08-06,1275
21,Jonas PHIJFFERS,NED,2003-06-20,1267
22,Luca SITO,ITA,2003-05-12,1262
23,Lee Bhekempilo EPPIE,BOT,1999-05-18,1261
24,Elián LARREGINA,ARG,2000-02-20,1259
25,Brian FAUST,USA,1999-01-12,1255
26,Chidi OKEZIE,NGR,1993-08-08,1252
27,Matheus LIMA,BRA,2003-06-01,1248
28,Patrik Simon ENYINGI,HUN,2001-01-24,1247
29,Quincy WILSON,USA,2008-01-08,1246
30,Jonathan SACOOR,BEL,1999-09-01,1246
31,Jean Paul BREDAU,GER,1999-06-27,1246
32,Daniel SEGERS,BEL,2001-02-01,1242
33,Samuel REARDON,GBR,2003-10-30,1242
34,Ammar Ismail Yahia IBRAHIM,QAT,1996-09-18,1241
35,Lythe PILLAY,RSA,2003-02-25,1236
36,Lionel SPITZ,SUI,2001-01-12,1232
37,Isaya Klein IKKINK,NED,2003-05-13,1232
38,Rusheen MCDONALD,JAM,1992-08-17,1231
39,Edoardo SCOTTI,ITA,2000-05-09,1231
40,Matthew BOLING,USA,2000-06-20,1230
41,Oleksandr POHORILKO,UKR,2000-04-16,1229
42,Zandrion BARNES,JAM,2001-08-17,1229
43,Cooper SHERMAN,AUS,2004-02-25,1228
44,Leungo SCOTCH,BOT,1996-02-28,1228
45,Liemarvin BONEVACIA,NED,1989-04-05,1227
46,Alex HAYDOCK-WILSON,GBR,1999-07-28,1227
47,Fuga SATO,JPN,1996-06-01,1226
48,Cheikh Tidiane DIOUF,SEN,1995-03-23,1221
49,Delano KENNEDY,JAM,2004-02-03,1218
50,Udeme OKON,RSA,2005-09-03,1217
51,Håvard Bentdal INGVALDSEN,NOR,2002-09-21,1214
52,Brian Onyari TINEGA,KEN,2002-11-24,1212
53,Téo ANDANT,FRA,1999-07-21,1211
54,Haron ADOLI,UGA,1994-10-08,1211
55,Tyler FLOYD,CAN,2004-10-11,1210
56,Kentaro SATO,JPN,1994-11-16,1209
57,Johnnie BLOCKBURGER,USA,2002-07-12,1209
58,Jayden DAVIS,USA,2005-03-10,1209
59,Chris ROBINSON,USA,2001-02-19,1206
60,Auhmad ROBINSON,USA,2001-06-04,1206
61,Kelvis PADRINO,VEN,1997-02-26,1204
62,Eugene OMALLA,NED,2000-10-05,1204
63,Leendert KOEKEMOER,RSA,2007-05-15,1203
64,Ricky PETRUCCIANI,SUI,2000-06-30,1203
65,Jevaughn POWELL,JAM,2000-11-19,1202
66,Elija GODWIN,USA,1999-07-01,1202
67,Dylan BORLÉE,BEL,1992-09-20,1201
68,Gardeo ISAACS,RSA,1998-12-27,1200
69,João COELHO,POR,1999-04-04,1200
70,Matěj KRSEK,CZE,2000-05-13,1199
71,Luke VAN RATINGEN,AUS,2001-10-12,1199
72,Kevin KIPKORIR,KEN,1994-08-01,1199
73,William JONES,USA,2003-10-03,1199
74,Toby HARRIES,GBR,1998-09-30,1198
75,Mihai Sorin DRINGO,ROU,2001-11-06,1197
76,Emmanuel BAMIDELE,NGR,1999-07-06,1193
77,Bovel MCPHERSON,JAM,2001-02-25,1191
78,Micahi DANZY,USA,,1187
79,Brodie YOUNG,GBR,2003-02-28,1187
80,Kenki IMAIZUMI,JPN,2001-09-26,1182
81,Takudzwa CHIYANGWA,ZIM,2002-05-02,1181
82,Rok FERLAN,SLO,1997-07-26,1180
83,Minkyu SHIN,KOR,2000-03-09,1180
84,Gilles BIRON,FRA,1995-04-13,1180
85,Takuho YOSHIZU,JPN,1998-08-31,1179
86,Abdou Aziz NDIAYE,SEN,2002-01-08,1179
87,Younes CHATTOUI,MAR,1996-03-13,1179
88,Aleksandr MASYUTENKO,RUS,1998-04-27,1177
89,Deandre WATKIN,JAM,2002-12-09,1176
90,Shaemar UTER,JAM,2003-02-09,1175
91,Sean BAILEY,JAM,1997-07-15,1174
92,Gabriel MORONTA,DOM,2002-10-19,1174
93,Kalinga Hewa KUMARAGE,SRI,1992-09-25,1173
94,Jenoah MCKIVER,USA,2002-04-03,1172
95,Gustav Lundholm NIELSEN,DEN,1998-08-03,1172
96,Desean BOYCE,BAR,2001-10-23,1172
97,Tumisang SHEZI,RSA,2000-05-13,1171
98,Terrell THORNE,AUS,2007-05-05,1170
99,George MUTINDA,KEN,2001-10-10,1169
100,Erick SÁNCHEZ,DOM,1997-08-26,1169
101,Edidiong Okon UDO,NGR,1999-01-31,1167
102,Alexander OGANDO,DOM,2000-05-03,1166
103,Allan KIPYEGO,KEN,2001-11-08,1166
104,Javier GÓMEZ,VEN,2001-05-22,1166
105,Frederic MENDY,SEN,1995-12-24,1165
106,Joseph TAYLOR,USA,,1165
107,Luis AVILÉS,MEX,2002-03-03,1164
108,Josiah WRICE,USA,,1163
109,Omar ELKHATIB,POR,2001-10-19,1162
110,Johnny GOODE,USA,,1162
111,Will SUMNER,USA,2003-10-22,1160
112,Lex REVELL-LEWIS,NZL,2004-02-25,1160
113,Danil VESHNYAKOV,RUS,2001-06-30,1160
114,Abdennour BENDJEMAA,ALG,1998-05-22,1160
115,Mthi MTHIMKULU,RSA,2003-04-30,1158
116,Keenan BLAKE,NED,2003-01-17,1158
117,Boniface Ontuga MWERESA,KEN,1993-11-13,1157
118,Josh PAGE,USA,,1157
119,Demish GAYE,JAM,1993-01-20,1157
120,Thomas REYNOLDS,AUS,2004-09-05,1157
121,Jalen WILLIAMS,USA,,1156
122,Manuel SANDERS,GER,1998-04-03,1156
123,Kajetan DUSZYŃSKI,POL,1995-05-12,1156
124,Demarius SMITH,USA,1998-12-25,1155
125,Markel FERNANDEZ,ESP,2003-02-06,1154
126,Tj TOMLYANOVICH,USA,2003-04-16,1154
127,Cutler ZAMZOW,USA,,1154
128,Ervin PEARSON,USA,2006-01-17,1154
129,Manuel GUIJARRO,ESP,1998-07-07,1153
130,Christian IGUACEL,BEL,1996-05-02,1153
131,Jaden SMITH,GBR,2004-12-08,1153
132,Gabriel J Clement II,USA,2005-07-07,1153
133,Ailixier WUMAIER,CHN,2006-05-25,1152
134,Florent MABILLE,BEL,1996-10-27,1152
135,Vishal Thennarasu KAYALVIZHI,IND,2003-12-17,1151
136,Lewis DAVEY,GBR,2000-10-24,1151
137,Loïc PREVOT,FRA,1998-02-10,1151
138,Sho TANABE,JPN,2005-09-30,1150
139,Antonie Matthys NORTJE,RSA,2002-02-02,1150
140,Shemar CHAMBERS,JAM,1999-05-06,1150
141,Zander CRUZAN,USA,,1149
142,Hossam HATIB,MAR,2002-01-10,1148
143,Wendell MILLER,BAH,2003-01-03,1148
144,Jordan PIERRE,USA,,1147
145,Yann SPILLMANN,FRA,2002-07-15,1147
146,Solomon STRADER,USA,2001-12-22,1147
147,Daniel SOŁTYSIAK,POL,2001-09-06,1146
148,Efekemo OKORO,GBR,1992-02-21,1146
149,Boško KIJANOVIĆ,SRB,2000-06-21,1145
150,Steven MCELROY,USA,2003-04-13,1145
151,Kimar FARQUHARSON,JAM,2001-05-20,1144
152,Ryo YOSHIKAWA,JPN,2001-08-30,1144
153,Conor KELLY,IRL,2007-07-17,1143
154,Jake PALERMO,USA,2006-05-06,1142
155,Wilbert LONDON,USA,1997-08-17,1142
156,Xai RICKS,USA,,1142
157,David GARCÍA,ESP,2005-06-06,1141
158,Jasauna DENNIS,JAM,2004-12-30,1141
159,Jacob ANDREWS,USA,,1140
160,Julio ARENAS,ESP,1993-04-24,1139
161,Vladimir ACETI,ITA,1998-10-16,1139
162,Eli HAZLETT,USA,,1139
163,Lawson JACOBS,USA,,1138
164,Josh TAYLOR,USA,,1136
165,Austin COLE,CAN,1998-10-31,1136
166,Felix LEVASSEUR,FRA,2004-05-31,1136
167,Marcin KAROLEWSKI,POL,2002-12-16,1135
168,Lee THOMPSON,GBR,1997-03-05,1135
169,Kira HIRAKAWA,JPN,2005-08-25,1133
170,Kelvin Kiprotich TONUI,KEN,1997-07-26,1133
171,Liukai LIU,CHN,2006-05-10,1133
172,Nathan KENT,USA,2003-11-01,1133
173,Malik RICKETTS,JAM,2001-10-29,1133
174,Mouatez Abderrazek SIKIOU,ALG,2001-07-17,1133
175,Trey JACKSON,USA,,1132
176,Anthony EAST,USA,,1132
177,Cillin GREENE,IRL,1998-02-12,1132
178,Jack RAFTERY,IRL,2001-04-26,1131
179,Brandon BATTLE,USA,,1131
180,Predea MANOUNOU,FRA,1997-07-02,1131
181,Michael FRANCOIS,GRN,1999-07-02,1131
182,George John FRANKS,GRE,2004-02-24,1131
183,Shemar PALMER,JAM,2003-02-14,1131
184,Ericsson TAVARES,POR,2001-01-29,1130
185,Michal DESENSKÝ,CZE,1993-03-01,1130
186,Ronnie KENDRICK,USA,,1130
187,Shinya HAYASHI,JPN,2004-04-15,1129
188,Tavon UNDERWOOD,USA,2004-08-21,1129
189,Gerson POZO,ESP,2003-05-06,1129
190,Manuel BEA,ESP,2001-10-05,1129
191,Logan POPELKA,USA,2003-08-09,1128
192,Mateo MEDINA,USA,,1128
193,Reheem HAYLES,JAM,2001-03-09,1128
194,David Sanayek KAPIRANTE,KEN,2000-05-20,1127
195,Dennis MASIKA,KEN,2000-01-12,1127
196,Nate WATSON,USA,,1127
197,Ashton SCHWARTZMAN,USA,2003-01-18,1127
198,Milan ŠČIBRÁNI,CZE,2003-07-29,1126
199,Devan CRUMPTON,USA,,1126
200,Evan MAFILAS,USA,1999-03-01,1125
201,Konsta ALATUPA,FIN,1999-06-25,1124
202,Lucas CARVALHO,BRA,1993-07-16,1124
