rank,name,nationality,dob,points
56,Joseph FAHNBULLEH,LBR,2001-09-11,1216
57,Max THOMAS,USA,2004-02-24,1213
58,Kyree KING,USA,1994-07-09,1212
59,Terrence JONES,BAH,2002-11-08,1212
60,Reynaldo R. ESPINOSA,CUB,2003-02-01,1212
61,Simon HANSEN,DEN,1998-06-30,1212
62,Jelani WATKINS,USA,,1211
63,Joseph Paul AMOAH,GHA,1997-01-12,1210
64,Ibrahim FUSEINI,GHA,2002-11-24,1210
65,Chituru ALI,ITA,1999-04-06,1209
66,Kadrian GOLDSON,JAM,1997-11-08,1208
67,Rikkoi BRATHWAITE,IVB,1999-02-13,1207
68,Joshua HARTMANN,GER,1999-06-09,1206
69,Ryiem FORDE,JAM,2001-05-23,1204
70,Guillem CRESPI,ESP,2002-12-26,1204
71,Favour Oghene Tejiri ASHE,NGR,2002-04-28,1204
72,Mccallum T'MARS,USA,2004-05-20,1202
73,Yoshihide KIRYU,JPN,1995-12-15,1202
74,Lucas ANSAH-PEPRAH,GER,2000-01-16,1202
75,Coby HILTON,USA,1998-04-08,1200
76,Kevin KRANZ,GER,1998-06-20,1200
77,Ismael KONE,CIV,2000-11-06,1199
78,Naoki INOUE,JPN,2003-09-16,1199
79,Xinrui DENG,CHN,2003-12-20,1199
80,Sebastian SULTANA,AUS,2005-09-15,1196
81,Neiker ABELLO,COL,2000-03-30,1195
82,Eliezer ADJIBI,CAN,2000-09-23,1195
83,Tsebo MATSOSO,RSA,1999-05-27,1194
84,Heiko GUSSMANN,GER,2004-03-11,1193
85,Retshidisitswe MLENGA,RSA,2000-02-27,1192
86,Dapriest HOGANS,USA,,1192
87,Udodi Chudi ONWUZURIKE,NGR,2003-01-29,1191
88,Odaine MCPHERSON,JAM,1999-02-14,1190
89,Shuhei TADA,JPN,1996-06-24,1189
90,Isaac BOTSIO,GHA,1999-12-11,1189
91,L.O. JOHNSON,USA,1999-12-06,1189
92,Javonte' HARDING,USA,2001-08-29,1188
93,Jaiden REID,CAY,2005-04-10,1188
94,Jaleel CROAL,IVB,2003-03-13,1187
95,Yuki KOIKE,JPN,1995-05-13,1187
96,Yannick WOLF,GER,2000-05-12,1187
97,Jeff ERIUS,FRA,2004-03-08,1186
98,Kalen WALKER,USA,2001-10-13,1186
99,Edward OSEI-NKETIA,NZL,2001-05-08,1186
100,David NYAMUFARIRA,ZIM,2005-03-29,1185
101,Jc STEVENSON,USA,2004-06-02,1185
102,Usheoritse ITSEKIRI,NGR,1998-01-31,1185
103,Aaron BROWN,CAN,1992-05-27,1185
104,Jacob DESPARD,AUS,1996-11-20,1185
105,Pablo MATEO,FRA,2001-02-01,1183
106,Hassan TAFTIAN,IRI,1993-05-04,1182
107,Franco FLORIO,ARG,2000-05-30,1181
108,Taymir BURNET,NED,1992-10-01,1181
109,Oliwer WDOWIK,POL,2002-01-03,1180
110,Ryota SUZUKI,JPN,1999-06-25,1180
111,Karabo MOTHIBI,BOT,1996-10-15,1179
112,Sam BLASKOWSKI,USA,2002-11-05,1179
113,Bradley NKOANA,RSA,2005-01-27,1178
114,Erik CARDOSO,BRA,2000-03-03,1178
115,Shainer Reginfo MONTOYA,CUB,2002-04-08,1178
116,Mason LAWYER,USA,,1177
117,Traunard FOLSON,USA,,1177
118,Alaba Olukunle AKINTOLA,NGR,2001-09-14,1177
119,Neo MOSEBI,RSA,2004-04-16,1177
120,Fola OLAOYE,NGR,1996-11-21,1177
121,Arturo Harmodio DELISER,PAN,1997-04-24,1176
122,Malachi SNOW,USA,,1176
123,Seye OGUNLEWE,NGR,1991-08-30,1175
124,Barnabas AGGERH,GHA,1998-06-04,1174
125,Chance CROSS,USA,,1174
126,Deandre DALEY,JAM,2005-02-08,1173
127,Duan ASEMOTA,CAN,1996-08-29,1173
128,Zachaeus BEARD,USA,2000-09-30,1172
129,Cheswill JOHNSON,RSA,1997-09-30,1171
130,Travis WILLIAMS,JAM,2003-03-11,1171
131,Gout GOUT,AUS,2007-12-29,1171
132,Yuhi MORI,JPN,2003-12-14,1171
133,Naoki NISHIOKA,JPN,2006-07-19,1171
134,Emanuel ARCHIBALD,GUY,1994-09-09,1170
135,Yupun ABEYKOON,SRI,1994-12-31,1170
136,Karabo LETEBELE,RSA,2006-12-09,1169
137,Yoshiki KINASHI,JPN,2001-09-28,1167
138,Adekalu Nicholas FAKOREDE,NGR,2003-06-28,1167
139,Taylor BANKS,USA,2000-10-10,1166
140,Shoto UNO,JPN,2001-05-17,1166
141,Ajani DWYER,USA,2006-05-18,1166
142,Dominik ILLOVSZKY,HUN,2002-01-04,1166
143,Muhd Azeem FAHMI,MAS,2004-04-29,1166
144,Abel JORDAN,ESP,2003-09-18,1165
145,Akihiro HIGASHIDA,JPN,1995-12-13,1165
146,Olaolu Jason OLATUNDE,NGR,2002-08-19,1165
147,Andrew ROBERTSON,GBR,1990-12-17,1164
148,Abdulaziz Abdui ATAFI,KSA,2001-12-02,1164
149,Casey HOOD,USA,,1164
150,Omari LEWIS,TTO,2001-11-26,1164
151,Weiyi LU,CHN,2000-05-04,1164
152,Jamarion STUBBS,USA,2004-09-05,1164
153,Bouwahjgie NKRUMIE,JAM,2004-02-16,1163
154,Simon VERHERSTRAETEN,BEL,1999-01-14,1163
155,Franquelo PEREZ,DOM,2002-07-19,1163
156,Joshua CALEB,NGR,2006-07-14,1163
157,Tapiwanashe MAKARAWU,ZIM,2000-08-14,1162
158,Ebrahima CAMARA,GAM,1996-09-18,1162
159,Nigel GREEN,USA,,1162
160,Andre MORRISON,JAM,1998-11-12,1162
161,Mustapha Alufar BOKPIN,GHA,2001-02-17,1162
162,Dominik KOPEĆ,POL,1995-03-05,1161
163,Denzel SIMUSIALELA,ZIM,2004-02-22,1161
164,Deron DUDLEY,USA,,1161
165,Tomas Ariel VILLEGAS,ARG,2004-04-30,1160
166,Ade ADEWALE,GBR,1993-08-27,1160
167,Kendal WILLIAMS,USA,1995-09-23,1159
168,Xavi MO-AJOK,NED,2002-09-16,1158
169,Malachi MURRAY,CAN,2000-03-18,1158
170,Brody BUFFINGTON,USA,,1158
171,Demek KEMP,USA,1996-04-26,1157
172,Shengjie WANG,CHN,2000-03-31,1157
173,Konstantin KRYLOV,RUS,2004-03-11,1156
174,Nigel ELLIS,JAM,1997-08-08,1156
175,Delvis SANTOS,POR,1999-06-27,1155
176,Jt SMITH,USA,1998-01-12,1155
177,Nethaneel MITCHELL-BLAKE,GBR,1994-04-02,1155
178,Cameron WATTS,USA,,1154
179,Jenns Reynold FERNÁNDEZ,CUB,2001-01-04,1154
180,Naoki OKAMI,JPN,2000-01-17,1154
181,Riku OISHI,JPN,2004-08-15,1154
182,Kimarlie STEWART,JAM,2001-10-04,1153
183,Calab LAW,AUS,2003-12-31,1153
184,John SHERMAN,LBR,2004-10-04,1153
185,Ojie EDOBURUN,GBR,1996-06-02,1153
186,Jaylen SLADE,USA,,1152
187,Daveyon BLACKNELL,USA,,1152
188,Marvin SCHULTE,GER,1999-02-19,1152
189,Brayden WILLIAMS,USA,2007-04-02,1152
190,Tristyn FLORES,USA,,1151
191,Méba Mickaël ZEZE,FRA,1994-05-19,1151
192,Jehlani GORDON,JAM,2003-12-01,1151
193,Jack HALE,AUS,1998-05-22,1151
194,Connor WASHINGTON,USA,2003-01-18,1151
195,Rivaldo ROBERTS,RSA,1996-04-27,1151
196,Gary Noa Jerrel BIBI,MRI,2000-08-21,1150
197,Yugo HAITAMADAIRA,JPN,2002-06-29,1150
198,Illas GARCIA,USA,1998-01-04,1150
199,Naeem JACK,RSA,2007-07-31,1150
200,John ADESOLA,RSA,2002-04-08,1150
201,Yohan BLAKE,JAM,1989-12-26,1149
202,Raphael Ngaguele MBERLINA,CMR,2001-01-10,1149
203,Nishion EBANKS,JAM,2000-04-13,1149
204,Carlos Brown JR.,BAH,2005-11-03,1149
205,Israel OLATUNDE,IRL,2002-05-29,1149
206,Yuta SEKIGUCHI,JPN,2004-11-04,1149
207,Rai ATAGO,JPN,2003-08-17,1149
208,Nicholas WALSH,GBR,1997-07-27,1149
209,Toluwabori AKINOLA,IRL,2001-08-06,1148
210,Gary CARD,JAM,2007-06-04,1148
211,José GONZÁLEZ,DOM,1995-05-14,1148
212,Winfred PORTER,USA,,1148
213,Ján VOLKO,SVK,1996-11-02,1148
214,Malham Al BALUSHI,OMA,2000-09-02,1147
215,Bruno DEDE,JPN,1999-10-07,1147
216,Ryo WADA,JPN,2000-05-18,1147
217,Elliot JONES,GBR,1997-09-21,1146
218,Miles LEWIS,PUR,1991-04-11,1146
219,Animesh KUJUR,IND,2003-06-02,1145
220,Elijah HALL,USA,1994-08-22,1144
221,Micah LARRY,USA,2004-09-20,1144
222,Diego GONZÁLEZ,PUR,2003-04-17,1144
223,Louie HINCHLIFFE,GBR,2002-07-18,1143
224,Mark Otieno ODHIAMBO,KEN,1993-05-11,1143
225,Aleksandar ASKOVIC,GER,1997-10-23,1143
226,Kyle ZINN,RSA,2003-01-14,1143
227,Javari THOMAS,JAM,2001-09-25,1143
228,Stephen Awuah BAFFOUR,ITA,2003-11-09,1143
229,Christopher BORZOR,HAI,1999-04-11,1143
230,Tatsuro MIYAGI,JPN,1997-11-07,1142
231,Samuele CECCARELLI,ITA,2000-01-09,1142
232,Nsikak EKPO,NED,2003-04-14,1142
233,Tyquendo TRACEY,JAM,1993-06-10,1142
234,Abdullah Abkar MOHAMMED,KSA,1997-01-01,1141
235,Jiapeng CHEN,CHN,2002-07-05,1141
236,Cesar ALMIRÓN,PAR,2001-08-06,1141
237,Hygor Gabriel BEZERA,BRA,2002-10-08,1141
238,Joseph AYOADE,AUS,2004-09-06,1141
239,Chidiera ONUOHA,GER,2003-10-04,1140
240,Melbin MARCELINO,DOM,1997-05-23,1140
241,Shoma YAMAMOTO,JPN,2002-06-20,1140
242,Paul MOSLEY,USA,,1140
243,Asani HAMPTON,USA,2000-04-03,1140
244,Rikuto HIGUCHI,JPN,1999-08-19,1139
245,Julian WAGNER,GER,1998-03-18,1139
246,Souta MIWA,JPN,2002-09-26,1138
247,Chamod YODASINGHE,SRI,2000-01-28,1138
248,Trayvion WHITE-AUSTIN,USA,2000-12-13,1138
249,John OTUGADE,GBR,1995-01-24,1138
250,Brendon STEWART,USA,2000-07-29,1138
251,Micheal CAMPBELL,JAM,1996-11-29,1137
252,Jerome CAMPBELL,JAM,2002-11-20,1137
253,Trelee BANKS-ROSE,USA,,1137
254,Jaden WILEY,USA,2006-08-10,1137
255,Eckhart POTGIETER,RSA,2002-06-13,1136
256,Karl Erik NAZAROV,EST,1999-03-17,1136
257,José FIGUEROA,PUR,2004-09-14,1136
258,Arnaldo Lazael Romero CRESPO,CUB,2000-04-05,1135
259,Timothé MUMENTHALER,SUI,2002-12-12,1135
260,Malachi ADAMS,USA,,1134
261,Solomon HAMMOND,GHA,1999-01-27,1134
262,Cravont CHARLESTON,USA,1998-01-02,1134
263,Steve Odhiambo ONYANGO,KEN,1998-11-12,1133
264,Ippei TAKEDA,JPN,1997-03-13,1133
265,Bryant ALAMO,VEN,2003-08-11,1132
266,Carlos Andrés PALACIOS,COL,1999-11-11,1131
267,Anej Čurin PRAPOTNIK,SLO,2003-05-23,1131
268,Ylann BIZASENE,FRA,2006-04-19,1131
269,Sotirios GKARAGKANIS,GRE,1999-02-13,1130
270,Antoine THORAVAL,FRA,2001-07-12,1130
271,Zhijian DENG,CHN,2002-03-05,1130
272,Taju HONGO,JPN,1999-03-07,1130
273,Gabriel MAIA,POR,2003-02-17,1130
274,Kayhan ÖZER,TUR,1998-06-11,1129
275,Vinicius Rocha MORAES,BRA,1999-04-19,1129
276,Kojo MUSAH,DEN,1996-04-15,1129
277,Brandon CARNES,USA,1995-03-06,1128
278,Adrian CANALES,PUR,2004-07-16,1128
279,Ernest CAMPBELL,USA,,1128
280,Shuang WANG,CHN,2004-11-18,1128
281,Dakari CHARLTON,USA,,1128
282,Nazzio JOHN,GRN,2003-03-24,1128
283,Adzeu Yapo JACKY,CIV,1998-03-26,1128
284,Per Tinius FREMSTAD-WALDRON,NOR,2000-09-25,1127
285,Jimmy VICAUT,FRA,1992-02-27,1127
286,Jaelen MEANS,USA,1996-07-02,1127
287,Emile ERASMUS,RSA,1992-04-03,1126
288,Jinxian HE,CHN,2006-11-13,1126
289,Tevijon WILLIAMS,USA,2004-01-29,1126
290,Zheyang LI,CHN,2000-07-22,1126
291,Hristo ILIEV,BUL,2005-01-03,1125
292,Meshack Kitsubuli BABU,KEN,1996-02-23,1125
293,Jekovan RHETTA,USA,,1125
294,Jayden JONES,USA,2005-05-10,1125
295,Carlos NASCIMENTO,POR,1994-10-12,1124
296,Ilya SAZONOV,RUS,2003-01-02,1123
297,Shakur WILLIAMS,JAM,2001-10-29,1123
298,Adam THOMAS,GBR,1995-04-15,1122
299,Junhao SHI,CHN,2005-10-27,1122
300,Guanfeng CHEN,CHN,2000-02-05,1121
301,Ogho-Oghene EGWERO,NGR,1988-11-26,1121
302,Myles THOMAS,USA,,1121
303,Joseph MICHEL,USA,,1121
304,Ryota YAMAGATA,JPN,1992-06-10,1121
305,Antonio LAY,USA,,1121
306,Kobe VLEMINCKX,BEL,1998-05-31,1120
307,Yakun ZHU,CHN,2003-03-18,1120
308,Jesus Orphee TOPIZE,MRI,2005-12-22,1120
309,Jhonny Renteria JIMÉNEZ,COL,1997-03-26,1120
310,Vitor Hugo Dos SANTOS,BRA,1996-02-01,1120
311,Takuma HAYASHI,JPN,1999-11-18,1120
312,Akeem STEWART,GUY,1991-06-28,1119
313,Tyson WILLIAMS,USA,,1119
314,Travis CAMPBELL,CAN,2003-05-08,1119
315,Jean-Christian ZIRIGNON,SWE,1995-07-03,1119
316,Nikola KARAMANOLOV,BUL,2005-03-09,1119
317,Pais WISIL,PNG,2000-11-05,1119
318,Davian WILLEMS,USA,2003-06-17,1119
319,Mojela KONESHE,LES,2001-01-27,1119
320,Drew DONLEY,USA,,1119
321,Terrance O'BANNON,USA,2004-04-22,1119
322,Ezekiel NEWTON,GUY,2005-02-08,1118
323,Chijindu UJAH,GBR,1994-03-05,1118
324,Arthur CISSÉ,CIV,1996-12-29,1118
325,Devin AUGUSTINE,TTO,2003-12-02,1118
326,William AGUESSY,BEN,2001-06-09,1118
327,William REAIS,SUI,1999-05-04,1117
328,David MORGAN-HARRISON,GBR,2001-08-27,1117
329,Gaofei SUI,CHN,2001-04-19,1117
330,Guy Maganga GORRA,GAB,1993-03-18,1117
331,Marc Brian LOUIS,SGP,2002-08-07,1116
332,Ty ANDERSON,USA,,1116
333,Teddy WILSON,GBR,2006-11-29,1116
334,Julian FORDE,BAR,2001-04-22,1115
335,Ian JOHNSON,USA,,1115
336,Dominic WILLIAMS,JAM,2003-01-24,1115
337,Christopher IUS,AUS,2000-02-10,1115
338,Alieu JOOF,GAM,1997-01-28,1115
339,Darren MCQUEEN,HAI,,1115
340,Ertan ÖZKAN,TUR,1996-09-01,1114
341,Rasheed FOSTER,JAM,2002-08-23,1114
342,Hikaru ITO,JPN,1999-06-07,1114
343,Emilio Gonzalez RUDOLPH,GER,2003-11-04,1114
344,Sike AZU-IRONDI,NGR,1996-01-04,1114
345,Kebba MAKALO,GAM,2005-12-13,1113
346,Cayden BROADNAX,USA,,1113
347,Darwin JIMENEZ,USA,,1113
348,Andre BENT,JAM,2002-01-25,1113
349,Gabe REMY,USA,,1112
350,Stephen ABOSI,BOT,1993-04-15,1112
351,Eino VUORI,FIN,2002-06-21,1112
352,Tyson TIPPETT,USA,2003-02-11,1112
353,Sean SAFO-ANTWI,GHA,1990-10-31,1112
354,Filippo RANDAZZO,ITA,1996-04-27,1111
355,Danil PAVLOV,RUS,2001-06-17,1111
356,Adas DAMBRAUSKAS,LTU,2005-06-01,1111
357,Kevin ARTHUR,USA,,1111
358,Xavier BUTLER,USA,,1111
359,Connor BOND,AUS,2003-06-02,1111
360,Jaci SUMMERS,USA,,1111
361,Demetrius ROLLE,BAH,2002-11-15,1111
362,Norris SPIKE,CAN,1996-09-25,1111
363,Shamar HORATIO,GUY,2003-12-06,1110
364,Enoch FOSUHENE,GHA,,1110
365,Si-On KIM,KOR,1999-04-26,1110
366,Mateus PEREIRA,BRA,2003-03-03,1110
367,Lenny CHANTEUR,FRA,2006-03-14,1110
368,Wissy Frank Hoye Yenda MOUKOULA,GAB,1996-09-29,1110
369,Adrian KERR,JAM,2003-10-07,1110
370,Ashanie Romine SMITH,JAM,1998-10-31,1110
371,Josiyah TAYLOR,USA,,1109
372,Jernej GUMILAR,SLO,2003-09-29,1109
373,Jan Eric FREHE,GER,2003-04-01,1109
374,Ian MYERS,USA,,1109
375,Gustavo Alejandro MONGELOS,PAR,2004-05-29,1108
376,Gerardo Lomeli PONCE,MEX,2002-08-11,1108
377,Sorato SHIMIZU,JPN,2009-02-08,1108
378,Ian DOSSMAN,USA,,1108
379,Rodrick PLEASANT,USA,2005-02-01,1107
380,Ajani DALEY,ANT,2005-02-05,1107
381,Vasileios MYRIANTHOPOULOS,GRE,2001-08-09,1107
382,Xzamion PARKER,USA,,1107
383,Takehiro GODO,JPN,2004-05-01,1107
384,Javin BOSTIC,USA,,1107
385,Kion BENJAMIN,TTO,2000-11-13,1107
386,Richard AKINYEBO,GBR,2001-09-08,1107
387,Olivier MWIMBA,COD,1994-11-06,1106
388,Samuel PUROLA,FIN,2000-05-19,1106
389,Jaylin SESSION,USA,,1106
390,Jaiden ROLLINS,USA,,1106
391,Emmanuel OCHE,NGR,2002-08-31,1106
392,Aymeric PRIAM,FRA,2000-06-26,1106
393,Clinton MUUNGA,ZIM,2002-07-08,1106
394,Victor SMITH,USA,2000-11-06,1106
395,Ali HAJI,BRN,2005-03-07,1105
396,Ricardo SÁNCHEZ,ESP,1999-08-10,1105
397,Corin BURNS,USA,,1105
398,Tooni OGUNYEYE,CAN,2006-02-23,1105
399,Zion CAMPBELL,BAH,2004-08-30,1104
400,Jorge HERNÁNDEZ,ESP,2006-02-15,1104
