rank,name,nationality,dob,points
1,Kishane THOMPSON,JAM,2001-07-17,1451
2,Akani SIMBINE,RSA,1993-09-21,1435
3,Fred KERLEY,USA,1995-05-07,1425
4,Oblique SEVILLE,JAM,2001-03-16,1396
5,Noah LYLES,USA,1997-07-18,1394
6,Letsile TEBOGO,BOT,2003-06-07,1387
7,Kenneth BEDNAREK,USA,1998-10-14,1384
8,Lamont Marcell JACOBS,ITA,1994-09-26,1368
9,Ackeem BLAKE,JAM,2002-01-21,1362
10,Ferdinand OMANYALA,KEN,1996-01-02,1349
11,Christian COLEMAN,USA,1996-03-06,1338
12,Emmanuel ESEME,CMR,1993-08-17,1332
13,Zharnel HUGHES,GBR,1995-07-13,1328
14,Jeremiah AZU,GBR,2001-05-15,1327
15,Trayvon BROMELL,USA,1995-07-10,1315
16,Lachlan KENNEDY,AUS,2003-11-04,1315
17,Bayanda WALAZA,RSA,2006-02-09,1308
18,Brandon HICKLIN,USA,1999-04-02,1307
19,Romell GLAVE,GBR,1999-11-11,1294
20,Benjamin RICHARDSON,RSA,2003-12-19,1288
21,Courtney LINDSEY,USA,1998-11-18,1276
22,Abdul Hakim Sani BROWN,JPN,1999-03-06,1275
23,Henrik LARSSON,SWE,1999-09-30,1271
24,Gift LEOTLELA,RSA,1998-05-12,1271
25,Ronnie BAKER,USA,1993-10-15,1270
26,Kayinsola AJAYI,NGR,2004-09-14,1269
27,Rohan WATSON,JAM,2002-04-29,1268
28,Jerome BLAKE,CAN,1995-08-18,1266
29,Jordan ANTHONY,USA,2004-06-29,1261
30,Mamadou Fall SARR,SEN,1998-11-29,1257
31,Marcellus MOORE,USA,2002-06-30,1256
32,Felipe BARDI,BRA,1998-10-08,1255
33,Abdul-Rasheed SAMINU,GHA,1997-10-06,1252
34,Hiroki YANAGITA,JPN,2003-07-25,1250
35,Pjai AUSTIN,USA,2000-09-19,1247
36,Eloy BENITEZ,PUR,2003-05-07,1245
37,Ronal LONGA,COL,2004-06-30,1244
38,Ali Al BALUSHI,OMA,2002-02-09,1243
39,Benjamin AZAMATI,GHA,1998-01-14,1243
40,Bryan LEVELL,JAM,2003-12-23,1242
41,Abduraqhman KARRIEM,RSA,2004-09-25,1238
42,Reynier MENA,CUB,1996-11-21,1237
43,Elvis AFRIFA,NED,1997-11-30,1237
44,Andre DE GRASSE,CAN,1994-11-10,1232
45,Israel OKON,NGR,2006-11-11,1231
46,Shaun MASWANGANYI,RSA,2001-02-01,1230
47,Zhenye XIE,CHN,1993-08-17,1229
48,Owen ANSAH,GER,2000-11-28,1229
49,Joshua AZZOPARDI,AUS,1999-11-27,1228
50,Rohan BROWNING,AUS,1997-12-31,1227
51,Eugene AMO-DADZIE,GBR,1992-06-22,1226
52,Puripol BOONSON,THA,2006-01-13,1225
53,Carlos Florez ANGULO,COL,2003-05-26,1225
54,Davonte HOWELL,CAY,2005-10-28,1220
55,Tiaan WHELPTON,NZL,2000-03-29,1219
