Event Name,Raw Date,Start Date,End Date,Venue,Country,Discipline,Competition Group,Result Link
Millrose Games,30 JAN-01 FEB 2026,2026-01-30,2026-02-01,"Armory Track&Field Center, New York, NY (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229596
Elite Indoor Track Miramas Meeting,30 JAN 2026,2026-01-30,2026-01-30,"Stadium Miramas Métropole, Miramas (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229845
Perch'Xtrem,30-31 JAN 2026,2026-01-30,2026-01-31,"Palais des Sports Caen la Mer, Caen (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229844
DeLoss Dodds Invitational,30-31 JAN 2026,2026-01-30,2026-01-31,"Cliff Rovelto Indoor Track, Manhattan, KS (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7233294
International Jump-Meeting Cottbus,28 JAN 2026,2026-01-28,2026-01-28,"Lausitz-Arena, Cottbus (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230010
Orlen Cup Łódź,25 JAN 2026,2026-01-25,2026-01-25,"Atlas Arena, Łódź (POL)",POL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229932
Meeting de Paris Indoor,25 JAN 2026,2026-01-25,2026-01-25,"AccorHotels Arena de Bercy, Paris (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229846
Meeting Moniz Pereira,25 JAN 2026,2026-01-25,2026-01-25,"Expocentro, Pombal (POR)",POR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7234540
Vinthundsvintern,24 JAN 2026,2026-01-24,2026-01-24,"Friidrottshall, Sollentuna (SWE)",SWE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7232299
New Balance Indoor Grand Prix,24 JAN 2026,2026-01-24,2026-01-24,"The Track at New Balance, Boston, MA (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7231935
Meeting Indoor de Lyon,24 JAN 2026,2026-01-24,2026-01-24,"Halle Stéphane Diagana, Lyon (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229847
27. Internationales Leichtathletik Hallenmeeting,24 JAN 2026,2026-01-24,2026-01-24,"Leichtathletikhalle im Sportforum, Chemnitz (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230008
ISTAF Indoor Düsseldorf,24 JAN 2026,2026-01-24,2026-01-24,"PSD Bank Dome, Düsseldorf (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230009
Starperche,24 JAN 2026,2026-01-24,2026-01-24,"Palais des Sports, Bordeaux (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229848
Dr. Sander Invitational,24 JAN 2026,2026-01-24,2026-01-24,"Armory Track&Field Center, New York, NY (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229595
Full Moon Jump,24 JAN 2026,2026-01-24,2026-01-24,"Friidrottens Hus, Göteborg (SWE)",SWE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7232018
Meeting de Nantes Metropole,23 JAN 2026,2026-01-23,2026-01-23,"Stadium Pierre-Quinon, Nantes (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229849
Meeting Internacional Catalunya de Pista Coberta,23 JAN 2026,2026-01-23,2026-01-23,"Pista Coberta de Catalunya, Sabadell (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229991
BAUHAUS-galan Indoor,22 JAN 2026,2026-01-22,2026-01-22,"Sätrahallen, Stockholm (SWE)",SWE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7233157
Tampere Indoor Meeting,21 JAN 2026,2026-01-21,2026-01-21,"TESC, Tampere (FIN)",FIN,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230005
Aarhus SPRINT’n’JUMP,20 JAN 2026,2026-01-20,2026-01-20,"Aarhus Atletik og Løbeakademi, Århus (DEN)",DEN,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229931
CMCM Luxembourg Indoor Meeting,18 JAN 2026,2026-01-18,2026-01-18,"Coque Sport Center, Luxembourg (LUX)",LUX,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229953
Meeting de Saut en Hauteur d'Hirson,17 JAN 2026,2026-01-17,2026-01-17,"Salle Georges Hébert, Hirson (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229989
Antequera Indoor Match,17 JAN 2026,2026-01-17,2026-01-17,"Centro de Tecnificación de Atletismo, Antequera (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7230654
Klaverblad International Polsstokhoog gala,17 JAN 2026,2026-01-17,2026-01-17,"ARV Ilion, Zoetermeer (NED)",NED,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7234135
Česká tyčka,17 JAN 2026,2026-01-17,2026-01-17,"Přetlaková hala Strahov, Strahov, Praha (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7229836
"V ""Memorial Alessio Giovannini""",17 JAN 2026,2026-01-17,2026-01-17,"Palaindoor Ancona, Ancona (ITA)",ITA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7234926
